Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1191218,Argentina Primera División,2021,2021-02-12 19:15:00,1,Banfield,Racing Club,2,0,2,"['46', '89']",[],2.05,3.0,3.3,2.2,1.65,1.83,1.83
2,1191219,Argentina Primera División,2021,2021-02-12 21:30:00,1,Unión Santa Fe,Atlético Tucumán,2,2,4,"['30', '90+4']","['17', '40']",2.15,3.1,3.1,1.9,1.9,1.67,2.1
3,1191220,Argentina Primera División,2021,2021-02-12 21:30:00,1,Central Córdoba SdE,Colón,0,3,3,[],"['13', '56', '78']",2.63,2.88,2.6,2.4,1.53,2.0,1.73
4,1191221,Argentina Primera División,2021,2021-02-13 17:10:00,1,Talleres Córdoba,Patronato,1,0,1,['16'],[],1.63,3.55,5.2,2.35,1.57,2.25,1.57
5,1191222,Argentina Primera División,2021,2021-02-13 17:10:00,1,Aldosivi,Godoy Cruz,1,2,3,['45+2'],"['42', '55']",2.4,3.1,2.8,2.0,1.8,1.67,2.1
6,1191223,Argentina Primera División,2021,2021-02-13 19:20:00,1,Vélez Sarsfield,Newell's Old Boys,1,0,1,['35'],[],1.98,3.3,3.55,2.2,1.65,1.95,1.75
7,1191224,Argentina Primera División,2021,2021-02-13 21:30:00,1,San Lorenzo,Arsenal de Sarandí,2,1,3,"['5', '8']",['31'],2.0,3.1,3.4,1.95,1.85,1.8,1.91
8,1191225,Argentina Primera División,2021,2021-02-14 17:10:00,1,Defensa y Justicia,Huracán,3,2,5,"['25', '28', '76']","['43', '70']",1.68,3.55,4.5,2.1,1.7,2.03,1.79
9,1191226,Argentina Primera División,2021,2021-02-14 19:20:00,1,Boca Juniors,Gimnasia La Plata,2,2,4,"['42', '85']","['45+1', '63']",1.57,3.5,5.0,2.05,1.75,2.04,1.78
10,1191227,Argentina Primera División,2021,2021-02-14 21:30:00,1,Estudiantes,River Plate,2,1,3,"['78', '90+6']",['62'],4.75,3.4,1.62,2.2,1.65,2.0,1.72
11,1191228,Argentina Primera División,2021,2021-02-15 19:15:00,1,Rosario Central,Argentinos Juniors,2,1,3,"['41', '43']",['85'],2.0,2.9,3.75,2.4,1.53,2.12,1.72
12,1191229,Argentina Primera División,2021,2021-02-15 21:30:00,1,Independiente,Lanús,0,1,1,[],['68'],2.38,3.1,2.75,2.0,1.8,1.75,1.95
13,1191230,Argentina Primera División,2021,2021-02-19 19:15:00,2,Gimnasia La Plata,Talleres Córdoba,3,0,3,"['5', '66', '87']",[],2.63,3.0,2.5,2.35,1.57,2.03,1.75
14,1191231,Argentina Primera División,2021,2021-02-19 21:30:00,2,Arsenal de Sarandí,Banfield,0,2,2,[],"['47', '50']",4.33,3.4,1.67,2.1,1.71,1.96,1.8
15,1191232,Argentina Primera División,2021,2021-02-20 17:10:00,2,Godoy Cruz,Estudiantes,0,2,2,[],"['49', '89']",3.1,2.88,2.38,1.98,1.79,1.87,1.89
16,1191233,Argentina Primera División,2021,2021-02-20 17:10:00,2,Lanús,Defensa y Justicia,2,1,3,"['5', '32']",['27'],2.7,3.1,2.4,1.94,1.83,1.85,1.91
17,1191234,Argentina Primera División,2021,2021-02-20 19:20:00,2,Racing Club,Aldosivi,2,2,4,"['56', '86']","['35', '62']",1.65,3.5,5.0,1.98,1.79,2.05,1.73
18,1191235,Argentina Primera División,2021,2021-02-20 21:30:00,2,River Plate,Rosario Central,3,0,3,"['37', '57', '64']",[],1.25,4.75,8.5,1.76,2.02,2.01,1.76
19,1191236,Argentina Primera División,2021,2021-02-21 17:10:00,2,Sarmiento,Vélez Sarsfield,1,2,3,['90+5'],"['12', '63']",3.6,3.3,1.91,2.06,1.74,2.0,1.77
20,1191237,Argentina Primera División,2021,2021-02-21 17:10:00,2,Argentinos Juniors,Platense,0,1,1,[],['84'],2.35,3.0,3.1,2.35,1.52,2.1,1.68
21,1191238,Argentina Primera División,2021,2021-02-21 19:20:00,2,Patronato,Independiente,0,1,1,[],['71'],3.4,3.0,2.0,2.35,1.57,2.05,1.73
22,1191239,Argentina Primera División,2021,2021-02-21 21:30:00,2,Newell's Old Boys,Boca Juniors,0,1,1,[],['71'],3.7,3.2,1.87,2.12,1.68,2.0,1.77
23,1191240,Argentina Primera División,2021,2021-02-22 19:15:00,2,Atlético Tucumán,Central Córdoba SdE,1,2,3,['15'],"['44', '88']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1191241,Argentina Primera División,2021,2021-02-22 19:15:00,2,Huracán,Unión Santa Fe,1,1,2,['25'],['21'],2.65,2.95,2.7,2.15,1.67,1.91,1.85
25,1191242,Argentina Primera División,2021,2021-02-22 21:30:00,2,Colón,San Lorenzo,2,0,2,"['67', '90+6']",[],2.43,3.0,2.9,2.3,1.6,2.06,1.73
