Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Argentina Primera División,2021,2021-02-12 19:15:00,1,Banfield,Racing Club,2,0,2,"['46', '89']",[],2.05,3.0,3.3,2.2,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Argentina Primera División,2021,2021-02-12 21:30:00,1,Unión Santa Fe,Atlético Tucumán,2,2,4,"['30', '90+4']","['17', '40']",2.15,3.1,3.1,1.9,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Argentina Primera División,2021,2021-02-12 21:30:00,1,Central Córdoba SdE,Colón,0,3,3,[],"['13', '56', '78']",2.63,2.88,2.6,2.4,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Argentina Primera División,2021,2021-02-13 17:10:00,1,Talleres Córdoba,Patronato,1,0,1,['16'],[],1.63,3.55,5.2,2.35,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Argentina Primera División,2021,2021-02-13 17:10:00,1,Aldosivi,Godoy Cruz,1,2,3,['45+2'],"['42', '55']",2.4,3.1,2.8,2.0,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Argentina Primera División,2021,2021-02-13 19:20:00,1,Vélez Sarsfield,Newell's Old Boys,1,0,1,['35'],[],1.98,3.3,3.55,2.2,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Argentina Primera División,2021,2021-02-13 21:30:00,1,San Lorenzo,Arsenal de Sarandí,2,1,3,"['5', '8']",['31'],2.0,3.1,3.4,1.95,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Argentina Primera División,2021,2021-02-14 17:10:00,1,Defensa y Justicia,Huracán,3,2,5,"['25', '28', '76']","['43', '70']",1.68,3.55,4.5,2.1,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,Argentina Primera División,2021,2021-02-14 19:20:00,1,Boca Juniors,Gimnasia La Plata,2,2,4,"['42', '85']","['45+1', '63']",1.57,3.5,5.0,2.05,2.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Argentina Primera División,2021,2021-02-14 21:30:00,1,Estudiantes,River Plate,2,1,3,"['78', '90+6']",['62'],4.75,3.4,1.62,2.2,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Argentina Primera División,2021,2021-02-15 19:15:00,1,Rosario Central,Argentinos Juniors,2,1,3,"['41', '43']",['85'],2.0,2.9,3.75,2.4,2.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Argentina Primera División,2021,2021-02-15 21:30:00,1,Independiente,Lanús,0,1,1,[],['68'],2.38,3.1,2.75,2.0,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Argentina Primera División,2021,2021-02-19 19:15:00,2,Gimnasia La Plata,Talleres Córdoba,3,0,3,"['5', '66', '87']",[],2.63,3.0,2.5,2.35,2.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
