Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1310523,Armenia Armenian Premier League,2021/2022,2021-07-30 12:00:00,1,BKMA,Pyunik,0,4,4,[],"['39', '61', '65', '73']",9.0,5.0,1.25,1.85,1.95,2.25,1.5
2,1310524,Armenia Armenian Premier League,2021/2022,2021-08-01 10:00:00,1,Alashkert,FC Avan Academy,0,3,3,[],"['61', '66', '74']",2.05,3.05,3.1,2.4,1.53,2.06,1.73
3,1310525,Armenia Armenian Premier League,2021/2022,2021-08-01 13:00:00,1,Banants,Noravank,3,0,3,"['48', '67', '86']",[],1.24,5.0,7.5,1.56,2.15,1.91,1.74
4,1310527,Armenia Armenian Premier League,2021/2022,2021-08-02 12:00:00,1,Ararat,Artsakh,7,1,8,"['19', '37', '38', '42', '54', '60', '74']",['24'],2.15,2.8,2.8,2.05,1.57,1.83,1.71
5,1310528,Armenia Armenian Premier League,2021/2022,2021-08-06 10:00:00,2,Noravank,Pyunik,2,1,3,"['26', '90+2']",['45+8'],6.0,3.6,1.42,1.77,1.8,1.95,1.62
6,1310529,Armenia Armenian Premier League,2021/2022,2021-08-06 12:00:00,2,FC Avan Academy,BKMA,3,2,5,"['22', '28', '46']","['53', '88']",1.06,8.0,29.0,1.25,4.0,0.0,0.0
7,1310531,Armenia Armenian Premier League,2021/2022,2021-08-08 10:00:00,2,Van,Ararat,0,1,1,[],['51'],6.75,3.75,1.36,1.83,1.74,2.1,1.56
8,1310536,Armenia Armenian Premier League,2021/2022,2021-08-13 12:00:00,3,BKMA,Artsakh,1,2,3,['78'],"['16', '29']",5.5,3.8,1.5,1.75,2.05,0.0,0.0
9,1310535,Armenia Armenian Premier League,2021/2022,2021-08-15 10:00:00,3,Alashkert,Van,0,2,2,[],"['51', '59']",1.5,3.2,5.5,1.95,1.62,2.0,1.59
10,1310537,Armenia Armenian Premier League,2021/2022,2021-08-15 12:00:00,3,Pyunik,FC Avan Academy,0,3,3,[],"['22', '45', '71']",3.52,3.3,2.04,2.2,1.69,1.9,1.8
11,1310534,Armenia Armenian Premier League,2021/2022,2021-08-15 13:00:00,3,Ararat,Banants,2,0,2,"['72', '88']",[],1.65,3.2,3.95,1.91,1.67,1.87,1.69
12,1310540,Armenia Armenian Premier League,2021/2022,2021-08-19 10:00:00,4,Van,BKMA,1,0,1,['89'],[],1.37,4.0,5.75,1.51,2.15,1.65,1.95
