Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Armenia Armenian Premier League,2021/2022,2021-07-30 12:00:00,1,BKMA,Pyunik,0,4,4,[],"['39', '61', '65', '73']",9.0,5.0,1.25,1.85,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Armenia Armenian Premier League,2021/2022,2021-08-01 10:00:00,1,Alashkert,FC Avan Academy,0,3,3,[],"['61', '66', '74']",2.05,3.05,3.1,2.4,2.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Armenia Armenian Premier League,2021/2022,2021-08-01 13:00:00,1,Banants,Noravank,3,0,3,"['48', '67', '86']",[],1.24,5.0,7.5,1.56,1.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Armenia Armenian Premier League,2021/2022,2021-08-02 12:00:00,1,Ararat,Artsakh,7,1,8,"['19', '37', '38', '42', '54', '60', '74']",['24'],2.15,2.8,2.8,2.05,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Armenia Armenian Premier League,2021/2022,2021-08-06 10:00:00,2,Noravank,Pyunik,2,1,3,"['26', '90+2']",['45+8'],6.0,3.6,1.42,1.77,1.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Armenia Armenian Premier League,2021/2022,2021-08-06 12:00:00,2,FC Avan Academy,BKMA,3,2,5,"['22', '28', '46']","['53', '88']",1.06,8.0,29.0,1.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Armenia Armenian Premier League,2021/2022,2021-08-08 10:00:00,2,Van,Ararat,0,1,1,[],['51'],6.75,3.75,1.36,1.83,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Armenia Armenian Premier League,2021/2022,2021-08-13 12:00:00,3,BKMA,Artsakh,1,2,3,['78'],"['16', '29']",5.5,3.8,1.5,1.75,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Armenia Armenian Premier League,2021/2022,2021-08-15 10:00:00,3,Alashkert,Van,0,2,2,[],"['51', '59']",1.5,3.2,5.5,1.95,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Armenia Armenian Premier League,2021/2022,2021-08-15 12:00:00,3,Pyunik,FC Avan Academy,0,3,3,[],"['22', '45', '71']",3.52,3.3,2.04,2.2,1.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
