Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Armenia First League,2021/2022,2021-08-05 10:30:00,1,Ararat-Armenia II,Banants II,1,1,2,['-1'],['-1'],1.57,4.2,3.92,1.48,1.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Armenia First League,2021/2022,2021-08-05 11:00:00,1,Pyunik II,Lernayin Artsakh,0,3,3,[],"['-1', '-1', '-1']",1.54,4.75,3.7,1.37,1.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Armenia First League,2021/2022,2021-08-07 09:30:00,1,Shirak,BKMA II,6,1,7,"['-1', '-1', '-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Armenia First League,2021/2022,2021-08-11 09:00:00,2,Lernayin Artsakh,Alashkert II,2,2,4,"['-1', '-1']","['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Armenia First League,2021/2022,2021-08-11 10:00:00,2,Ararat-Armenia II,Pyunik II,3,2,5,"['-1', '-1', '-1']","['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Armenia First League,2021/2022,2021-08-12 09:30:00,2,Gandzasar,Shirak,2,3,5,"['-1', '-1']","['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Armenia First League,2021/2022,2021-08-12 11:30:00,2,Banants II,BKMA II,2,3,5,"['-1', '-1']","['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Armenia First League,2021/2022,2021-08-17 10:45:00,3,Pyunik II,Banants II,2,3,5,"['-1', '-1']","['-1', '-1', '-1']",2.25,3.9,2.1,1.36,1.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Armenia First League,2021/2022,2021-08-17 10:45:00,3,Alashkert II,Ararat-Armenia II,1,2,3,['-1'],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Armenia First League,2021/2022,2021-08-18 09:30:00,3,Shirak,Lernayin Artsakh,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Armenia First League,2021/2022,2021-08-18 10:30:00,3,BKMA II,Gandzasar,0,4,4,[],"['-1', '-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Armenia First League,2021/2022,2021-08-21 12:00:00,4,Banants II,Gandzasar,2,3,5,"['-1', '-1']","['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,Armenia First League,2021/2022,2021-08-22 09:00:00,4,Lernayin Artsakh,BKMA II,3,0,3,"['-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
