League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Armenia First League,2022/2023,2022-08-03 10:45:00,1,West Armenia,Ararat-Armenia II,0,0,0,[],[],0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia First League,2022/2023,2022-08-03 10:45:00,1,Ararat II,Mika Yerevan,7,0,7,"['-1', '-1', '-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Armenia First League,2022/2023,2022-08-04 10:30:00,1,Shirak II,Alashkert II,3,0,3,"['-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Armenia First League,2022/2023,2022-08-04 10:45:00,1,Lernayin Artsakh II,Gandzasar,1,3,4,['-1'],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Armenia First League,2022/2023,2022-08-04 12:00:00,1,Banants II,Gandzasar,5,1,6,"['-1', '-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Armenia First League,2022/2023,2022-08-05 10:45:00,1,Pyunik II,BKMA II,0,2,2,[],"['-1', '-1']",1.76,3.6,4.1,1.31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia First League,2022/2023,2022-08-09 10:30:00,2,Gandzasar,Shirak II,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Armenia First League,2022/2023,2022-08-09 10:45:00,2,Ararat-Armenia II,Alashkert II,3,1,4,"['-1', '-1', '-1']",['-1'],1.11,8.9,13.5,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Armenia First League,2022/2023,2022-08-09 10:45:00,2,Mika Yerevan,Lernayin Artsakh II,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Armenia First League,2022/2023,2022-08-10 10:30:00,2,Gandzasar,Pyunik II,1,3,4,['-1'],"['-1', '-1', '-1']",1.76,3.95,3.72,1.42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Armenia First League,2022/2023,2022-08-10 10:45:00,2,West Armenia,Ararat II,0,2,2,[],"['-1', '-1']",0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia First League,2022/2023,2022-08-10 10:45:00,2,BKMA II,Banants II,6,0,6,"['-1', '-1', '-1', '-1', '-1', '-1']",[],2.23,3.2,2.95,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Armenia First League,2022/2023,2022-08-13 10:00:00,3,Lernayin Artsakh II,West Armenia,0,12,12,[],"['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Armenia First League,2022/2023,2022-08-13 10:30:00,3,Ararat II,Ararat-Armenia II,4,1,5,"['-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Armenia First League,2022/2023,2022-08-13 10:45:00,3,Alashkert II,Gandzasar,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia First League,2022/2023,2022-08-14 10:00:00,3,Shirak II,BKMA II,1,3,4,['-1'],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
