Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1416028,Australia A-League,2021/2022,2021-11-19 05:45:00,1,Melbourne City FC,Brisbane Roar,2,1,3,"['40', '43']",['71'],1.5,4.2,6.0,1.55,2.4,1.67,2.1
2,1416029,Australia A-League,2021/2022,2021-11-20 05:45:00,1,Western Sydney Wanderers,Sydney FC,0,0,0,[],[],3.1,3.9,2.14,1.6,2.19,1.5,2.38
3,1416030,Australia A-League,2021/2022,2021-11-20 05:45:00,1,Western United,Melbourne Victory FC,0,1,1,[],['75'],2.6,3.8,2.47,1.54,2.3,1.5,2.5
4,1416031,Australia A-League,2021/2022,2021-11-20 08:05:00,1,Perth Glory FC,Adelaide United,1,1,2,['40'],['22'],2.21,3.6,3.2,1.55,2.29,1.62,2.2
5,1416032,Australia A-League,2021/2022,2021-11-21 02:05:00,1,Newcastle Jets FC,Central Coast Mariners,1,2,3,['77'],"['50', '57']",2.28,3.56,2.95,1.77,2.03,1.62,2.2
6,1416033,Australia A-League,2021/2022,2021-11-21 04:45:00,1,Macarthur,Wellington Phoenix,1,1,2,['61'],['25'],2.12,3.68,2.8,1.73,1.99,1.62,2.2
7,1416034,Australia A-League,2021/2022,2021-11-26 05:45:00,2,Western United,Perth Glory FC,1,0,1,['78'],[],2.4,3.35,2.7,1.78,1.98,1.62,2.2
8,1416062,Australia A-League,2021/2022,2021-11-27 03:05:00,2,Wellington Phoenix,Central Coast Mariners,2,1,3,"['48', '63']",['52'],2.07,3.4,3.1,1.65,2.1,1.62,2.25
9,1416036,Australia A-League,2021/2022,2021-11-27 05:45:00,2,Adelaide United,Melbourne City FC,2,2,4,"['78', '90']","['28', '61']",3.25,3.4,2.1,1.72,2.07,1.66,2.2
10,1416037,Australia A-League,2021/2022,2021-11-27 05:45:00,2,Sydney FC,Macarthur,0,1,1,[],['17'],2.05,3.45,3.3,1.85,1.95,1.7,2.1
11,1416038,Australia A-League,2021/2022,2021-11-28 02:05:00,2,Melbourne Victory FC,Brisbane Roar,3,0,3,"['27', '31', '50']",[],2.4,3.2,2.65,1.8,1.95,1.67,2.1
12,1416039,Australia A-League,2021/2022,2021-11-28 04:15:00,2,Western Sydney Wanderers,Newcastle Jets FC,2,2,4,"['42', '49']","['19', '52']",2.2,3.3,2.87,1.73,2.05,1.67,2.1
13,1416040,Australia A-League,2021/2022,2021-12-03 05:45:00,3,Wellington Phoenix,Western Sydney Wanderers,0,2,2,[],"['66', '90+3']",2.35,3.55,2.75,1.63,2.2,1.47,2.65
14,1416041,Australia A-League,2021/2022,2021-12-04 03:05:00,3,Brisbane Roar,Adelaide United,0,0,0,[],[],2.24,3.42,3.11,1.72,2.05,1.6,2.25
15,1416042,Australia A-League,2021/2022,2021-12-04 05:45:00,3,Melbourne City FC,Western United,0,1,1,[],['20'],1.45,4.6,6.54,1.55,2.36,1.7,2.15
16,1416043,Australia A-League,2021/2022,2021-12-04 05:45:00,3,Sydney FC,Newcastle Jets FC,2,2,4,"['9', '30']","['58', '65']",1.65,4.1,4.76,1.6,2.25,1.68,2.15
17,1416044,Australia A-League,2021/2022,2021-12-05 02:05:00,3,Macarthur,Central Coast Mariners,1,0,1,['45'],[],2.72,3.54,2.45,1.78,2.02,1.66,2.15
18,1416045,Australia A-League,2021/2022,2021-12-05 04:45:00,3,Melbourne Victory FC,Perth Glory FC,0,3,3,[],"['66', '74', '88']",2.05,3.5,3.6,1.85,2.0,1.7,2.1
19,1416046,Australia A-League,2021/2022,2021-12-08 05:45:00,4,Melbourne City FC,Perth Glory FC,1,0,1,['88'],[],1.46,4.1,5.75,1.6,2.33,1.7,2.1
20,1416047,Australia A-League,2021/2022,2021-12-10 05:45:00,4,Newcastle Jets FC,Wellington Phoenix,4,0,4,"['32', '52', '69', '80']",[],2.58,3.4,2.64,1.69,2.09,1.57,2.25
21,1416048,Australia A-League,2021/2022,2021-12-11 03:05:00,4,Western United,Brisbane Roar,1,0,1,['50'],[],2.4,3.1,2.5,1.74,1.92,1.62,2.2
22,1416049,Australia A-League,2021/2022,2021-12-11 05:45:00,4,Adelaide United,Melbourne Victory FC,1,2,3,['70'],"['59', '78']",2.16,3.6,3.15,1.74,2.06,1.62,2.2
23,1416050,Australia A-League,2021/2022,2021-12-11 05:45:00,4,Western Sydney Wanderers,Macarthur,0,2,2,[],"['64', '74']",2.45,3.54,2.72,1.8,1.99,1.62,2.2
24,1416051,Australia A-League,2021/2022,2021-12-12 04:20:00,4,Central Coast Mariners,Sydney FC,2,0,2,"['13', '16']",[],2.9,3.15,2.1,1.74,1.92,1.67,2.1
25,1416052,Australia A-League,2021/2022,2021-12-17 05:45:00,5,Western United,Adelaide United,1,0,1,['44'],[],2.15,3.5,3.2,1.8,1.9,1.67,2.1
26,1416053,Australia A-League,2021/2022,2021-12-18 03:05:00,5,Central Coast Mariners,Western Sydney Wanderers,2,0,2,"['59', '90+7']",[],2.75,3.5,2.4,1.8,2.0,1.62,2.2
27,1416054,Australia A-League,2021/2022,2021-12-18 05:45:00,5,Melbourne City FC,Melbourne Victory FC,2,2,4,"['60', '63']","['12', '81']",1.5,4.6,5.75,1.53,2.38,1.67,2.1
28,1416056,Australia A-League,2021/2022,2021-12-19 02:05:00,5,Macarthur,Newcastle Jets FC,2,1,3,"['48', '84']",['35'],2.08,3.55,3.0,1.85,1.95,1.67,2.1
29,1416057,Australia A-League,2021/2022,2021-12-19 04:45:00,5,Sydney FC,Wellington Phoenix,2,1,3,"['19', '57']",['83'],2.0,3.4,3.3,1.7,2.05,1.73,2.0
30,1416060,Australia A-League,2021/2022,2021-12-26 05:45:00,6,Melbourne Victory FC,Western United,3,1,4,"['18', '19', '90+4']",['86'],2.05,3.4,3.25,1.78,1.89,1.67,2.1
31,1416061,Australia A-League,2021/2022,2021-12-26 05:45:00,6,Macarthur,Sydney FC,0,3,3,[],"['11', '28', '58']",2.4,3.2,2.75,1.78,1.89,1.73,2.0
32,1443966,Australia A-League,2021/2022,2022-01-01 05:45:00,7,Adelaide United,Wellington Phoenix,4,0,4,"['7', '54', '69', '80']",[],2.01,3.31,3.17,1.7,2.0,1.67,2.1
33,1443974,Australia A-League,2021/2022,2022-01-08 05:45:00,9,Melbourne Victory FC,Adelaide United,1,1,2,['84'],['90+1'],1.95,3.45,3.35,1.68,2.05,1.68,2.15
34,1443962,Australia A-League,2021/2022,2022-01-09 04:45:00,26,Melbourne City FC,Western Sydney Wanderers,3,3,6,"['16', '36', '60']","['5', '9', '68']",1.73,4.2,4.6,1.6,2.25,1.73,2.0
35,1443981,Australia A-League,2021/2022,2022-01-15 05:45:00,10,Sydney FC,Brisbane Roar,1,1,2,['34'],['40'],1.62,4.1,4.6,1.85,1.95,1.91,1.83
