Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Australia A-League,2021/2022,2021-11-19 05:45:00,1,Melbourne City FC,Brisbane Roar,2,1,3,"['40', '43']",['71'],1.5,4.2,6.0,1.55,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Australia A-League,2021/2022,2021-11-20 05:45:00,1,Western Sydney Wanderers,Sydney FC,0,0,0,[],[],3.1,3.9,2.14,1.6,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Australia A-League,2021/2022,2021-11-20 05:45:00,1,Western United,Melbourne Victory FC,0,1,1,[],['75'],2.6,3.8,2.47,1.54,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Australia A-League,2021/2022,2021-11-20 08:05:00,1,Perth Glory FC,Adelaide United,1,1,2,['40'],['22'],2.21,3.6,3.2,1.55,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Australia A-League,2021/2022,2021-11-21 02:05:00,1,Newcastle Jets FC,Central Coast Mariners,1,2,3,['77'],"['50', '57']",2.28,3.56,2.95,1.77,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Australia A-League,2021/2022,2021-11-21 04:45:00,1,Macarthur,Wellington Phoenix,1,1,2,['61'],['25'],2.12,3.68,2.8,1.73,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Australia A-League,2021/2022,2021-11-26 05:45:00,2,Western United,Perth Glory FC,1,0,1,['78'],[],2.4,3.35,2.7,1.78,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Australia A-League,2021/2022,2021-11-27 03:05:00,2,Wellington Phoenix,Central Coast Mariners,2,1,3,"['48', '63']",['52'],2.07,3.4,3.1,1.65,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Australia A-League,2021/2022,2021-11-27 05:45:00,2,Adelaide United,Melbourne City FC,2,2,4,"['78', '90']","['28', '61']",3.25,3.4,2.1,1.72,1.66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Australia A-League,2021/2022,2021-11-27 05:45:00,2,Sydney FC,Macarthur,0,1,1,[],['17'],2.05,3.45,3.3,1.85,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Australia A-League,2021/2022,2021-11-28 02:05:00,2,Melbourne Victory FC,Brisbane Roar,3,0,3,"['27', '31', '50']",[],2.4,3.2,2.65,1.8,1.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,Australia A-League,2021/2022,2021-11-28 04:15:00,2,Western Sydney Wanderers,Newcastle Jets FC,2,2,4,"['42', '49']","['19', '52']",2.2,3.3,2.87,1.73,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Australia A-League,2021/2022,2021-12-03 05:45:00,3,Wellington Phoenix,Western Sydney Wanderers,0,2,2,[],"['66', '90+3']",2.35,3.55,2.75,1.63,1.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Australia A-League,2021/2022,2021-12-04 03:05:00,3,Brisbane Roar,Adelaide United,0,0,0,[],[],2.24,3.42,3.11,1.72,1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Australia A-League,2021/2022,2021-12-04 05:45:00,3,Melbourne City FC,Western United,0,1,1,[],['20'],1.45,4.6,6.54,1.55,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Australia A-League,2021/2022,2021-12-04 05:45:00,3,Sydney FC,Newcastle Jets FC,2,2,4,"['9', '30']","['58', '65']",1.65,4.1,4.76,1.6,1.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Australia A-League,2021/2022,2021-12-05 02:05:00,3,Macarthur,Central Coast Mariners,1,0,1,['45'],[],2.72,3.54,2.45,1.78,1.66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Australia A-League,2021/2022,2021-12-05 04:45:00,3,Melbourne Victory FC,Perth Glory FC,0,3,3,[],"['66', '74', '88']",2.05,3.5,3.6,1.85,1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Australia A-League,2021/2022,2021-12-08 05:45:00,4,Melbourne City FC,Perth Glory FC,1,0,1,['88'],[],1.46,4.1,5.75,1.6,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Australia A-League,2021/2022,2021-12-10 05:45:00,4,Newcastle Jets FC,Wellington Phoenix,4,0,4,"['32', '52', '69', '80']",[],2.58,3.4,2.64,1.69,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Australia A-League,2021/2022,2021-12-11 03:05:00,4,Western United,Brisbane Roar,1,0,1,['50'],[],2.4,3.1,2.5,1.74,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Australia A-League,2021/2022,2021-12-11 05:45:00,4,Adelaide United,Melbourne Victory FC,1,2,3,['70'],"['59', '78']",2.16,3.6,3.15,1.74,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,Australia A-League,2021/2022,2021-12-11 05:45:00,4,Western Sydney Wanderers,Macarthur,0,2,2,[],"['64', '74']",2.45,3.54,2.72,1.8,1.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Australia A-League,2021/2022,2021-12-12 04:20:00,4,Central Coast Mariners,Sydney FC,2,0,2,"['13', '16']",[],2.9,3.15,2.1,1.74,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,Australia A-League,2021/2022,2021-12-17 05:45:00,5,Western United,Adelaide United,1,0,1,['44'],[],2.15,3.5,3.2,1.8,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Australia A-League,2021/2022,2021-12-18 03:05:00,5,Central Coast Mariners,Western Sydney Wanderers,2,0,2,"['59', '90+7']",[],2.75,3.5,2.4,1.8,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,Australia A-League,2021/2022,2021-12-18 05:45:00,5,Melbourne City FC,Melbourne Victory FC,2,2,4,"['60', '63']","['12', '81']",1.5,4.6,5.75,1.53,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Australia A-League,2021/2022,2021-12-19 02:05:00,5,Macarthur,Newcastle Jets FC,2,1,3,"['48', '84']",['35'],2.08,3.55,3.0,1.85,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Australia A-League,2021/2022,2021-12-19 04:45:00,5,Sydney FC,Wellington Phoenix,2,1,3,"['19', '57']",['83'],2.0,3.4,3.3,1.7,1.73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Australia A-League,2021/2022,2021-12-26 05:45:00,6,Melbourne Victory FC,Western United,3,1,4,"['18', '19', '90+4']",['86'],2.05,3.4,3.25,1.78,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Australia A-League,2021/2022,2021-12-26 05:45:00,6,Macarthur,Sydney FC,0,3,3,[],"['11', '28', '58']",2.4,3.2,2.75,1.78,1.73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Australia A-League,2021/2022,2022-01-01 05:45:00,7,Adelaide United,Wellington Phoenix,4,0,4,"['7', '54', '69', '80']",[],2.01,3.31,3.17,1.7,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,Australia A-League,2021/2022,2022-01-08 05:45:00,9,Melbourne Victory FC,Adelaide United,1,1,2,['84'],['90+1'],1.95,3.45,3.35,1.68,1.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,Australia A-League,2021/2022,2022-01-09 04:45:00,26,Melbourne City FC,Western Sydney Wanderers,3,3,6,"['16', '36', '60']","['5', '9', '68']",1.73,4.2,4.6,1.6,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,Australia A-League,2021/2022,2022-01-15 05:45:00,10,Sydney FC,Brisbane Roar,1,1,2,['34'],['40'],1.62,4.1,4.6,1.85,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Australia A-League,2021/2022,2022-01-15 05:45:00,10,Adelaide United,Melbourne City FC,2,2,4,"['60', '84']","['24', '66']",4.2,4.1,1.66,1.6,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,Australia A-League,2021/2022,2022-01-19 05:45:00,5,Brisbane Roar,Perth Glory FC,1,0,1,['77'],[],2.19,3.08,3.0,1.83,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Australia A-League,2021/2022,2022-01-21 05:45:00,23,Wellington Phoenix,Western United,2,1,3,"['16', '35']",['90+4'],2.75,3.65,2.35,1.67,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
