Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Australia Brisbane Premier League,2021,2021-03-05 07:30:00,1,The Gap,Toowong,1,3,4,['32'],"['20', '22', '64']",9.75,7.25,1.15,1.2,1.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Australia Brisbane Premier League,2021,2021-03-06 05:00:00,1,Western Spirit,Univ. Queensland,4,2,6,"['27', '30', '41', '4502']","['50', '88']",2.25,4.33,2.38,1.44,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Australia Brisbane Premier League,2021,2021-03-06 05:10:00,1,Albany Creek,Brisbane Knights,7,0,7,"['4', '25', '49', '52', '59', '61', '70']",[],1.14,7.5,11.0,1.17,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Australia Brisbane Premier League,2021,2021-03-07 05:00:00,1,Mt Gravatt,Bayside United,1,2,3,['8'],"['20', '87']",3.15,3.9,1.91,1.37,1.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Australia Brisbane Premier League,2021,2021-03-07 05:00:00,1,The Lakes,Acacia Ridge,1,1,2,['4502'],['81'],2.1,3.7,2.8,1.41,1.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Australia Brisbane Premier League,2021,2021-03-12 07:30:00,2,Brisbane Knights,Western Spirit,7,2,9,"['4', '12', '18', '34', '48', '81', '88']","['22', '79']",4.75,5.5,1.42,1.25,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Australia Brisbane Premier League,2021,2021-03-13 05:00:00,2,Univ. Queensland,The Gap,3,1,4,"['12', '19', '90']",['28'],2.2,4.2,2.38,1.4,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Australia Brisbane Premier League,2021,2021-03-13 06:00:00,2,Toowong,Centenary Stormers,3,1,4,"['-1', '-1', '-1']",['-1'],1.45,4.75,4.5,1.36,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Australia Brisbane Premier League,2021,2021-03-14 05:00:00,2,Bayside United,The Lakes,5,0,5,"['38', '63', '78', '83', '88']",[],2.0,4.33,2.6,1.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Australia Brisbane Premier League,2021,2021-03-14 05:00:00,2,St George Willawong,Mt Gravatt,4,3,7,"['9', '53', '77', '79']","['6', '45', '90']",1.22,6.5,7.5,1.22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Australia Brisbane Premier League,2021,2021-03-20 05:00:00,3,Univ. Queensland,Centenary Stormers,2,3,5,"['40', '61']","['46', '65', '75']",2.7,3.8,2.15,1.37,1.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Australia Brisbane Premier League,2021,2021-03-20 05:10:00,3,Albany Creek,Bayside United,5,1,6,"['13', '20', '32', '54', '68']",['16'],1.45,5.0,4.5,1.28,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Australia Brisbane Premier League,2021,2021-03-20 06:00:00,3,The Lakes,St George Willawong,3,2,5,"['30', '67', '9004']","['49', '66']",7.5,5.5,1.29,1.21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Australia Brisbane Premier League,2021,2021-03-26 07:30:00,4,Univ. Queensland,Mt Gravatt,0,1,1,[],['84'],2.25,3.9,2.5,1.32,1.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Australia Brisbane Premier League,2021,2021-03-26 07:30:00,4,The Gap,Brisbane Knights,0,2,2,[],"['26', '86']",3.0,4.15,1.87,1.26,1.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Australia Brisbane Premier League,2021,2021-03-27 06:00:00,4,Toowong,The Lakes,1,5,6,['26'],"['15', '40', '54', '58', '79']",1.32,5.5,5.75,1.26,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Australia Brisbane Premier League,2021,2021-03-27 06:00:00,4,Bayside United,Acacia Ridge,4,2,6,"['19', '46', '61', '75']","['12', '26']",1.57,4.35,4.1,1.36,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Australia Brisbane Premier League,2021,2021-03-28 05:00:00,4,St George Willawong,Albany Creek,3,3,6,"['37', '60', '81']","['3', '14', '49']",3.5,4.05,1.74,1.33,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,Australia Brisbane Premier League,2021,2021-04-10 05:00:00,5,St George Willawong,Acacia Ridge,0,3,3,[],"['19', '49', '9003']",0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Australia Brisbane Premier League,2021,2021-04-10 06:10:00,5,Albany Creek,Toowong,4,0,4,"['30', '39', '50', '77']",[],1.33,5.0,6.0,1.29,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Australia Brisbane Premier League,2021,2021-04-10 06:10:00,5,The Lakes,Univ. Queensland,7,1,8,"['8', '18', '34', '38', '55', '66', '80']",['49'],1.36,5.0,5.5,1.33,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Australia Brisbane Premier League,2021,2021-04-13 07:30:00,5,Centenary Stormers,The Gap,2,1,3,"['35', '56']",['24'],1.33,5.5,5.5,1.3,1.39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Australia Brisbane Premier League,2021,2021-04-17 05:00:00,3,The Gap,Western Spirit,0,5,5,[],"['13', '62', '69', '89', '9003']",3.74,4.29,1.77,1.36,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
