Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1275943,Austria 2. Liga,2021/2022,2021-07-23 13:30:00,1,Austria Wien II,Wacker Innsbruck,1,1,2,['78'],['17'],3.9,3.9,1.8,1.5,2.5,1.5,2.45
2,1275944,Austria 2. Liga,2021/2022,2021-07-23 13:30:00,1,Amstetten,Floridsdorfer AC,1,1,2,['73'],['44'],2.7,3.25,2.55,1.95,1.83,1.77,2.0
3,1275945,Austria 2. Liga,2021/2022,2021-07-23 13:30:00,1,SPG FC Pasching-LASK Juniors,Lafnitz,2,4,6,"['2', '75']","['27', '34', '40', '69']",2.55,3.75,2.45,1.54,2.4,1.49,2.5
4,1275946,Austria 2. Liga,2021/2022,2021-07-23 13:30:00,1,Horn,Vorwärts Steyr,2,1,3,"['15', '59']",['78'],1.95,3.85,3.45,1.67,2.15,1.65,2.2
5,1275947,Austria 2. Liga,2021/2022,2021-07-23 13:30:00,1,Kapfenberger SV,Liefering,0,2,2,[],"['70', '86']",6.0,4.8,1.42,1.54,2.4,1.74,2.05
6,1275949,Austria 2. Liga,2021/2022,2021-07-24 15:00:00,1,Blau-Weiß Linz,Dornbirn,2,1,3,"['4', '52']",['90+5'],1.36,4.4,6.5,1.4,2.75,1.8,1.95
7,1275950,Austria 2. Liga,2021/2022,2021-07-25 05:30:00,1,Austria Lustenau,Grazer AK,2,1,3,"['31', '64']",['24'],4.2,4.2,1.5,1.65,2.2,1.57,2.25
8,1275954,Austria 2. Liga,2021/2022,2021-07-30 13:30:00,2,Grazer AK,Horn,1,1,2,['43'],['24'],1.74,4.2,3.9,1.62,2.25,1.67,2.15
9,1275953,Austria 2. Liga,2021/2022,2021-07-30 13:30:00,2,Lafnitz,Austria Lustenau,1,4,5,['17'],"['3', '22', '32', '61']",1.83,4.0,3.65,1.57,2.35,1.57,2.3
10,1275955,Austria 2. Liga,2021/2022,2021-07-30 13:30:00,2,Rapid Wien II,SPG FC Pasching-LASK Juniors,0,0,0,[],[],2.3,3.55,2.85,1.65,2.2,1.56,2.35
11,1275951,Austria 2. Liga,2021/2022,2021-07-30 13:30:00,2,Liefering,St. Pölten,2,1,3,"['46', '48']",['56'],2.25,3.85,2.8,1.54,2.45,1.49,2.5
12,1275952,Austria 2. Liga,2021/2022,2021-07-30 13:30:00,2,Wacker Innsbruck,Kapfenberger SV,2,0,2,"['36', '69']",[],1.29,5.75,8.25,1.47,2.65,1.8,2.0
13,1275956,Austria 2. Liga,2021/2022,2021-07-30 15:25:00,2,Floridsdorfer AC,Austria Wien II,1,2,3,['65'],"['37', '61']",2.25,3.4,2.75,1.5,2.41,1.47,2.5
14,1275957,Austria 2. Liga,2021/2022,2021-07-31 15:00:00,2,Dornbirn,Amstetten,0,6,6,[],"['1', '27', '31', '66', '85', '90+1']",2.75,3.5,2.4,1.74,2.05,1.65,2.15
15,1275958,Austria 2. Liga,2021/2022,2021-08-01 05:30:00,2,Vorwärts Steyr,Blau-Weiß Linz,0,4,4,[],"['37', '41', '47', '57']",5.35,4.64,1.53,1.45,2.56,1.67,2.15
16,1275948,Austria 2. Liga,2021/2022,2021-08-03 13:30:00,1,St. Pölten,Rapid Wien II,1,2,3,['11'],"['63', '65']",1.43,4.45,6.5,1.74,2.1,2.0,1.8
