Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Austria 2. Liga,2022/2023,2022-07-22 13:00:00,1,First Vienna,Blau-Weiß Linz,2,0,2,"['26', '30']",[],4.5,4.0,1.7,1.85,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Austria 2. Liga,2022/2023,2022-07-22 13:10:00,1,Vorwärts Steyr,Rapid Wien II,2,2,4,"['20', '45']","['29', '42']",2.38,3.75,2.8,1.62,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Austria 2. Liga,2022/2023,2022-07-22 13:10:00,1,Horn,Sturm Graz II,2,1,3,"['36', '78']",['41'],2.25,3.7,2.9,1.57,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Austria 2. Liga,2022/2023,2022-07-22 13:10:00,1,Austria Wien II,Liefering,2,2,4,"['71', '79']","['50', '67']",4.33,3.75,1.83,1.65,1.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Austria 2. Liga,2022/2023,2022-07-22 13:10:00,1,Amstetten,Kapfenberger SV,3,0,3,"['52', '66', '90+2']",[],1.55,4.2,5.5,1.65,1.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Austria 2. Liga,2022/2023,2022-07-23 12:00:00,1,St. Pölten,Dornbirn,2,0,2,"['2', '70']",[],1.5,4.5,6.0,1.53,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Austria 2. Liga,2022/2023,2022-07-23 12:00:00,1,Grazer AK,Floridsdorfer AC,0,0,0,[],[],2.55,3.5,2.75,1.95,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Austria 2. Liga,2022/2023,2022-07-24 05:30:00,1,Lafnitz,Admira,2,1,3,"['29', '45+3']",['39'],2.96,3.45,2.22,1.59,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Austria 2. Liga,2022/2023,2022-07-29 13:10:00,2,Rapid Wien II,St. Pölten,1,5,6,['89'],"['7', '42', '72', '74', '76']",3.0,3.8,2.2,1.62,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Austria 2. Liga,2022/2023,2022-07-29 13:10:00,2,Dornbirn,Amstetten,1,3,4,['26'],"['2', '54', '81']",5.0,4.33,1.6,1.5,1.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Austria 2. Liga,2022/2023,2022-07-29 13:10:00,2,Kapfenberger SV,Horn,0,1,1,[],['76'],3.3,3.5,2.15,1.7,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Austria 2. Liga,2022/2023,2022-07-29 13:10:00,2,Blau-Weiß Linz,Austria Wien II,4,2,6,"['18', '27', '55', '77']","['48', '80']",1.17,7.0,15.0,1.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Austria 2. Liga,2022/2023,2022-07-29 15:30:00,2,Admira,Grazer AK,4,3,7,"['3', '14', '41', '64']","['21', '45', '76']",1.91,3.5,4.2,1.8,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Austria 2. Liga,2022/2023,2022-07-31 05:30:00,2,Floridsdorfer AC,First Vienna,0,1,1,[],['38'],2.04,3.56,3.41,1.68,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
