Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,3455147,Azerbaijan First Division,2022/2023,2022-08-24 09:30:00,1,Turan Tovuz II,Keşlə II,1,0,1,['16'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3455150,Azerbaijan First Division,2022/2023,2022-08-24 09:30:00,1,MOIK,Zaqatala,2,0,2,"['45+1', '90']",[],1.77,3.85,3.25,1.43,2.7,1.41,2.6
3,3455149,Azerbaijan First Division,2022/2023,2022-08-24 10:00:00,1,Araz,Qarabağ II,5,1,6,"['23', '40', '45+3', '71', '84']",['54'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3455146,Azerbaijan First Division,2022/2023,2022-08-24 12:30:00,1,Zira II,Kapaz II,2,2,4,"['-1', '-1']","['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3455148,Azerbaijan First Division,2022/2023,2022-08-25 09:30:00,1,FK Qəbələ II,Mil Mugan FK,2,0,2,"['39', '50']",[],1.42,4.3,6.2,1.79,1.96,0.0,0.0
6,3455151,Azerbaijan First Division,2022/2023,2022-08-25 09:30:00,1,Energetik,Neftçi II,4,1,5,"['26', '31', '49', '56']",['68'],4.7,4.1,1.55,1.63,2.18,1.68,2.01
7,3455152,Azerbaijan First Division,2022/2023,2022-08-25 09:30:00,1,Qaradağ Lökbatan,Səbail II,0,1,1,[],['60'],1.51,4.3,4.9,1.62,2.2,0.0,0.0
8,3577376,Azerbaijan First Division,2022/2023,2022-08-30 09:30:00,2,Zaqatala,Energetik,2,1,3,"['33', '84']",['14'],3.31,3.93,1.77,1.38,2.52,1.44,2.52
9,3577377,Azerbaijan First Division,2022/2023,2022-08-30 09:30:00,2,Qarabağ II,MOIK,0,0,0,[],[],2.5,3.11,2.5,1.98,1.63,0.0,0.0
10,3577375,Azerbaijan First Division,2022/2023,2022-08-30 10:00:00,2,Neftçi II,Qaradağ Lökbatan,2,0,2,"['20', '76']",[],4.78,3.71,1.56,1.54,2.13,1.68,2.01
