Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1331466,Azerbaijan Premyer Liqası,2021/2022,2021-08-14 11:30:00,1,Sabah,Sabail FK,0,1,1,[],['30'],2.19,2.9,3.05,2.25,1.57,1.95,1.62
2,1331465,Azerbaijan Premyer Liqası,2021/2022,2021-08-14 13:30:00,1,İnter Bakı,Sumqayıt,0,2,2,[],"['83', '89']",1.58,3.1,2.15,2.4,1.53,2.05,1.71
3,1331463,Azerbaijan Premyer Liqası,2021/2022,2021-08-15 11:00:00,1,Zira,Qarabağ,1,1,2,['50'],['18'],9.24,4.3,1.25,1.89,1.72,2.7,1.33
4,1331464,Azerbaijan Premyer Liqası,2021/2022,2021-08-15 13:00:00,1,Neftçi,Qabala,2,2,4,"['55', '76']","['67', '84']",1.15,4.2,4.75,1.85,1.95,2.05,1.71
5,1353985,Azerbaijan Premyer Liqası,2021/2022,2021-08-21 11:00:00,2,Qabala,İnter Bakı,2,1,3,"['11', '30']",['77'],2.3,2.9,2.6,2.0,1.59,1.83,1.74
6,1353986,Azerbaijan Premyer Liqası,2021/2022,2021-08-21 13:00:00,2,Sumqayıt,Sabah,2,0,2,"['32', '78']",[],1.95,3.2,1.75,2.35,1.57,1.99,1.75
7,1353987,Azerbaijan Premyer Liqası,2021/2022,2021-08-22 11:30:00,2,Zira,Neftçi,1,2,3,['90+4'],"['72', '90+3']",3.18,3.35,2.09,2.13,1.64,1.9,1.83
8,1353988,Azerbaijan Premyer Liqası,2021/2022,2021-08-22 13:30:00,2,Qarabağ,Sabail FK,3,0,3,"['30', '45+2', '76']",[],1.04,5.5,7.5,1.9,1.9,2.89,1.37
9,1391175,Azerbaijan Premyer Liqası,2021/2022,2021-09-11 11:00:00,3,Sabah,Qabala,0,2,2,[],"['53', '90+3']",2.1,3.05,2.8,1.95,1.65,1.77,1.77
10,1391174,Azerbaijan Premyer Liqası,2021/2022,2021-09-11 13:15:00,3,İnter Bakı,Zira,0,2,2,[],"['63', '72']",1.62,3.1,2.05,2.25,1.62,1.96,1.8
11,1391176,Azerbaijan Premyer Liqası,2021/2022,2021-09-12 11:00:00,3,Sabail FK,Sumqayıt,1,0,1,['64'],[],2.65,3.28,2.5,1.99,1.79,1.71,1.83
12,1391177,Azerbaijan Premyer Liqası,2021/2022,2021-09-12 13:30:00,3,Neftçi,Qarabağ,1,2,3,['47'],"['21', '45']",2.65,3.25,1.42,2.15,1.67,1.89,1.83
13,1391178,Azerbaijan Premyer Liqası,2021/2022,2021-09-18 10:00:00,4,Qabala,Sabail FK,5,0,5,"['65', '84', '89', '90+1', '90+5']",[],1.83,3.05,3.5,2.05,1.57,1.95,1.65
14,1391179,Azerbaijan Premyer Liqası,2021/2022,2021-09-18 12:15:00,4,Zira,Sabah,1,1,2,['48'],['83'],2.23,2.9,1.58,2.4,1.53,1.93,1.77
15,1391180,Azerbaijan Premyer Liqası,2021/2022,2021-09-19 11:30:00,4,Neftçi,İnter Bakı,3,0,3,"['36', '50', '68']",[],1.47,3.75,4.8,1.8,1.74,1.91,1.65
16,1391181,Azerbaijan Premyer Liqası,2021/2022,2021-09-20 12:00:00,4,Qarabağ,Sumqayıt,2,0,2,"['42', '90+5']",[],1.06,5.25,7.5,1.71,2.03,2.1,1.66
17,1391182,Azerbaijan Premyer Liqası,2021/2022,2021-09-25 10:00:00,5,İnter Bakı,Qarabağ,1,1,2,['72'],['20'],3.25,3.2,2.0,2.04,1.69,2.03,1.72
18,1391183,Azerbaijan Premyer Liqası,2021/2022,2021-09-25 12:15:00,5,Sabail FK,Zira,1,2,3,['45'],"['17', '40']",3.1,3.25,1.33,2.35,1.57,2.13,1.65
19,1391184,Azerbaijan Premyer Liqası,2021/2022,2021-09-26 10:00:00,5,Sabah,Neftçi,1,2,3,['81'],"['21', '77']",3.04,3.22,2.26,2.1,1.67,1.85,1.85
20,1391185,Azerbaijan Premyer Liqası,2021/2022,2021-09-26 12:15:00,5,Sumqayıt,Qabala,0,0,0,[],[],1.8,3.1,1.9,2.2,1.6,1.95,1.75
21,1391186,Azerbaijan Premyer Liqası,2021/2022,2021-10-01 12:30:00,6,Zira,Sumqayıt,1,0,1,['14'],[],1.5,3.2,2.45,2.6,1.48,2.1,1.66
22,1391188,Azerbaijan Premyer Liqası,2021/2022,2021-10-02 10:00:00,6,İnter Bakı,Sabah,2,0,2,"['3', '90+5']",[],2.7,2.95,2.55,2.23,1.58,1.9,1.83
23,1391210,Azerbaijan Premyer Liqası,2021/2022,2021-10-02 12:15:00,6,Sabail FK,Neftçi,1,3,4,['90+5'],"['26', '45+1', '78']",5.5,4.2,1.14,2.0,1.8,2.3,1.57
24,1391189,Azerbaijan Premyer Liqası,2021/2022,2021-10-03 12:00:00,6,Qarabağ,Qabala,2,0,2,"['52', '66']",[],1.14,4.75,5.0,1.7,2.1,1.8,1.9
25,1391190,Azerbaijan Premyer Liqası,2021/2022,2021-10-16 08:00:00,7,Sabail FK,İnter Bakı,1,2,3,['69'],"['67', '78']",2.48,3.0,2.55,2.03,1.7,1.95,1.81
26,1391191,Azerbaijan Premyer Liqası,2021/2022,2021-10-16 10:00:00,7,Qabala,Zira,1,1,2,['79'],['18'],2.6,3.0,2.49,2.11,1.65,2.17,1.63
27,1391193,Azerbaijan Premyer Liqası,2021/2022,2021-10-17 09:30:00,7,Sumqayıt,Neftçi,1,1,2,['50'],['54'],3.4,3.34,2.07,2.1,1.75,2.11,1.69
28,1391192,Azerbaijan Premyer Liqası,2021/2022,2021-10-17 11:45:00,7,Sabah,Qarabağ,1,2,3,['65'],"['43', '51']",4.9,4.0,1.12,2.05,1.67,1.96,1.8
29,1391194,Azerbaijan Premyer Liqası,2021/2022,2021-10-23 09:00:00,8,Sabah,Sumqayıt,3,0,3,"['60', '79', '83']",[],2.08,3.06,3.24,2.08,1.67,1.66,2.1
30,1391195,Azerbaijan Premyer Liqası,2021/2022,2021-10-23 11:15:00,8,Neftçi,Zira,2,1,3,"['39', '84']",['6'],1.55,3.53,5.33,2.2,1.6,1.87,1.83
