Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Azerbaijan First Division,2021/2022,2021-09-14 09:30:00,1,Kapaz,FK Qəbələ II,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Azerbaijan First Division,2021/2022,2021-09-14 10:00:00,1,Neftçi II,Sabah II,1,2,3,['-1'],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Azerbaijan First Division,2021/2022,2021-09-14 11:30:00,1,Keşlə II,Zaqatala,5,1,6,"['-1', '-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Azerbaijan First Division,2021/2022,2021-09-15 09:30:00,1,Sumqayıt II,Qaradağ Lökbatan,0,2,2,[],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Azerbaijan First Division,2021/2022,2021-09-15 09:30:00,1,Turan,MOIK,0,2,2,[],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Azerbaijan First Division,2021/2022,2021-09-15 11:30:00,1,Səbail II,Zira II,1,2,3,['-1'],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Azerbaijan First Division,2021/2022,2021-09-21 08:00:00,2,FK Qəbələ II,Neftçi II,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Azerbaijan First Division,2021/2022,2021-09-21 08:30:00,2,MOIK,Səbail II,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Azerbaijan First Division,2021/2022,2021-09-22 08:30:00,2,Zaqatala,Turan,3,0,3,"['-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Azerbaijan First Division,2021/2022,2021-09-22 08:30:00,2,Qarabağ II,Sumqayıt II,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Azerbaijan First Division,2021/2022,2021-09-22 08:30:00,2,Qaradağ Lökbatan,Kapaz,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Azerbaijan First Division,2021/2022,2021-09-22 10:30:00,15,Keşlə II,Sabah II,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Azerbaijan First Division,2021/2022,2021-09-28 08:00:00,3,Kapaz,Qarabağ II,4,2,6,"['53', '69', '90+4', '90+8']","['7', '45+6']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
