Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Azerbaijan Premyer Liqası,2022/2023,2022-08-05 12:30:00,1,Kapaz,Zira,1,2,3,['45+1'],"['32', '90+4']",4.5,4.33,1.5,2.15,2.26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Azerbaijan Premyer Liqası,2022/2023,2022-08-06 13:00:00,1,Qarabağ,Sabail FK,3,1,4,"['42', '45+2', '47']",['71'],1.13,8.0,19.0,1.44,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Azerbaijan Premyer Liqası,2022/2023,2022-08-07 10:00:00,1,İnter Bakı,Neftçi,0,1,1,[],['80'],4.5,3.3,1.7,2.1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Azerbaijan Premyer Liqası,2022/2023,2022-08-07 12:15:00,1,Sabah,Sumqayıt,3,0,3,"['28', '54', '90+3']",[],1.53,3.75,5.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Azerbaijan Premyer Liqası,2022/2023,2022-08-08 10:00:00,1,Turan,Qabala,0,2,2,[],"['58', '63']",5.8,4.1,1.47,1.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Azerbaijan Premyer Liqası,2022/2023,2022-08-12 12:00:00,2,Zira,Sabah,1,3,4,['34'],"['5', '26', '48']",3.25,3.1,2.15,2.15,1.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Azerbaijan Premyer Liqası,2022/2023,2022-08-13 11:20:00,2,Sumqayıt,Qarabağ,0,2,2,[],"['90+4', '90+8']",10.78,5.39,1.2,1.64,2.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Azerbaijan Premyer Liqası,2022/2023,2022-08-13 13:30:00,2,Sabail FK,Turan,0,1,1,[],['48'],2.0,3.4,3.1,1.7,1.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Azerbaijan Premyer Liqası,2022/2023,2022-08-14 11:20:00,2,Qabala,İnter Bakı,3,1,4,"['8', '10', '20']",['56'],1.53,3.75,5.0,1.95,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Azerbaijan Premyer Liqası,2022/2023,2022-08-14 13:30:00,2,Neftçi,Kapaz,5,2,7,"['11', '12', '15', '51', '89']","['57', '90+3']",1.33,4.0,8.5,1.95,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Azerbaijan Premyer Liqası,2022/2023,2022-08-19 09:30:00,3,İnter Bakı,Sabail FK,1,1,2,['71'],['20'],2.75,3.4,2.2,1.85,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Azerbaijan Premyer Liqası,2022/2023,2022-08-20 13:30:00,3,Sabah,Neftçi,2,1,3,"['78', '90+1']",['45+2'],2.45,3.25,2.5,1.95,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Azerbaijan Premyer Liqası,2022/2023,2022-08-21 11:00:00,3,Kapaz,Qabala,0,3,3,[],"['18', '27', '57']",6.4,3.96,1.48,1.98,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Azerbaijan Premyer Liqası,2022/2023,2022-08-21 13:30:00,3,Zira,Sumqayıt,0,0,0,[],[],1.75,3.3,4.2,2.2,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Azerbaijan Premyer Liqası,2022/2023,2022-08-26 11:00:00,4,Sumqayıt,Turan,0,0,0,[],[],1.8,3.45,3.9,1.96,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Azerbaijan Premyer Liqası,2022/2023,2022-08-26 13:30:00,4,Neftçi,Zira,2,1,3,"['14', '79']",['54'],1.65,3.5,4.5,2.3,2.02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Azerbaijan Premyer Liqası,2022/2023,2022-08-27 11:00:00,4,Sabail FK,Kapaz,4,1,5,"['51', '55', '74', '9004']",['11'],1.84,3.62,3.72,1.93,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Azerbaijan Premyer Liqası,2022/2023,2022-08-27 13:30:00,4,Qarabağ,İnter Bakı,4,0,4,"['36', '55', '64', '72']",[],1.11,8.0,21.0,1.48,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,Azerbaijan Premyer Liqası,2022/2023,2022-08-28 13:00:00,4,Qabala,Sabah,0,2,2,[],"['48', '64']",2.88,3.2,2.25,2.1,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Azerbaijan Premyer Liqası,2022/2023,2022-09-01 12:00:00,5,Kapaz,Qarabağ,0,1,1,[],['44'],15.0,10.0,1.1,1.4,2.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Azerbaijan Premyer Liqası,2022/2023,2022-09-03 09:00:00,5,İnter Bakı,Turan,0,1,1,[],['84'],3.8,3.3,1.8,1.9,1.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Azerbaijan Premyer Liqası,2022/2023,2022-09-03 13:30:00,5,Neftçi,Sumqayıt,3,0,3,"['19', '55', '77']",[],1.56,3.93,5.2,2.11,2.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,Azerbaijan Premyer Liqası,2022/2023,2022-09-04 11:00:00,5,Sabah,Sabail FK,0,0,0,[],[],1.18,6.48,8.98,1.65,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Azerbaijan Premyer Liqası,2022/2023,2022-09-04 13:30:00,5,Zira,Qabala,2,1,3,"['45', '74']",['35'],2.3,3.3,2.7,2.15,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Azerbaijan Premyer Liqası,2022/2023,2022-09-09 09:30:00,6,Turan,Kapaz,2,0,2,"['39', '77']",[],1.33,4.2,8.0,2.02,1.81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Azerbaijan Premyer Liqası,2022/2023,2022-09-10 11:00:00,6,Qabala,Neftçi,1,2,3,['33'],"['47', '53']",3.1,3.15,2.08,2.2,1.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Azerbaijan Premyer Liqası,2022/2023,2022-09-10 13:30:00,6,Sabail FK,Zira,1,2,3,['13'],"['5', '33']",3.3,3.0,2.05,2.25,1.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Azerbaijan Premyer Liqası,2022/2023,2022-09-11 11:00:00,6,Sumqayıt,İnter Bakı,1,1,2,['3'],['45'],2.05,3.4,3.2,2.15,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Azerbaijan Premyer Liqası,2022/2023,2022-09-11 13:30:00,6,Qarabağ,Sabah,4,3,7,"['29', '51', '83', '90+3']","['32', '59', '67']",1.57,3.96,5.05,1.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Azerbaijan Premyer Liqası,2022/2023,2022-09-16 11:00:00,7,Sabah,Turan,3,1,4,"['15', '34', '90+6']",['82'],1.63,3.95,4.4,1.94,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Azerbaijan Premyer Liqası,2022/2023,2022-09-16 13:30:00,7,Sabail FK,Neftçi,0,2,2,[],"['53', '84']",6.0,3.8,1.44,1.87,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
