Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,3863803,Bahrain Bahraini Premier League,2022/2023,2022-09-11 11:05:00,1,East Riffa,Bahrain SC,1,1,2,['36'],['75'],1.75,3.3,4.1,1.95,1.78,1.85,1.83
2,3863804,Bahrain Bahraini Premier League,2022/2023,2022-09-11 11:05:00,1,Khalidiya,Al Ahli,0,1,1,[],['61'],1.86,3.34,4.1,1.99,1.78,2.15,1.63
3,3863805,Bahrain Bahraini Premier League,2022/2023,2022-09-11 14:00:00,1,Al Riffa,Al Shabab,1,0,1,['85'],[],1.58,3.7,4.9,1.78,1.82,2.1,1.67
4,3863806,Bahrain Bahraini Premier League,2022/2023,2022-09-11 14:00:00,1,Muharraq,Al-Hidd,2,0,2,"['54', '71']",[],1.86,3.1,4.0,2.18,1.53,2.1,1.67
5,3863807,Bahrain Bahraini Premier League,2022/2023,2022-09-13 12:30:00,1,Sitra,Manama,0,0,0,[],[],4.75,3.4,1.62,2.0,1.8,1.91,1.8
6,3863808,Bahrain Bahraini Premier League,2022/2023,2022-09-13 12:30:00,1,Al Hala,Budaiya,1,1,2,['33'],['49'],2.2,3.1,3.1,2.2,1.65,1.91,1.8
7,3863809,Bahrain Bahraini Premier League,2022/2023,2022-10-05 10:45:00,2,Al Shabab,Bahrain SC,3,2,5,"['4', '13', '90+2']","['7', '55']",2.08,3.15,3.0,1.96,1.78,2.0,1.73
8,3863810,Bahrain Bahraini Premier League,2022/2023,2022-10-05 12:30:00,2,Sitra,Khalidiya,1,2,3,['60'],"['14', '24']",5.75,3.8,1.5,2.1,1.7,2.25,1.57
9,3863813,Bahrain Bahraini Premier League,2022/2023,2022-10-05 13:45:00,2,Budaiya,East Riffa,0,0,0,[],[],3.1,3.3,2.2,2.0,1.8,1.83,1.83
10,3863811,Bahrain Bahraini Premier League,2022/2023,2022-10-06 10:45:00,2,Al Hala,Muharraq,0,1,1,[],['79'],4.23,3.46,1.85,2.0,1.83,1.8,1.97
