Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,3848563,Bahrain Second Division,2022/2023,2022-09-08 12:30:00,1,Isa Town,Alhassam,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0
2,3848564,Bahrain Second Division,2022/2023,2022-09-08 12:30:00,1,Al Najma,Qalali,1,1,2,['13'],['23'],1.44,4.0,6.0,1.73,2.08,0,0
3,3848565,Bahrain Second Division,2022/2023,2022-09-09 12:30:00,1,Al Ittifaq Maqaba,Al Reef,2,0,2,"['41', '66']",[],1.35,4.6,7.0,1.53,2.4,0,0
4,3848566,Bahrain Second Division,2022/2023,2022-09-09 12:30:00,1,Malkiya,Al Tadamun Buri,3,2,5,"['53', '63', '9003']","['86', '90']",1.33,5.25,6.5,1.53,2.4,0,0
5,3848567,Bahrain Second Division,2022/2023,2022-09-09 12:30:00,1,Busaiteen,Al Tadhamun,1,0,1,['-1'],[],1.67,4.0,3.75,1.5,2.5,0,0
6,3848562,Bahrain Second Division,2022/2023,2022-09-14 12:30:00,1,Al Ittihad,A'Ali,0,1,1,[],['-1'],0.0,0.0,0.0,0.0,0.0,0,0
7,3848568,Bahrain Second Division,2022/2023,2022-10-02 12:30:00,2,Qalali,A'Ali,1,1,2,['75'],['13'],2.2,3.1,3.0,2.0,1.8,0,0
8,3848569,Bahrain Second Division,2022/2023,2022-10-02 12:30:00,2,Alhassam,Al Najma,1,1,2,['69'],['20'],5.5,3.75,1.5,1.9,1.9,0,0
9,3848570,Bahrain Second Division,2022/2023,2022-10-02 12:30:00,2,Al Reef,Isa Town,3,2,5,"['51', '53', '81']","['17', '40']",5.25,3.75,1.53,1.85,1.95,0,0
10,3848571,Bahrain Second Division,2022/2023,2022-10-03 12:30:00,2,Al Tadhamun,Al Ittihad,1,2,3,['-1'],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0
11,3848572,Bahrain Second Division,2022/2023,2022-10-03 12:30:00,2,Busaiteen,Malkiya,1,1,2,['31'],['43'],2.2,3.3,2.75,1.73,2.08,0,0
12,3848573,Bahrain Second Division,2022/2023,2022-10-03 12:30:00,2,Al Tadamun Buri,Al Ittifaq Maqaba,1,1,2,['60'],['29'],4.5,3.5,1.67,1.67,2.15,0,0
13,4216442,Bahrain Second Division,2022/2023,2022-10-17 12:20:00,3,Al Tadhamun,Qalali,2,0,2,"['-1', '-1']",[],2.63,3.25,2.38,1.9,1.9,0,0
14,4216443,Bahrain Second Division,2022/2023,2022-10-17 12:20:00,3,A'Ali,Al Najma,1,2,3,['-1'],"['-1', '-1']",2.3,3.3,2.7,1.95,1.85,0,0
15,4216444,Bahrain Second Division,2022/2023,2022-10-17 12:20:00,3,Alhassam,Al Reef,4,0,4,"['25', '4501', '51', '84']",[],2.05,3.3,3.1,1.85,1.95,0,0
16,4216447,Bahrain Second Division,2022/2023,2022-10-18 12:20:00,3,Al Ittifaq Maqaba,Busaiteen,2,3,5,"['67', '70']","['16', '35', '48']",2.15,3.6,2.7,1.8,2.0,0,0
17,4216445,Bahrain Second Division,2022/2023,2022-10-18 12:20:00,3,Al Ittihad,Malkiya,0,1,1,[],['63'],2.45,3.25,2.55,1.85,1.95,0,0
18,4216446,Bahrain Second Division,2022/2023,2022-10-18 12:20:00,3,Isa Town,Al Tadamun Buri,3,0,3,"['30', '48', '54']",[],1.62,3.8,4.2,1.6,2.3,0,0
19,4307529,Bahrain Second Division,2022/2023,2022-10-22 12:15:00,4,Al Najma,Al Reef,3,0,3,"['13', '24', '56']",[],1.57,4.0,4.33,1.65,2.2,0,0
20,4307532,Bahrain Second Division,2022/2023,2022-10-22 12:15:00,4,Al Ittihad,Al Ittifaq Maqaba,2,1,3,"['-1', '-1']",['-1'],2.4,3.3,2.5,1.73,2.08,0,0
21,4307533,Bahrain Second Division,2022/2023,2022-10-22 12:15:00,4,Isa Town,Busaiteen,1,2,3,['-1'],"['-1', '-1']",2.45,3.25,2.5,1.65,2.2,0,0
22,4307534,Bahrain Second Division,2022/2023,2022-10-22 12:15:00,4,Malkiya,Qalali,1,2,3,['1'],"['15', '83']",1.67,3.75,4.2,1.73,2.08,0,0
23,4307530,Bahrain Second Division,2022/2023,2022-10-23 12:15:00,4,A'Ali,Al Tadhamun,0,0,0,[],[],1.91,3.4,3.3,1.8,2.0,0,0
24,4307531,Bahrain Second Division,2022/2023,2022-10-23 12:15:00,4,Alhassam,Al Tadamun Buri,2,1,3,"['4503', '64']",['9001'],1.8,3.6,3.5,1.73,2.08,0,0
25,4546714,Bahrain Second Division,2022/2023,2022-11-24 12:00:00,5,Al Reef,Al Tadamun Buri,1,1,2,['11'],['26'],2.05,3.2,3.25,2.08,1.73,0,0
26,4546710,Bahrain Second Division,2022/2023,2022-11-24 12:00:00,5,Al Tadhamun,Al Najma,0,4,4,[],"['-1', '-1', '-1', '-1']",4.75,3.8,1.57,1.95,1.85,0,0
27,4546711,Bahrain Second Division,2022/2023,2022-11-24 12:00:00,5,A'Ali,Malkiya,0,2,2,[],"['15', '81']",2.5,3.25,2.45,2.05,1.75,0,0
28,4546709,Bahrain Second Division,2022/2023,2022-11-26 12:00:00,5,Isa Town,Al Ittihad,2,1,3,"['13', '86']",['4501'],2.8,2.88,2.45,2.1,1.7,0,0
29,4546712,Bahrain Second Division,2022/2023,2022-11-26 12:00:00,5,Qalali,Al Ittifaq Maqaba,1,1,2,['35'],['67'],3.1,3.2,2.1,2.05,1.75,0,0
30,4546713,Bahrain Second Division,2022/2023,2022-11-26 12:00:00,5,Alhassam,Busaiteen,0,1,1,[],['58'],2.45,3.4,2.45,1.95,1.85,0,0
31,4546718,Bahrain Second Division,2022/2023,2022-12-05 12:00:00,6,Al Tadamun Buri,Al Najma,0,3,3,[],"['11', '37', '71']",8.0,4.5,1.33,1.73,2.08,0,0
32,4546717,Bahrain Second Division,2022/2023,2022-12-05 12:00:00,6,Al Reef,Busaiteen,1,5,6,['62'],"['43', '54', '58', '68', '9004']",6.0,4.5,1.4,1.8,2.0,0,0
33,4546716,Bahrain Second Division,2022/2023,2022-12-05 12:00:00,6,Malkiya,Al Tadhamun,3,1,4,"['-1', '-1', '-1']",['-1'],1.83,3.4,3.6,2.25,1.62,0,0
34,4546715,Bahrain Second Division,2022/2023,2022-12-06 12:00:00,6,Al Ittifaq Maqaba,A'Ali,1,2,3,['85'],"['57', '68']",2.25,3.2,2.8,1.73,2.08,0,0
35,4546719,Bahrain Second Division,2022/2023,2022-12-06 12:00:00,6,Al Ittihad,Alhassam,0,0,0,[],[],2.75,3.4,2.3,1.7,2.1,0,0
36,4546720,Bahrain Second Division,2022/2023,2022-12-06 12:00:00,6,Qalali,Isa Town,0,1,1,[],['81'],2.88,3.2,2.25,1.95,1.85,0,0
37,4644153,Bahrain Second Division,2022/2023,2022-12-12 12:00:00,7,Al Najma,Malkiya,4,0,4,"['11', '24', '68', '83']",[],1.91,3.5,3.6,1.8,2.0,0,0
38,4644154,Bahrain Second Division,2022/2023,2022-12-12 12:00:00,7,Al Tadamun Buri,Busaiteen,0,1,1,[],['33'],7.5,5.0,1.36,1.48,2.6,0,0
39,4644155,Bahrain Second Division,2022/2023,2022-12-12 12:00:00,7,Al Tadhamun,Al Ittifaq Maqaba,1,1,2,['20'],['90+10'],2.88,3.1,2.3,1.85,1.95,0,0
40,4644158,Bahrain Second Division,2022/2023,2022-12-13 12:00:00,7,Alhassam,Qalali,1,5,6,['4'],"['31', '67', '69', '90+6', '90+7']",2.2,2.75,3.4,2.5,1.5,0,0
41,4644157,Bahrain Second Division,2022/2023,2022-12-13 12:00:00,7,A'Ali,Isa Town,1,0,1,['29'],[],2.5,3.3,2.5,2.2,1.65,0,0
