Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Bahrain Bahraini Premier League,2021/2022,2021-08-25 12:35:00,1,Muharraq,Al Riffa,0,0,0,[],[],3.4,3.5,1.91,2.0,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bahrain Bahraini Premier League,2021/2022,2021-08-25 15:00:00,1,Al Ahli,Al Najma,1,1,2,['3'],['45'],2.1,3.2,3.11,1.83,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Bahrain Bahraini Premier League,2021/2022,2021-08-26 12:35:00,1,Manama,East Riffa,1,0,1,['28'],[],2.85,2.85,2.25,2.2,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bahrain Bahraini Premier League,2021/2022,2021-08-26 12:35:00,1,Khalidiya,Budaiya,2,0,2,"['61', '79']",[],2.15,2.95,3.0,2.2,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Bahrain Bahraini Premier League,2021/2022,2021-08-26 15:00:00,1,Al-Hidd,Al Hala,0,0,0,[],[],1.56,3.55,4.8,1.71,1.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bahrain Bahraini Premier League,2021/2022,2021-09-11 12:30:00,2,Manama,Khalidiya,2,1,3,"['73', '87']",['15'],2.5,3.1,2.7,2.5,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Bahrain Bahraini Premier League,2021/2022,2021-09-11 12:30:00,2,Muharraq,East Riffa,2,3,5,"['45+1', '47']","['40', '83', '90+1']",1.63,3.1,2.15,2.1,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Bahrain Bahraini Premier League,2021/2022,2021-09-11 15:00:00,2,Al Hala,Al Najma,1,1,2,['45'],['68'],2.4,3.3,1.5,1.88,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Bahrain Bahraini Premier League,2021/2022,2021-09-12 12:30:00,2,Al Riffa,Al-Hidd,1,0,1,['88'],[],1.17,4.0,4.5,1.95,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bahrain Bahraini Premier League,2021/2022,2021-09-12 15:00:00,2,Al Ahli,Budaiya,1,1,2,['45+3'],['84'],1.5,3.2,2.38,2.15,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Bahrain Bahraini Premier League,2021/2022,2021-09-16 12:30:00,3,Al Ahli,Manama,1,1,2,['52'],['23'],3.3,3.15,1.91,2.0,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Bahrain Bahraini Premier League,2021/2022,2021-09-16 15:00:00,3,Al-Hidd,Al Najma,1,2,3,['65'],"['22', '90+4']",2.0,3.05,3.25,1.8,1.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Bahrain Bahraini Premier League,2021/2022,2021-09-17 12:30:00,3,Al Hala,Budaiya,2,1,3,"['22', '90+8']",['2'],2.7,2.75,2.45,2.2,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Bahrain Bahraini Premier League,2021/2022,2021-09-17 15:00:00,3,Al Riffa,East Riffa,0,0,0,[],[],1.22,4.0,3.6,1.85,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bahrain Bahraini Premier League,2021/2022,2021-09-30 12:30:00,3,Muharraq,Khalidiya,0,1,1,[],['87'],1.33,3.4,3.2,2.15,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Bahrain Bahraini Premier League,2021/2022,2021-10-16 11:45:00,4,East Riffa,Al-Hidd,1,1,2,['85'],['74'],1.4,3.4,2.85,2.08,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Bahrain Bahraini Premier League,2021/2022,2021-10-16 14:20:00,4,Al Najma,Budaiya,0,1,1,[],['53'],1.44,3.3,2.7,2.1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
