Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Bahrain Second Division,2021/2022,2021-09-13 11:30:00,1,Bahrain SC,Busaiteen,3,0,3,"['2', '9001', '9006']",[],2.5,3.1,2.25,1.77,1.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Bahrain Second Division,2021/2022,2021-09-13 11:30:00,1,Isa Town,Malkiya,1,2,3,['9004'],"['23', '45']",5.5,4.0,1.38,1.51,1.71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Bahrain Second Division,2021/2022,2021-09-14 11:30:00,1,Al Tadamun Buri,Al Ittifaq Maqaba,1,6,7,['12'],"['19', '22', '42', '4501', '52', '56']",5.5,4.0,1.39,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Bahrain Second Division,2021/2022,2021-09-14 11:30:00,1,Al Shabab,Al Ittihad,2,2,4,"['13', '27']","['60', '69']",1.31,4.3,6.5,1.83,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Bahrain Second Division,2021/2022,2021-09-14 11:30:00,1,Qalali,Sitra,1,1,2,['72'],['51'],3.4,3.3,1.74,1.59,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Bahrain Second Division,2021/2022,2021-09-18 11:30:00,2,Bahrain SC,Al Ittifaq Maqaba,0,2,2,[],"['17', '4502']",2.55,3.3,2.3,1.8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bahrain Second Division,2021/2022,2021-09-18 11:30:00,2,Malkiya,Al Ittihad,2,0,2,"['71', '9004']",[],1.32,4.4,7.75,1.68,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Bahrain Second Division,2021/2022,2021-09-18 11:30:00,2,Busaiteen,Isa Town,0,0,0,[],[],2.25,3.1,2.75,1.95,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bahrain Second Division,2021/2022,2021-09-19 11:30:00,2,Al Shabab,Sitra,0,0,0,[],[],1.91,3.1,3.05,1.71,1.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bahrain Second Division,2021/2022,2021-09-19 11:30:00,2,Al Tadamun Buri,Qalali,1,3,4,['52'],"['14', '24', '88']",4.1,3.9,1.51,1.43,1.51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Bahrain Second Division,2021/2022,2021-10-18 12:00:00,3,Isa Town,Al Ittihad,0,1,1,[],['52'],1.91,3.75,3.2,1.75,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bahrain Second Division,2021/2022,2021-10-18 12:00:00,3,Busaiteen,Al Ittifaq Maqaba,2,2,4,"['4', '53']","['41', '78']",2.4,3.5,2.45,1.75,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Bahrain Second Division,2021/2022,2021-10-19 12:00:00,3,Al Shabab,Al Tadamun Buri,7,0,7,"['27', '4502', '52', '58', '78', '85', '88']",[],1.18,6.0,11.0,1.83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Bahrain Second Division,2021/2022,2021-10-19 12:00:00,3,Bahrain SC,Qalali,3,1,4,"['15', '25', '4502']",['47'],1.67,4.0,4.0,1.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Bahrain Second Division,2021/2022,2021-10-19 12:00:00,3,Malkiya,Sitra,3,1,4,"['11', '82', '9003']",['17'],1.67,3.6,4.75,2.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Bahrain Second Division,2021/2022,2021-11-03 12:00:00,4,Al Ittihad,Sitra,0,0,0,[],[],2.4,3.6,2.5,1.55,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Bahrain Second Division,2021/2022,2021-11-03 12:00:00,4,Al Ittifaq Maqaba,Isa Town,0,1,1,[],['80'],1.83,3.6,3.6,1.62,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bahrain Second Division,2021/2022,2021-11-04 12:00:00,4,Malkiya,Al Tadamun Buri,3,1,4,"['26', '69', '79']",['25'],1.04,9.0,26.0,1.22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Bahrain Second Division,2021/2022,2021-11-04 12:00:00,4,Bahrain SC,Al Shabab,1,2,3,['78'],"['37', '49']",2.3,3.25,2.7,1.98,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Bahrain Second Division,2021/2022,2021-11-04 12:00:00,4,Busaiteen,Qalali,1,4,5,['50'],"['7', '45', '88', '9006']",1.62,3.8,4.2,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Bahrain Second Division,2021/2022,2021-11-18 12:00:00,5,Al Ittifaq Maqaba,Qalali,0,0,0,[],[],1.67,4.2,3.8,1.54,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Bahrain Second Division,2021/2022,2021-11-18 12:00:00,5,Isa Town,Sitra,1,0,1,['4501'],[],2.75,3.25,2.38,1.78,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Bahrain Second Division,2021/2022,2021-11-19 12:00:00,5,Al Ittihad,Al Tadamun Buri,3,1,4,"['23', '29', '45']",['73'],1.22,6.0,8.5,1.36,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Bahrain Second Division,2021/2022,2021-11-19 12:00:00,5,Malkiya,Bahrain SC,0,1,1,[],['7'],1.57,3.8,4.75,1.75,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Bahrain Second Division,2021/2022,2021-11-19 12:00:00,5,Busaiteen,Al Shabab,0,2,2,[],"['54', '63']",3.25,3.75,1.85,1.8,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bahrain Second Division,2021/2022,2021-12-20 12:00:00,6,Sitra,Al Tadamun Buri,5,2,7,"['3', '6', '10', '4502', '66']","['8', '15']",1.13,6.5,21.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Bahrain Second Division,2021/2022,2021-12-20 12:00:00,6,Qalali,Isa Town,1,2,3,['88'],"['11', '84']",2.5,3.1,2.55,1.87,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Bahrain Second Division,2021/2022,2021-12-21 12:00:00,6,Al Ittihad,Bahrain SC,0,1,1,[],['45'],2.5,3.4,2.5,1.71,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Bahrain Second Division,2021/2022,2021-12-21 12:00:00,6,Al Ittifaq Maqaba,Al Shabab,0,0,0,[],[],2.45,3.4,2.5,1.95,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Bahrain Second Division,2021/2022,2021-12-21 12:00:00,6,Busaiteen,Malkiya,1,0,1,['53'],[],3.4,3.5,1.85,1.95,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Bahrain Second Division,2021/2022,2022-01-02 12:00:00,7,Qalali,Al Shabab,1,1,2,['11'],['35'],4.75,4.33,1.5,1.8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Bahrain Second Division,2021/2022,2022-01-02 12:00:00,7,Isa Town,Al Tadamun Buri,1,1,2,['22'],['10'],1.14,7.5,13.0,1.29,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Bahrain Second Division,2021/2022,2022-01-03 12:00:00,7,Al Ittihad,Busaiteen,2,1,3,"['4', '68']",['14'],2.05,3.5,2.9,1.93,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Bahrain Second Division,2021/2022,2022-01-03 12:00:00,7,Sitra,Bahrain SC,0,1,1,[],['3'],2.75,3.2,2.3,1.93,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Bahrain Second Division,2021/2022,2022-01-03 12:00:00,7,Al Ittifaq Maqaba,Malkiya,1,1,2,['58'],['67'],4.33,3.5,1.73,1.96,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Bahrain Second Division,2021/2022,2022-01-09 12:00:00,8,Al Tadamun Buri,Bahrain SC,0,2,2,[],"['38', '79']",12.0,7.0,1.14,1.32,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Bahrain Second Division,2021/2022,2022-01-09 12:00:00,8,Al Shabab,Isa Town,2,2,4,"['9', '64']","['31', '90']",2.0,3.25,3.3,1.74,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,Bahrain Second Division,2021/2022,2022-01-11 12:00:00,8,Sitra,Busaiteen,3,1,4,"['63', '80', '85']",['61'],2.1,3.0,3.3,1.77,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,Bahrain Second Division,2021/2022,2022-01-11 12:00:00,8,Al Ittifaq Maqaba,Al Ittihad,4,3,7,"['6', '4502', '65', '82']","['19', '28', '77']",2.38,3.1,3.0,1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Bahrain Second Division,2021/2022,2022-01-11 12:00:00,8,Qalali,Malkiya,1,1,2,['76'],['82'],5.0,3.6,1.57,1.98,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Bahrain Second Division,2021/2022,2022-01-16 12:15:00,9,Al Shabab,Malkiya,3,2,5,"['12', '52', '71']","['15', '9005']",2.38,3.1,2.7,1.85,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,Bahrain Second Division,2021/2022,2022-01-16 12:15:00,9,Al Tadamun Buri,Busaiteen,2,2,4,"['47', '53']","['13', '74']",5.0,4.5,1.44,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Bahrain Second Division,2021/2022,2022-01-16 12:15:00,9,Isa Town,Bahrain SC,1,4,5,['37'],"['8', '15', '80', '85']",2.75,3.2,2.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Bahrain Second Division,2021/2022,2022-01-17 12:15:00,9,Qalali,Al Ittihad,1,2,3,['9005'],"['25', '50']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,Bahrain Second Division,2021/2022,2022-01-17 12:15:00,9,Sitra,Al Ittifaq Maqaba,2,4,6,"['36', '56']","['18', '28', '59', '64']",2.75,3.25,2.25,1.95,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,Bahrain Second Division,2021/2022,2022-02-12 12:15:00,10,Al Ittihad,Bahrain SC,2,3,5,"['24', '43']","['10', '51', '87']",3.8,3.6,1.73,1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,Bahrain Second Division,2021/2022,2022-02-12 12:15:00,10,Malkiya,Qalali,1,0,1,['3'],[],1.83,3.25,4.0,1.75,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Bahrain Second Division,2021/2022,2022-02-12 12:15:00,10,Al Shabab,Busaiteen,5,1,6,"['3', '21', '23', '70', '90']",['20'],1.33,5.5,5.5,1.85,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,Bahrain Second Division,2021/2022,2022-02-13 12:15:00,10,Sitra,Isa Town,2,0,2,"['24', '28']",[],2.45,3.5,2.45,2.05,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,Bahrain Second Division,2021/2022,2022-02-13 12:15:00,10,Al Ittifaq Maqaba,Al Tadamun Buri,3,1,4,"['30', '41', '4501']",['61'],1.22,6.5,8.5,1.36,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,Bahrain Second Division,2021/2022,2022-02-20 12:20:00,11,Bahrain SC,Malkiya,0,3,3,[],"['4', '41', '49']",2.1,3.4,2.9,1.85,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Bahrain Second Division,2021/2022,2022-02-20 12:20:00,11,Al Shabab,Al Ittihad,3,2,5,"['4502', '61', '75']","['85', '9001']",1.91,3.6,3.2,1.53,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,Bahrain Second Division,2021/2022,2022-02-21 12:20:00,11,Sitra,Qalali,2,0,2,"['64', '75']",[],2.0,3.4,3.1,1.85,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,Bahrain Second Division,2021/2022,2022-02-21 12:20:00,11,Al Ittifaq Maqaba,Busaiteen,1,2,3,['56'],"['31', '89']",1.57,3.8,4.5,1.7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,Bahrain Second Division,2021/2022,2022-02-21 12:20:00,11,Al Tadamun Buri,Isa Town,1,2,3,['36'],"['6', '49']",9.5,5.5,1.2,1.4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,Bahrain Second Division,2021/2022,2022-02-27 12:20:00,12,Al Tadamun Buri,Qalali,2,1,3,"['17', '21']",['76'],5.5,4.5,1.4,1.6,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,Bahrain Second Division,2021/2022,2022-02-27 12:20:00,12,Al Shabab,Bahrain SC,2,0,2,"['73', '78']",[],2.25,3.3,2.7,2.3,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,Bahrain Second Division,2021/2022,2022-02-28 12:20:00,12,Isa Town,Busaiteen,1,3,4,['13'],"['57', '78', '81']",1.91,3.2,3.6,1.73,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,Bahrain Second Division,2021/2022,2022-02-28 12:20:00,12,Al Ittifaq Maqaba,Al Ittihad,1,1,2,['12'],['81'],2.4,3.0,2.75,1.62,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,Bahrain Second Division,2021/2022,2022-02-28 12:20:00,12,Sitra,Malkiya,2,0,2,"['40', '9004']",[],3.0,3.4,2.05,1.9,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,Bahrain Second Division,2021/2022,2022-03-07 12:25:00,13,Bahrain SC,Sitra,1,1,2,['65'],['37'],2.15,3.1,3.0,1.95,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,Bahrain Second Division,2021/2022,2022-03-07 12:25:00,13,Al Ittifaq Maqaba,Al Shabab,0,3,3,[],"['10', '41', '80']",4.2,3.5,1.7,1.75,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Bahrain Second Division,2021/2022,2022-03-08 12:25:00,13,Busaiteen,Qalali,0,0,0,[],[],1.91,3.25,3.5,1.95,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
