Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2578587,Belgium First Division B,2022/2023,2022-08-12 15:00:00,1,FCV Dender EH,Lommel United,1,4,5,['20'],"['12', '15', '69', '90+3']",2.16,3.28,2.75,1.72,1.89,1.57,2.25
2,2578588,Belgium First Division B,2022/2023,2022-08-12 15:00:00,1,Excelsior Virton,RWDM,1,1,2,['87'],['90+3'],4.85,3.68,1.53,1.65,2.1,1.8,1.91
3,2578589,Belgium First Division B,2022/2023,2022-08-13 11:00:00,1,Beerschot-Wilrijk,Waasland-Beveren,1,0,1,['17'],[],2.1,3.35,3.05,1.62,2.15,1.57,2.25
4,2578590,Belgium First Division B,2022/2023,2022-08-13 15:00:00,1,Club Brugge II,Standard Liège II,2,2,4,"['5', '9']","['12', '29']",1.81,3.88,3.9,0.0,0.0,0.0,0.0
5,2578591,Belgium First Division B,2022/2023,2022-08-14 11:00:00,1,KRC Genk II,Lierse Kempenzonen,4,1,5,"['30', '59', '82', '90+3']",['45+3'],2.99,3.5,2.0,1.73,2.15,0.0,0.0
6,2578592,Belgium First Division B,2022/2023,2022-08-14 15:00:00,1,RSC Anderlecht II,KMSK Deinze,0,0,0,[],[],4.6,4.1,1.69,1.67,2.1,0.0,0.0
7,2578593,Belgium First Division B,2022/2023,2022-08-19 15:00:00,2,KMSK Deinze,KRC Genk II,3,2,5,"['8', '60', '90+7']","['27', '85']",1.81,3.65,3.4,1.6,2.19,0.0,0.0
8,2578594,Belgium First Division B,2022/2023,2022-08-19 15:00:00,2,Standard Liège II,Beerschot-Wilrijk,2,2,4,"['41', '82']","['46', '86']",4.1,3.6,1.73,1.65,2.1,0.0,0.0
9,2578595,Belgium First Division B,2022/2023,2022-08-20 11:00:00,2,Waasland-Beveren,Excelsior Virton,2,2,4,"['33', '43']","['41', '90+1']",1.53,4.1,5.5,1.53,2.4,1.67,2.1
10,2578596,Belgium First Division B,2022/2023,2022-08-20 15:00:00,2,RWDM,FCV Dender EH,1,0,1,['40'],[],1.57,3.75,4.75,1.61,2.2,1.67,2.1
11,2578597,Belgium First Division B,2022/2023,2022-08-21 11:00:00,2,Lommel United,RSC Anderlecht II,0,2,2,[],"['57', '90+4']",1.96,3.6,3.0,1.58,2.3,0.0,0.0
12,2578598,Belgium First Division B,2022/2023,2022-08-21 15:00:00,2,Lierse Kempenzonen,Club Brugge II,3,1,4,"['2', '44', '54']",['32'],2.21,3.35,2.8,1.88,1.89,0.0,0.0
13,2578599,Belgium First Division B,2022/2023,2022-08-26 15:00:00,3,FCV Dender EH,Standard Liège II,0,1,1,[],['74'],2.37,3.1,2.68,1.54,2.17,0.0,0.0
14,2578600,Belgium First Division B,2022/2023,2022-08-26 15:00:00,3,KRC Genk II,Lommel United,0,3,3,[],"['43', '60', '74']",2.18,3.45,2.69,1.51,2.23,0.0,0.0
