Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1293003,Belgium Pro League,2021/2022,2021-07-23 15:45:00,1,Standard Liège,KRC Genk,1,1,2,['69'],['90+2'],2.8,3.3,2.25,1.73,2.0,1.54,2.35
2,1293004,Belgium Pro League,2021/2022,2021-07-24 11:15:00,1,OH Leuven,Zulte-Waregem,1,1,2,['42'],['24'],2.05,4.0,3.15,1.49,2.55,1.47,2.6
3,1293005,Belgium Pro League,2021/2022,2021-07-24 13:30:00,1,KV Kortrijk,RFC Seraing,2,0,2,"['31', '88']",[],1.83,3.6,4.25,1.91,1.87,1.83,1.91
4,1293007,Belgium Pro League,2021/2022,2021-07-24 15:45:00,1,KV Oostende,Sporting Charleroi,0,3,3,[],"['7', '50', '85']",2.2,3.3,3.0,1.75,1.95,1.71,2.05
5,1293008,Belgium Pro League,2021/2022,2021-07-25 08:30:00,1,KV Mechelen,Royal Antwerp FC,3,2,5,"['60', '73', '74']","['18', '56']",2.15,3.6,3.25,1.67,2.15,1.57,2.3
6,1293009,Belgium Pro League,2021/2022,2021-07-25 11:00:00,1,Club Brugge,AS Eupen,2,2,4,"['56', '90+13']","['60', '77']",1.18,6.0,15.0,1.45,2.55,2.05,1.74
7,1293010,Belgium Pro League,2021/2022,2021-07-25 13:30:00,1,RSC Anderlecht,Union Saint-Gilloise,1,3,4,['45+2'],"['20', '62', '73']",1.91,3.5,4.1,1.91,1.87,1.8,1.95
8,1293011,Belgium Pro League,2021/2022,2021-07-25 16:00:00,1,Sint-Truiden,KAA Gent,2,1,3,"['12', '67']",['2'],3.69,3.6,1.72,1.68,2.05,1.8,1.95
9,1293006,Belgium Pro League,2021/2022,2021-07-27 15:00:00,1,Beerschot-Wilrijk,Cercle Brugge,0,1,1,[],['40'],2.45,3.3,2.9,2.0,1.8,1.8,1.95
10,1293012,Belgium Pro League,2021/2022,2021-07-30 15:45:00,2,KRC Genk,KV Oostende,3,4,7,"['20', '30', '60']","['32', '49', '62', '79']",1.66,4.0,4.4,1.71,2.17,1.61,2.25
11,1293013,Belgium Pro League,2021/2022,2021-07-31 11:15:00,2,Sporting Charleroi,Sint-Truiden,0,0,0,[],[],1.9,3.52,3.12,1.71,1.9,1.8,1.95
12,1293014,Belgium Pro League,2021/2022,2021-07-31 13:30:00,2,RFC Seraing,KV Mechelen,1,0,1,['14'],[],3.85,4.1,1.8,1.57,2.35,1.57,2.3
13,1293015,Belgium Pro League,2021/2022,2021-07-31 13:30:00,2,Cercle Brugge,OH Leuven,1,1,2,['73'],['30'],2.05,3.6,3.4,1.77,2.0,1.69,2.1
14,1293016,Belgium Pro League,2021/2022,2021-07-31 15:45:00,2,AS Eupen,RSC Anderlecht,1,1,2,['45+1'],['39'],3.75,3.3,1.83,1.8,1.91,1.71,2.05
15,1293017,Belgium Pro League,2021/2022,2021-08-01 08:30:00,2,Union Saint-Gilloise,Club Brugge,0,1,1,[],['84'],3.65,3.5,2.0,1.77,2.0,1.69,2.1
16,1293018,Belgium Pro League,2021/2022,2021-08-01 11:00:00,2,Zulte-Waregem,Standard Liège,1,2,3,['74'],"['59', '89']",3.2,3.2,2.3,1.67,2.1,1.5,2.45
17,1293019,Belgium Pro League,2021/2022,2021-08-01 13:30:00,2,KAA Gent,Beerschot-Wilrijk,2,2,4,"['19', '47']","['73', '77']",1.33,4.65,8.5,1.56,2.4,1.83,1.91
