Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Belgium First Division B,2022/2023,2022-08-12 15:00:00,1,FCV Dender EH,Lommel United,1,4,5,['20'],"['12', '15', '69', '90+3']",2.16,3.28,2.75,1.72,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Belgium First Division B,2022/2023,2022-08-12 15:00:00,1,Excelsior Virton,RWDM,1,1,2,['87'],['90+3'],4.85,3.68,1.53,1.65,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Belgium First Division B,2022/2023,2022-08-13 11:00:00,1,Beerschot-Wilrijk,Waasland-Beveren,1,0,1,['17'],[],2.1,3.35,3.05,1.62,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Belgium First Division B,2022/2023,2022-08-13 15:00:00,1,Club Brugge II,Standard Liège II,2,2,4,"['5', '9']","['12', '29']",1.81,3.88,3.9,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Belgium First Division B,2022/2023,2022-08-14 11:00:00,1,KRC Genk II,Lierse Kempenzonen,4,1,5,"['30', '59', '82', '90+3']",['45+3'],2.99,3.5,2.0,1.73,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Belgium First Division B,2022/2023,2022-08-14 15:00:00,1,RSC Anderlecht II,KMSK Deinze,0,0,0,[],[],4.6,4.1,1.69,1.67,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Belgium First Division B,2022/2023,2022-08-19 15:00:00,2,KMSK Deinze,KRC Genk II,3,2,5,"['8', '60', '90+7']","['27', '85']",1.81,3.65,3.4,1.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Belgium First Division B,2022/2023,2022-08-19 15:00:00,2,Standard Liège II,Beerschot-Wilrijk,2,2,4,"['41', '82']","['46', '86']",4.1,3.6,1.73,1.65,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Belgium First Division B,2022/2023,2022-08-20 11:00:00,2,Waasland-Beveren,Excelsior Virton,2,2,4,"['33', '43']","['41', '90+1']",1.53,4.1,5.5,1.53,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Belgium First Division B,2022/2023,2022-08-20 15:00:00,2,RWDM,FCV Dender EH,1,0,1,['40'],[],1.57,3.75,4.75,1.61,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Belgium First Division B,2022/2023,2022-08-21 11:00:00,2,Lommel United,RSC Anderlecht II,0,2,2,[],"['57', '90+4']",1.96,3.6,3.0,1.58,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Belgium First Division B,2022/2023,2022-08-21 15:00:00,2,Lierse Kempenzonen,Club Brugge II,3,1,4,"['2', '44', '54']",['32'],2.21,3.35,2.8,1.88,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Belgium First Division B,2022/2023,2022-08-26 15:00:00,3,FCV Dender EH,Standard Liège II,0,1,1,[],['74'],2.37,3.1,2.68,1.54,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Belgium First Division B,2022/2023,2022-08-26 15:00:00,3,KRC Genk II,Lommel United,0,3,3,[],"['43', '60', '74']",2.18,3.45,2.69,1.51,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium First Division B,2022/2023,2022-08-27 11:00:00,3,RSC Anderlecht II,Waasland-Beveren,2,2,4,"['18', '90+5']","['21', '70']",2.5,3.4,2.4,1.8,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Belgium First Division B,2022/2023,2022-08-27 15:00:00,3,KMSK Deinze,Excelsior Virton,1,1,2,['54'],['64'],1.33,5.3,7.9,1.47,1.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Belgium First Division B,2022/2023,2022-08-28 11:00:00,3,Club Brugge II,RWDM,2,1,3,"['29', '56']",['55'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Belgium First Division B,2022/2023,2022-08-28 15:00:00,3,Beerschot-Wilrijk,Lierse Kempenzonen,2,3,5,"['27', '61']","['36', '63', '65']",1.85,3.65,3.45,1.57,1.58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,Belgium First Division B,2022/2023,2022-09-02 15:00:00,4,RWDM,RSC Anderlecht II,2,2,4,"['87', '90+3']","['43', '83']",1.74,3.8,3.9,1.66,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,Belgium First Division B,2022/2023,2022-09-02 15:00:00,4,Standard Liège II,KRC Genk II,2,2,4,"['14', '44']","['71', '80']",2.35,3.6,2.6,1.56,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Belgium First Division B,2022/2023,2022-09-03 11:00:00,4,Club Brugge II,Beerschot-Wilrijk,1,2,3,['78'],"['40', '65']",3.35,3.55,1.92,1.68,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Belgium First Division B,2022/2023,2022-09-03 15:00:00,4,Lierse Kempenzonen,KMSK Deinze,4,1,5,"['24', '43', '68', '82']",['20'],2.44,3.85,2.49,1.57,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Belgium First Division B,2022/2023,2022-09-04 11:00:00,4,Excelsior Virton,FCV Dender EH,1,1,2,['23'],['66'],2.25,3.42,2.64,1.77,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Belgium First Division B,2022/2023,2022-09-04 15:00:00,4,Lommel United,Waasland-Beveren,0,2,2,[],"['44', '88']",2.5,3.3,2.4,1.61,1.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Belgium First Division B,2022/2023,2022-09-09 15:00:00,5,FCV Dender EH,Lierse Kempenzonen,2,3,5,"['41', '52']","['36', '45+1', '79']",2.76,3.8,2.24,1.53,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Belgium First Division B,2022/2023,2022-09-09 15:00:00,5,Beerschot-Wilrijk,Lommel United,0,2,2,[],"['43', '82']",1.88,3.65,3.74,1.6,1.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Belgium First Division B,2022/2023,2022-09-10 11:00:00,5,RSC Anderlecht II,Club Brugge II,1,1,2,['45+2'],['3'],1.72,4.0,4.6,1.57,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Belgium First Division B,2022/2023,2022-09-10 15:00:00,5,Waasland-Beveren,Standard Liège II,2,1,3,"['15', '74']",['11'],1.66,3.95,3.8,1.53,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Belgium First Division B,2022/2023,2022-09-11 11:00:00,5,KRC Genk II,Excelsior Virton,0,1,1,[],['75'],1.78,3.55,4.1,1.56,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Belgium First Division B,2022/2023,2022-09-11 15:00:00,5,KMSK Deinze,RWDM,1,2,3,['45'],"['52', '69']",2.44,3.4,2.44,1.67,1.58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Belgium First Division B,2022/2023,2022-09-16 15:00:00,6,KMSK Deinze,FCV Dender EH,0,2,2,[],"['29', '77']",1.67,3.8,4.4,1.65,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Belgium First Division B,2022/2023,2022-09-16 15:00:00,6,Lierse Kempenzonen,RSC Anderlecht II,2,3,5,"['23', '64']","['12', '27', '57']",2.2,3.3,3.05,1.6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,Belgium First Division B,2022/2023,2022-09-17 11:00:00,6,Club Brugge II,Waasland-Beveren,2,2,4,"['10', '71']","['29', '50']",3.0,3.3,2.0,1.71,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
