Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Belgium Pro League,2022/2023,2022-07-22 15:45:00,1,Standard Liège,KAA Gent,2,2,4,"['34', '89']","['60', '79']",3.4,3.45,2.02,1.86,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Belgium Pro League,2022/2023,2022-07-23 11:00:00,1,Sporting Charleroi,AS Eupen,3,1,4,"['18', '50', '90+4']",['76'],1.69,3.95,4.65,1.64,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Belgium Pro League,2022/2023,2022-07-23 13:15:00,1,KV Kortrijk,OH Leuven,0,2,2,[],"['72', '90+3']",2.37,3.55,2.81,1.64,1.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Belgium Pro League,2022/2023,2022-07-23 13:15:00,1,Zulte-Waregem,RFC Seraing,2,0,2,"['74', '87']",[],2.2,3.5,2.88,1.74,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Belgium Pro League,2022/2023,2022-07-23 15:45:00,1,Sint-Truiden,Union Saint-Gilloise,1,1,2,['21'],['71'],4.06,3.45,1.91,1.97,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Belgium Pro League,2022/2023,2022-07-24 08:30:00,1,Club Brugge,KRC Genk,3,2,5,"['22', '60', '90+2']","['30', '47']",1.68,3.81,3.68,1.46,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Belgium Pro League,2022/2023,2022-07-24 11:00:00,1,KV Mechelen,Royal Antwerp FC,0,2,2,[],"['31', '35']",2.44,3.8,2.47,1.55,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Belgium Pro League,2022/2023,2022-07-24 13:30:00,1,RSC Anderlecht,KV Oostende,2,0,2,"['39', '88']",[],1.24,5.9,9.5,1.51,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Belgium Pro League,2022/2023,2022-07-24 16:00:00,1,KVC Westerlo,Cercle Brugge,2,0,2,"['40', '90+5']",[],2.36,3.5,2.7,1.98,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Belgium Pro League,2022/2023,2022-07-29 15:45:00,2,Union Saint-Gilloise,Sporting Charleroi,1,0,1,['56'],[],1.57,4.0,5.0,1.64,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Belgium Pro League,2022/2023,2022-07-30 11:00:00,2,Cercle Brugge,RSC Anderlecht,1,0,1,['75'],[],3.68,3.73,2.02,1.67,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Belgium Pro League,2022/2023,2022-07-30 13:15:00,2,OH Leuven,KVC Westerlo,2,0,2,"['13', '77']",[],1.91,3.7,3.71,1.67,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Belgium Pro League,2022/2023,2022-07-30 13:15:00,2,KV Oostende,KV Mechelen,2,1,3,"['17', '43']",['75'],3.02,3.83,2.26,1.67,1.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Belgium Pro League,2022/2023,2022-07-30 15:45:00,2,KAA Gent,Sint-Truiden,1,1,2,['12'],['82'],1.57,4.31,5.84,1.8,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium Pro League,2022/2023,2022-07-31 08:30:00,2,KRC Genk,Standard Liège,3,1,4,"['5', '16', '29']",['24'],1.57,4.1,5.75,1.72,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Belgium Pro League,2022/2023,2022-07-31 11:00:00,2,AS Eupen,Club Brugge,2,1,3,"['1', '19']",['7'],4.88,4.24,1.45,1.5,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Belgium Pro League,2022/2023,2022-07-31 13:30:00,2,RFC Seraing,KV Kortrijk,0,1,1,[],['58'],2.5,3.18,2.41,1.8,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Belgium Pro League,2022/2023,2022-07-31 16:00:00,2,Royal Antwerp FC,Zulte-Waregem,1,0,1,['68'],[],1.39,4.4,5.42,1.69,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Belgium Pro League,2022/2023,2022-08-05 15:45:00,3,Club Brugge,Zulte-Waregem,1,1,2,['47'],['69'],1.29,5.5,9.5,1.46,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Belgium Pro League,2022/2023,2022-08-06 11:00:00,3,KRC Genk,AS Eupen,4,2,6,"['3', '8', '37', '90+2']","['32', '59']",1.5,4.48,5.95,1.63,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Belgium Pro League,2022/2023,2022-08-06 13:15:00,3,KV Kortrijk,Sint-Truiden,0,0,0,[],[],3.05,3.3,2.33,2.01,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Belgium Pro League,2022/2023,2022-08-06 13:15:00,3,Sporting Charleroi,KV Oostende,1,3,4,['55'],"['28', '66', '90+6']",1.66,4.0,4.82,1.7,1.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Belgium Pro League,2022/2023,2022-08-06 15:45:00,3,KV Mechelen,Union Saint-Gilloise,3,0,3,"['44', '51', '59']",[],3.22,3.55,2.14,1.67,1.62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Belgium Pro League,2022/2023,2022-08-07 08:30:00,3,Standard Liège,Cercle Brugge,2,0,2,"['31', '45+5']",[],2.8,3.25,2.45,1.86,1.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,Belgium Pro League,2022/2023,2022-08-07 11:00:00,3,KAA Gent,KVC Westerlo,2,1,3,"['37', '45+3']",['5'],1.57,4.0,5.0,1.75,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Belgium Pro League,2022/2023,2022-08-07 13:30:00,3,RSC Anderlecht,RFC Seraing,3,1,4,"['4', '16', '30']",['57'],1.22,6.0,11.5,1.68,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Belgium Pro League,2022/2023,2022-08-07 16:00:00,3,Royal Antwerp FC,OH Leuven,4,2,6,"['38', '40', '71', '82']","['27', '55']",1.57,4.2,5.25,1.57,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,Belgium Pro League,2022/2023,2022-08-12 15:45:00,4,KV Oostende,KAA Gent,1,3,4,['13'],"['24', '29', '60']",3.56,3.65,1.74,1.7,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,Belgium Pro League,2022/2023,2022-08-13 11:00:00,4,KVC Westerlo,Standard Liège,4,2,6,"['38', '50', '73', '90+1']","['63', '90']",2.1,3.25,3.35,1.98,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Belgium Pro League,2022/2023,2022-08-13 13:15:00,4,Cercle Brugge,KV Mechelen,0,0,0,[],[],2.09,3.6,3.29,1.78,1.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Belgium Pro League,2022/2023,2022-08-13 13:15:00,4,RFC Seraing,Sporting Charleroi,0,1,1,[],['85'],4.06,3.7,1.84,1.73,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Belgium Pro League,2022/2023,2022-08-13 15:45:00,4,Union Saint-Gilloise,KV Kortrijk,2,1,3,"['9', '58']",['63'],1.45,4.65,6.44,1.72,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Belgium Pro League,2022/2023,2022-08-14 08:30:00,4,Sint-Truiden,RSC Anderlecht,0,3,3,[],"['43', '45+5', '74']",3.5,3.4,1.91,1.8,1.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Belgium Pro League,2022/2023,2022-08-14 11:00:00,4,AS Eupen,Royal Antwerp FC,0,1,1,[],['78'],3.45,3.6,1.9,1.62,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Belgium Pro League,2022/2023,2022-08-14 13:30:00,4,OH Leuven,Club Brugge,0,3,3,[],"['33', '42', '53']",4.3,3.8,1.66,1.55,1.57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Belgium Pro League,2022/2023,2022-08-14 16:00:00,4,Zulte-Waregem,KRC Genk,1,4,5,['43'],"['9', '25', '44', '52']",3.7,3.75,1.77,1.53,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Belgium Pro League,2022/2023,2022-08-19 15:45:00,5,AS Eupen,RFC Seraing,1,3,4,['60'],"['5', '36', '39']",1.8,3.6,4.0,1.78,1.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Belgium Pro League,2022/2023,2022-08-20 11:00:00,5,KV Oostende,Sint-Truiden,0,1,1,[],['17'],3.25,3.35,2.23,2.1,1.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Belgium Pro League,2022/2023,2022-08-20 13:15:00,5,KRC Genk,Cercle Brugge,2,1,3,"['41', '57']",['46'],1.61,3.6,4.4,1.61,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Belgium Pro League,2022/2023,2022-08-21 08:30:00,5,Club Brugge,KV Kortrijk,2,1,3,"['4', '45+3']",['33'],1.3,5.0,9.0,1.62,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,Belgium Pro League,2022/2023,2022-08-21 11:00:00,5,Zulte-Waregem,Sporting Charleroi,1,3,4,['5'],"['36', '83', '89']",2.63,3.4,2.45,1.73,1.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,Belgium Pro League,2022/2023,2022-08-21 13:30:00,5,Standard Liège,OH Leuven,1,3,4,['90+1'],"['34', '45', '75']",2.1,3.4,3.05,1.62,1.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,Belgium Pro League,2022/2023,2022-08-21 16:00:00,5,KV Mechelen,KVC Westerlo,5,4,9,"['39', '48', '76', '77', '85']","['26', '60', '63', '73']",2.47,3.45,2.47,1.8,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,Belgium Pro League,2022/2023,2022-08-26 15:45:00,6,Sporting Charleroi,Club Brugge,1,3,4,['9'],"['32', '36', '58']",3.3,3.75,1.96,1.6,1.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Belgium Pro League,2022/2023,2022-08-27 11:00:00,6,RFC Seraing,KRC Genk,0,4,4,[],"['30', '57', '66', '68']",5.2,4.4,1.53,1.6,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
