Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Bolivia Liga Nacional B,2022,2022-08-26 18:30:00,1,Stormers SC,Morro Municipal,1,2,3,['9002'],"['21', '27']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Bolivia Liga Nacional B,2022,2022-08-27 14:00:00,1,Cochabamba FC,Deportivo JUVA,5,0,5,"['-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Bolivia Liga Nacional B,2022,2022-08-27 16:00:00,1,Deportivo FATIC,Deportivo Shalon,0,2,2,[],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bolivia Liga Nacional B,2022,2022-08-27 16:30:00,1,Real Oruro,Club Destroyers,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Bolivia Liga Nacional B,2022,2022-08-28 16:00:00,1,García Ágreda,Alianza Beni,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Bolivia Liga Nacional B,2022,2022-08-28 16:00:00,1,Wilstermann Cooperativa,Mariscal Sucre,5,0,5,"['-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Bolivia Liga Nacional B,2022,2022-08-28 17:00:00,1,Libertad,Atlético Warnes,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bolivia Liga Nacional B,2022,2022-08-28 18:00:00,1,Vaca Díez,Nueva Cliza,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bolivia Liga Nacional B,2022,2022-09-02 16:00:00,2,Atlético Warnes,ABB,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Bolivia Liga Nacional B,2022,2022-09-03 16:00:00,2,Nueva Cliza,Universitario Beni,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
