Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2839322,Bosnia and Herzegovina First League RS,2022/2023,2022-08-06 12:30:00,1,Modriča,Podrinje Janja,4,1,5,"['-1', '-1', '-1', '-1']",['-1'],1.22,6.0,10.0,1.29,3.6,1.51,2.48
2,2839324,Bosnia and Herzegovina First League RS,2022/2023,2022-08-06 12:30:00,1,Kozara Gradiška,Sloboda Mrkonjić Grad,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2839325,Bosnia and Herzegovina First League RS,2022/2023,2022-08-06 12:30:00,1,Krupa na Vrbasu,Rudar Prijedor,4,0,4,"['4', '8', '30', '52']",[],1.67,4.0,3.8,1.95,1.85,1.86,1.9
4,2839326,Bosnia and Herzegovina First League RS,2022/2023,2022-08-06 12:30:00,1,Laktasi,Željezničar Banja Luka,1,1,2,['-1'],['-1'],1.5,3.97,4.91,1.73,2.08,0.0,0.0
5,2839327,Bosnia and Herzegovina First League RS,2022/2023,2022-08-06 12:30:00,1,Tekstilac Derventa,Drina Zvornik,0,0,0,[],[],2.3,3.25,2.7,2.05,1.75,1.88,1.88
6,2839328,Bosnia and Herzegovina First League RS,2022/2023,2022-08-06 15:00:00,1,Sutjeska Foča,Ljubić Prnjavor,3,1,4,"['3', '59', '75']",['87'],1.4,4.33,6.0,1.65,2.2,1.85,1.91
7,2839321,Bosnia and Herzegovina First League RS,2022/2023,2022-08-07 12:30:00,1,Sloboda Novi Grad,Slavija,1,1,2,['-1'],['-1'],1.19,5.21,9.77,1.83,1.87,0.0,0.0
8,2839323,Bosnia and Herzegovina First League RS,2022/2023,2022-08-07 12:30:00,1,Omarska,Zvijezda '09 Brgule,0,1,1,[],['69'],3.2,4.0,1.8,1.8,2.0,1.8,1.96
9,2839332,Bosnia and Herzegovina First League RS,2022/2023,2022-08-12 12:30:00,2,Drina Zvornik,Sutjeska Foča,0,2,2,[],"['79', '83']",1.65,3.8,4.2,1.6,2.3,1.57,2.34
10,2839338,Bosnia and Herzegovina First League RS,2022/2023,2022-08-13 12:30:00,2,Sloboda Novi Grad,Modriča,3,0,3,"['-1', '-1', '-1']",[],1.04,10.1,20.54,1.8,1.86,0.0,0.0
11,2839337,Bosnia and Herzegovina First League RS,2022/2023,2022-08-13 12:30:00,2,Podrinje Janja,Omarska,5,1,6,"['-1', '-1', '-1', '-1', '-1']",['-1'],1.77,3.34,3.89,1.59,2.13,0.0,0.0
12,2839336,Bosnia and Herzegovina First League RS,2022/2023,2022-08-13 12:30:00,2,Zvijezda '09 Brgule,Kozara Gradiška,1,1,2,['8'],['9007'],1.22,5.5,9.5,1.7,2.1,2.82,1.41
13,2839334,Bosnia and Herzegovina First League RS,2022/2023,2022-08-13 12:30:00,2,Rudar Prijedor,Laktasi,2,1,3,"['-1', '-1']",['-1'],1.75,3.54,3.78,1.56,2.18,0.0,0.0
14,2839331,Bosnia and Herzegovina First League RS,2022/2023,2022-08-13 12:30:00,2,Ljubić Prnjavor,Famos Vojkovići,2,0,2,"['54', '58']",[],1.43,4.21,5.44,1.6,2.14,0.0,0.0
15,2839333,Bosnia and Herzegovina First League RS,2022/2023,2022-08-13 12:30:00,2,Željezničar Banja Luka,Tekstilac Derventa,2,0,2,"['26', '9002']",[],2.05,3.4,3.0,1.95,1.85,1.73,2.05
16,2839335,Bosnia and Herzegovina First League RS,2022/2023,2022-08-14 12:30:00,2,Sloboda Mrkonjić Grad,Krupa na Vrbasu,1,2,3,['-1'],"['-1', '-1']",7.0,4.33,1.36,1.95,1.85,0.0,0.0
17,2839345,Bosnia and Herzegovina First League RS,2022/2023,2022-08-16 15:00:00,3,Sutjeska Foča,Željezničar Banja Luka,2,1,3,"['-1', '-1']",['-1'],1.16,5.73,9.89,1.56,2.18,1.79,1.98
18,2839343,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 12:00:00,3,Laktasi,Sloboda Mrkonjić Grad,4,0,4,"['26', '28', '63', '70']",[],1.95,3.5,3.4,1.8,2.0,0.0,0.0
19,2839346,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 12:00:00,3,Famos Vojkovići,Drina Zvornik,1,0,1,['39'],[],2.7,3.3,2.4,1.9,1.9,0.0,0.0
20,2839344,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 12:00:00,3,Tekstilac Derventa,Rudar Prijedor,0,2,2,[],"['66', '69']",2.8,3.25,2.3,2.2,1.65,2.0,1.77
21,2839342,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 12:00:00,3,Krupa na Vrbasu,Zvijezda '09 Brgule,3,1,4,"['12', '22', '44']",['1'],1.5,3.75,6.0,2.0,1.8,2.1,1.66
22,2839339,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 12:00:00,3,Modriča,Slavija,0,1,1,[],['-1'],1.81,5.41,2.42,1.87,1.78,2.2,1.58
23,2839340,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 12:00:00,3,Omarska,Sloboda Novi Grad,1,3,4,['-1'],"['-1', '-1', '-1']",5.25,3.75,1.57,1.68,1.98,0.0,0.0
24,2839341,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 12:00:00,3,Kozara Gradiška,Podrinje Janja,0,1,1,[],['-1'],1.32,4.1,6.79,1.8,1.87,2.1,1.64
25,2839347,Bosnia and Herzegovina First League RS,2022/2023,2022-08-17 15:00:00,3,Radnik Bijeljina,Ljubić Prnjavor,2,0,2,"['-1', '-1']",[],1.4,4.75,5.8,2.35,1.47,1.71,1.95
26,2839348,Bosnia and Herzegovina First League RS,2022/2023,2022-08-20 12:00:00,4,Slavija,Ljubić Prnjavor,4,0,4,"['-1', '-1', '-1', '-1']",[],1.6,3.49,3.82,1.68,2.14,0.0,0.0
27,2839350,Bosnia and Herzegovina First League RS,2022/2023,2022-08-20 12:00:00,4,Željezničar Banja Luka,Famos Vojkovići,2,1,3,"['41', '44']",['25'],1.67,3.6,4.2,2.0,1.8,0.0,0.0
28,2839351,Bosnia and Herzegovina First League RS,2022/2023,2022-08-20 12:00:00,4,Rudar Prijedor,Sutjeska Foča,1,1,2,['-1'],['-1'],1.97,3.45,3.5,1.61,2.28,0.0,0.0
29,2839353,Bosnia and Herzegovina First League RS,2022/2023,2022-08-20 12:00:00,4,Zvijezda '09 Brgule,Laktasi,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2839352,Bosnia and Herzegovina First League RS,2022/2023,2022-08-21 12:00:00,4,Sloboda Mrkonjić Grad,Tekstilac Derventa,1,1,2,['4'],['70'],1.65,3.6,4.33,2.0,1.8,0.0,0.0
31,2839354,Bosnia and Herzegovina First League RS,2022/2023,2022-08-21 12:00:00,4,Podrinje Janja,Krupa na Vrbasu,0,4,4,[],"['9', '59', '61', '84']",6.5,4.0,1.4,1.85,1.95,2.05,1.68
32,2839355,Bosnia and Herzegovina First League RS,2022/2023,2022-08-21 12:00:00,4,Sloboda Novi Grad,Kozara Gradiška,3,0,3,"['-1', '-1', '-1']",[],1.17,5.74,11.17,1.54,2.22,0.0,0.0
