Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1274433,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-16 15:00:00,1,Radnik Bijeljina,Leotar,0,1,1,[],['68'],2.2,3.3,2.95,1.94,1.79,1.83,1.8
2,1267736,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-17 16:00:00,1,Željezničar,Borac Banja Luka,1,1,2,['43'],['88'],5.0,3.9,1.55,1.77,2.05,1.83,1.8
3,1267732,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-18 14:00:00,1,Sloboda Tuzla,Rudar Prijedor,1,0,1,['80'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1267733,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-18 16:00:00,1,Široki Brijeg,Zrinjski,0,0,0,[],[],2.7,2.9,2.38,2.4,1.5,2.0,1.67
5,1267735,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-19 13:00:00,1,Sarajevo,FK Tuzla City,1,2,3,['35'],"['3', '80']",1.87,3.25,3.45,2.05,1.61,1.95,1.69
6,1267734,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-19 15:00:00,1,Velež,Posusje,2,0,2,"['49', '86']",[],1.29,4.5,8.2,2.08,1.67,2.6,1.38
7,1275052,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-24 14:00:00,2,Radnik Bijeljina,Sloboda Tuzla,1,2,3,['79'],"['73', '77']",2.4,2.9,2.85,2.15,1.54,1.95,1.71
8,1275055,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-24 16:00:00,2,FK Tuzla City,Željezničar,2,1,3,"['75', '80']",['72'],2.0,3.1,3.4,2.05,1.67,1.83,1.8
9,1275056,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-25 12:00:00,2,Posusje,Sarajevo,0,2,2,[],"['40', '72']",5.2,3.25,1.61,2.3,1.53,2.05,1.62
10,1275053,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-25 12:00:00,2,Rudar Prijedor,Široki Brijeg,1,1,2,['89'],['60'],3.8,3.1,1.87,2.1,1.67,1.87,1.77
11,1275057,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-25 16:00:00,2,Borac Banja Luka,Leotar,0,0,0,[],[],1.37,3.97,7.13,1.83,1.87,3.5,1.21
12,1275062,Bosnia and Herzegovina Premier League of Bosnia,2021/2022,2021-07-30 15:00:00,3,Sloboda Tuzla,Leotar,1,0,1,['6'],[],1.3,4.35,8.25,1.87,1.71,2.2,1.54
