Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Bosnia and Herzegovina First League RS,2021/2022,2021-08-13 13:00:00,1,Modriča,Kozara Gradiška,1,3,4,['48'],"['38', '82', '85']",1.4,3.1,2.7,2.05,1.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Bosnia and Herzegovina First League RS,2021/2022,2021-08-14 13:00:00,1,Sloga Doboj,Drina Zvornik,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Bosnia and Herzegovina First League RS,2021/2022,2021-08-14 13:00:00,1,Ljubić Prnjavor,Zvijezda '09 Brgule,0,2,2,[],"['8', '38']",0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bosnia and Herzegovina First League RS,2021/2022,2021-08-14 13:00:00,1,Podrinje Janja,Sloboda Novi Grad,0,3,3,[],"['33', '38', '80']",2.38,3.1,2.75,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bosnia and Herzegovina First League RS,2021/2022,2021-08-14 13:00:00,1,Željezničar Banja Luka,Tekstilac Derventa,2,1,3,"['59', '90+3']",['66'],2.15,3.2,3.0,2.2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Bosnia and Herzegovina First League RS,2021/2022,2021-08-14 13:00:00,1,Borac Kozarska Dubica,Krupa na Vrbasu,0,1,1,[],['22'],0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bosnia and Herzegovina First League RS,2021/2022,2021-08-14 13:00:00,1,Budućnost Pilica,Slavija,0,2,2,[],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bosnia and Herzegovina First League RS,2021/2022,2021-08-14 14:30:00,1,Sutjeska Foča,Omarska,1,1,2,['52'],['75'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Bosnia and Herzegovina First League RS,2021/2022,2021-08-21 13:00:00,2,Tekstilac Derventa,Borac Kozarska Dubica,0,1,1,[],['90'],0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bosnia and Herzegovina First League RS,2021/2022,2021-08-21 13:00:00,2,Krupa na Vrbasu,Modriča,3,1,4,"['2', '68', '90+2']",['33'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
