Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-15 12:30:00,1,Posusje,Velež,1,1,2,['18'],['68'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-16 12:00:00,1,Igman Konjic,Široki Brijeg,0,1,1,[],['55'],0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-16 16:00:00,1,Željezničar,Leotar,1,1,2,['24'],['20'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-18 15:00:00,1,Sloga Doboj,Borac Banja Luka,2,2,4,"['60', '62']","['5', '15']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-23 14:00:00,2,Sloga Doboj,Leotar,4,0,4,"['36', '45', '49', '78']",[],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-24 12:00:00,2,Borac Banja Luka,Sarajevo,1,3,4,['70'],"['47', '76', '87']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-24 14:00:00,2,Široki Brijeg,Sloboda Tuzla,2,0,2,"['21', '45+2']",[],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-24 16:00:00,2,Zrinjski,Željezničar,1,2,3,['36'],"['64', '83']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-30 12:00:00,3,Posusje,Borac Banja Luka,0,2,2,[],"['38', '90+3']",0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-30 16:00:00,3,Sarajevo,Sloga Doboj,4,2,6,"['49', '59', '64', '89']","['3', '85']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-31 14:00:00,3,Željezničar,Široki Brijeg,1,1,2,['41'],['90+5'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-07-31 16:05:00,3,Zrinjski,Leotar,4,1,5,"['11', '14', '78', '90+1']",['42'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-08-05 12:30:00,4,Velež,Željezničar,3,1,4,"['35', '71', '90']",['48'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-08-06 12:00:00,4,Borac Banja Luka,Igman Konjic,1,0,1,['90+3'],[],0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-08-06 16:00:00,4,Sarajevo,Posusje,1,0,1,['84'],[],0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-08-07 12:00:00,4,FK Tuzla City,Sloboda Tuzla,0,0,0,[],[],0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-08-07 16:00:00,4,Široki Brijeg,Leotar,1,0,1,['40'],[],0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-08-10 15:00:00,1,Sarajevo,FK Tuzla City,1,5,6,['90+2'],"['9', '42', '46', '82', '90']",1.57,3.7,5.25,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Bosnia and Herzegovina Premier League of Bosnia,2022/2023,2022-08-12 12:30:00,5,Leotar,Velež,1,0,1,['-1'],[],2.67,3.2,2.21,2.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
