Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1198611,Brazil Campeonato Brasileiro Women,2021,2021-04-17 20:00:00,1,São Paulo Women,Grêmio W,1,1,2,['50'],['57'],1.17,3.8,4.1,2.05,1.75,2.0,1.73
2,1198612,Brazil Campeonato Brasileiro Women,2021,2021-04-17 20:00:00,1,Internacional RS,Santos,1,1,2,['2'],['45+3'],2.3,3.6,1.53,1.7,2.1,1.57,2.25
3,1198613,Brazil Campeonato Brasileiro Women,2021,2021-04-17 20:00:00,1,Corinthians,Napoli W,3,0,3,"['6', '74', '83']",[],1.03,21.0,34.0,1.14,5.5,0.0,0.0
4,1198609,Brazil Campeonato Brasileiro Women,2021,2021-04-18 15:00:00,1,Botafogo,Bahia W,0,0,0,[],[],1.8,3.5,3.6,1.98,1.83,0.0,0.0
5,1198616,Brazil Campeonato Brasileiro Women,2021,2021-04-18 15:00:00,1,Flamengo W,Minas ICESP,1,1,2,['-1'],['-1'],1.36,4.5,6.0,1.45,2.56,1.65,2.1
6,1198610,Brazil Campeonato Brasileiro Women,2021,2021-04-18 17:00:00,1,Cruzeiro W,Real Brasília W,1,1,2,['71'],['37'],1.85,3.4,3.5,2.0,1.73,0.0,0.0
7,1198614,Brazil Campeonato Brasileiro Women,2021,2021-04-18 20:00:00,1,Palmeiras Women,Ferroviária,2,2,4,"['45+3', '69']","['45+2', '90+1']",1.54,3.6,2.25,1.85,1.95,1.7,2.05
8,1198615,Brazil Campeonato Brasileiro Women,2021,2021-04-18 20:00:00,1,São José Women,Kindermann,0,1,1,[],['72'],5.5,4.5,1.4,1.75,2.05,1.87,1.77
9,1198618,Brazil Campeonato Brasileiro Women,2021,2021-04-21 15:00:00,2,Kindermann,Palmeiras Women,0,3,3,[],"['41', '52', '90']",3.0,3.25,2.1,1.91,1.8,1.69,1.95
10,1198622,Brazil Campeonato Brasileiro Women,2021,2021-04-21 15:00:00,2,Real Brasília W,Botafogo,1,0,1,['52'],[],2.94,3.58,2.17,1.47,2.5,1.83,1.8
11,1198621,Brazil Campeonato Brasileiro Women,2021,2021-04-21 15:00:00,2,Bahia W,Internacional RS,0,2,2,[],"['40', '65']",5.65,4.3,1.49,1.42,2.65,0.0,0.0
12,1198623,Brazil Campeonato Brasileiro Women,2021,2021-04-21 20:00:00,2,Grêmio W,Cruzeiro W,2,1,3,"['39', '90+7']",['3'],1.8,3.6,3.8,1.95,1.85,0.0,0.0
13,1198624,Brazil Campeonato Brasileiro Women,2021,2021-04-21 20:00:00,2,Santos,São Paulo Women,2,1,3,"['78', '80']",['55'],2.25,3.4,2.75,1.73,2.08,1.71,1.95
14,1198617,Brazil Campeonato Brasileiro Women,2021,2021-04-21 20:00:00,2,Ferroviária,Corinthians,0,1,1,[],['67'],6.5,5.5,1.06,1.62,2.25,1.91,1.8
15,1198619,Brazil Campeonato Brasileiro Women,2021,2021-04-22 15:00:00,2,Minas ICESP,São José Women,0,1,1,[],['4'],2.34,3.35,2.47,2.05,1.7,1.72,2.0
16,1198620,Brazil Campeonato Brasileiro Women,2021,2021-04-22 15:00:00,2,Napoli W,Flamengo W,0,0,0,[],[],3.2,3.2,1.95,1.71,1.91,1.65,2.0
17,1198626,Brazil Campeonato Brasileiro Women,2021,2021-04-24 15:00:00,3,Kindermann,Grêmio W,2,3,5,"['49', '69']","['14', '38', '44']",1.91,3.4,3.3,1.95,1.85,1.8,1.83
18,1198630,Brazil Campeonato Brasileiro Women,2021,2021-04-24 20:00:00,3,Palmeiras Women,Cruzeiro W,4,2,6,"['45+2', '63', '65', '89']","['3', '74']",1.07,6.0,6.0,1.44,2.7,1.75,1.95
19,1198628,Brazil Campeonato Brasileiro Women,2021,2021-04-25 15:00:00,3,Napoli W,Bahia W,2,2,4,"['36', '74']","['8', '72']",2.2,3.5,2.7,1.95,1.85,1.74,1.91
20,1198632,Brazil Campeonato Brasileiro Women,2021,2021-04-25 18:00:00,3,Flamengo W,Internacional RS,0,1,1,[],['-1'],3.1,3.45,1.91,1.74,1.87,1.67,2.0
21,1198631,Brazil Campeonato Brasileiro Women,2021,2021-04-25 20:00:00,3,São José Women,São Paulo Women,2,3,5,"['26', '49']","['38', '81', '89']",5.25,4.2,1.1,1.95,1.85,1.95,1.75
