Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1532506,Brazil Carioca 1,2022,2022-01-25 21:00:00,1,Boavista,Botafogo,1,1,2,['29'],['34'],3.11,3.11,1.99,2.15,1.61,2.25,1.61
2,1532504,Brazil Carioca 1,2022,2022-01-26 15:30:00,1,Audax Rio,Nova Iguaçu,0,0,0,[],[],2.96,3.05,2.21,2.23,1.55,2.0,1.73
3,1532503,Brazil Carioca 1,2022,2022-01-26 19:00:00,1,Volta Redonda,Vasco da Gama,2,4,6,"['45+2', '63']","['10', '32', '43', '48']",2.9,3.1,2.2,2.25,1.6,2.0,1.8
4,1532505,Brazil Carioca 1,2022,2022-01-26 21:35:00,1,Flamengo,Portuguesa RJ,2,1,3,"['5', '55']",['61'],1.45,3.2,2.55,1.95,1.85,1.8,1.95
5,1532507,Brazil Carioca 1,2022,2022-01-27 15:30:00,1,Madureira,Resende,1,0,1,['34'],[],2.06,3.32,3.72,2.3,1.55,2.05,1.7
6,1532502,Brazil Carioca 1,2022,2022-01-27 20:30:00,1,Fluminense,Bangu,0,1,1,[],['14'],1.05,6.0,8.0,1.67,2.15,2.5,1.5
7,1532509,Brazil Carioca 1,2022,2022-01-29 15:30:00,2,Portuguesa RJ,Audax Rio,1,0,1,['90+2'],[],1.95,2.9,4.0,2.48,1.48,2.05,1.7
8,1532508,Brazil Carioca 1,2022,2022-01-29 18:00:00,2,Volta Redonda,Flamengo,0,0,0,[],[],5.5,3.75,1.53,1.98,1.88,1.8,1.95
9,1532511,Brazil Carioca 1,2022,2022-01-29 21:00:00,2,Vasco da Gama,Boavista,1,1,2,['55'],['84'],1.15,3.8,4.75,2.2,1.65,2.25,1.57
10,1532513,Brazil Carioca 1,2022,2022-01-30 11:00:00,2,Resende,Nova Iguaçu,1,0,1,['62'],[],2.3,3.0,3.2,2.25,1.57,1.95,1.8
11,1532512,Brazil Carioca 1,2022,2022-01-30 16:00:00,2,Botafogo,Bangu,2,0,2,"['9', '76']",[],1.4,3.6,8.5,2.2,1.62,2.38,1.53
12,1532510,Brazil Carioca 1,2022,2022-01-30 18:00:00,2,Madureira,Fluminense,0,1,1,[],['68'],6.5,3.75,1.47,2.15,1.67,2.25,1.57
13,1532515,Brazil Carioca 1,2022,2022-02-02 15:30:00,3,Bangu,Volta Redonda,1,1,2,['90+9'],['55'],3.79,3.24,2.03,2.38,1.55,2.0,1.75
14,1532517,Brazil Carioca 1,2022,2022-02-02 19:15:00,3,Flamengo,Boavista,3,0,3,"['22', '61', '83']",[],1.31,5.1,9.62,1.65,2.15,3.25,1.33
15,1532516,Brazil Carioca 1,2022,2022-02-02 21:35:00,3,Vasco da Gama,Nova Iguaçu,3,2,5,"['19', '53', '62']","['83', '90+2']",1.18,4.0,4.33,1.7,2.1,1.8,1.95
16,1532518,Brazil Carioca 1,2022,2022-02-03 15:30:00,3,Resende,Portuguesa RJ,1,1,2,['77'],['45+2'],3.24,3.18,2.31,2.35,1.53,2.05,1.7
17,1532519,Brazil Carioca 1,2022,2022-02-03 18:00:00,3,Botafogo,Madureira,4,2,6,"['60', '67', '79', '89']","['15', '58']",1.64,3.74,5.6,2.2,1.6,2.38,1.53
18,1532514,Brazil Carioca 1,2022,2022-02-03 20:15:00,3,Fluminense,Audax Rio,1,0,1,['41'],[],1.06,5.0,8.0,1.83,2.03,2.5,1.5
19,1532522,Brazil Carioca 1,2022,2022-02-05 16:00:00,4,Boavista,Volta Redonda,1,0,1,['18'],[],1.91,2.9,1.8,2.5,1.5,2.05,1.7
20,1532523,Brazil Carioca 1,2022,2022-02-06 15:30:00,4,Madureira,Vasco da Gama,1,3,4,['61'],"['6', '34', '52']",3.25,3.4,1.33,2.15,1.67,2.0,1.75
21,1532520,Brazil Carioca 1,2022,2022-02-06 16:00:00,4,Flamengo,Fluminense,0,1,1,[],['89'],1.55,3.7,5.25,1.81,1.94,2.05,1.7
22,1532521,Brazil Carioca 1,2022,2022-02-06 19:00:00,4,Portuguesa RJ,Bangu,1,0,1,['26'],[],2.01,3.05,3.4,2.43,1.5,2.2,1.62
23,1532524,Brazil Carioca 1,2022,2022-02-07 15:30:00,4,Resende,Audax Rio,0,1,1,[],['2'],2.33,3.14,3.24,2.37,1.5,2.1,1.67
24,1532525,Brazil Carioca 1,2022,2022-02-07 20:00:00,4,Botafogo,Nova Iguaçu,2,0,2,"['63', '78']",[],1.11,4.75,6.0,1.85,2.0,2.2,1.62
25,1532530,Brazil Carioca 1,2022,2022-02-09 15:30:00,5,Bangu,Madureira,0,0,0,[],[],2.95,2.8,2.5,2.55,1.45,2.2,1.62
26,1532527,Brazil Carioca 1,2022,2022-02-09 21:35:00,5,Vasco da Gama,Portuguesa RJ,1,0,1,['75'],[],1.55,3.3,6.5,2.25,1.62,2.2,1.62
27,1532531,Brazil Carioca 1,2022,2022-02-10 15:30:00,5,Nova Iguaçu,Boavista,1,1,2,['26'],['13'],2.28,2.8,3.0,2.55,1.45,2.2,1.62
28,1532526,Brazil Carioca 1,2022,2022-02-10 19:00:00,5,Audax Rio,Flamengo,1,2,3,['73'],"['45+3', '54']",19.0,5.8,1.11,1.85,1.87,3.5,1.29
29,1532528,Brazil Carioca 1,2022,2022-02-10 20:00:00,5,Fluminense,Botafogo,2,1,3,"['54', '64']",['22'],1.42,3.2,2.65,2.1,1.67,2.05,1.68
30,1532536,Brazil Carioca 1,2022,2022-02-12 15:30:00,6,Bangu,Resende,0,0,0,[],[],1.65,3.0,2.1,2.7,1.44,2.2,1.62
31,1532533,Brazil Carioca 1,2022,2022-02-12 18:00:00,6,Volta Redonda,Madureira,0,1,1,[],['71'],1.78,3.04,3.72,2.19,1.6,2.0,1.75
32,1532535,Brazil Carioca 1,2022,2022-02-13 15:30:00,6,Audax Rio,Boavista,2,0,2,"['70', '73']",[],1.85,3.0,1.85,2.5,1.5,2.1,1.67
33,1532534,Brazil Carioca 1,2022,2022-02-13 16:00:00,6,Fluminense,Portuguesa RJ,1,0,1,['53'],[],1.62,3.5,5.0,2.2,1.61,2.2,1.62
34,1532532,Brazil Carioca 1,2022,2022-02-13 19:00:00,6,Flamengo,Nova Iguaçu,5,0,5,"['4', '38', '72', '85', '89+2']",[],1.25,4.6,10.5,1.8,1.87,3.0,1.36
35,1532537,Brazil Carioca 1,2022,2022-02-13 20:00:00,6,Vasco da Gama,Botafogo,0,1,1,[],['35'],1.72,2.9,2.05,2.25,1.57,1.95,1.8
36,1532542,Brazil Carioca 1,2022,2022-02-16 15:30:00,7,Madureira,Flamengo,1,2,3,['2'],"['59', '68']",11.25,5.7,1.26,1.61,2.15,2.2,1.62
37,1532538,Brazil Carioca 1,2022,2022-02-16 19:00:00,7,Volta Redonda,Audax Rio,4,0,4,"['45+2', '47', '56', '66']",[],2.12,3.2,3.64,2.4,1.5,2.05,1.7
38,1532539,Brazil Carioca 1,2022,2022-02-16 21:35:00,7,Nova Iguaçu,Fluminense,0,1,1,[],['25'],7.5,4.0,1.07,2.15,1.61,2.63,1.44
39,1532543,Brazil Carioca 1,2022,2022-02-17 18:00:00,7,Botafogo,Resende,2,1,3,"['59', '61']",['73'],1.55,3.9,6.45,2.15,1.62,2.38,1.53
40,1532540,Brazil Carioca 1,2022,2022-02-17 20:30:00,7,Vasco da Gama,Bangu,2,0,2,"['59', '65']",[],1.14,4.33,5.0,2.08,1.73,2.38,1.53
41,1532541,Brazil Carioca 1,2022,2022-02-18 11:00:00,7,Portuguesa RJ,Boavista,1,2,3,['73'],"['65', '90+4']",1.53,3.0,2.38,2.35,1.53,2.1,1.67
42,1532544,Brazil Carioca 1,2022,2022-02-19 19:00:00,8,Fluminense,Volta Redonda,3,0,3,"['40', '48', '55']",[],1.43,3.8,6.46,2.02,1.71,2.2,1.62
43,1532546,Brazil Carioca 1,2022,2022-02-20 11:00:00,8,Nova Iguaçu,Bangu,1,0,1,['90+1'],[],2.5,2.85,2.75,2.5,1.47,2.05,1.7
44,1532547,Brazil Carioca 1,2022,2022-02-20 15:30:00,8,Portuguesa RJ,Madureira,0,0,0,[],[],1.53,3.0,2.38,2.38,1.52,2.05,1.7
45,1532545,Brazil Carioca 1,2022,2022-02-20 18:30:00,8,Audax Rio,Vasco da Gama,0,1,1,[],['58'],7.5,3.9,1.43,2.1,1.65,2.05,1.7
46,1532549,Brazil Carioca 1,2022,2022-02-21 15:30:00,8,Resende,Boavista,4,2,6,"['34', '73', '86', '89']","['42', '49']",2.6,2.88,2.6,2.5,1.5,2.1,1.67
47,1532548,Brazil Carioca 1,2022,2022-02-23 20:00:00,8,Botafogo,Flamengo,1,3,4,['85'],"['9', '45+5', '73']",4.5,3.5,1.17,2.19,1.6,2.2,1.62
48,1532552,Brazil Carioca 1,2022,2022-02-24 15:30:00,9,Bangu,Audax Rio,2,0,2,"['32', '88']",[],2.36,2.92,2.82,2.45,1.46,2.2,1.62
49,1532555,Brazil Carioca 1,2022,2022-02-25 16:00:00,9,Boavista,Madureira,1,2,3,['29'],"['54', '65']",2.2,3.0,3.55,2.55,1.45,2.1,1.67
50,1532551,Brazil Carioca 1,2022,2022-02-26 17:00:00,9,Fluminense,Vasco da Gama,2,0,2,"['6', '38']",[],1.73,3.3,4.5,2.2,1.6,2.05,1.7
51,1532550,Brazil Carioca 1,2022,2022-02-27 15:00:00,9,Volta Redonda,Nova Iguaçu,2,3,5,"['65', '75']","['7', '54', '90+1']",1.36,3.2,2.9,2.25,1.62,2.0,1.75
52,1532553,Brazil Carioca 1,2022,2022-02-27 16:00:00,9,Flamengo,Resende,2,2,4,"['90', '90+3']","['27', '84']",1.02,8.0,15.0,1.7,2.1,3.4,1.3
53,1532554,Brazil Carioca 1,2022,2022-02-27 19:00:00,9,Portuguesa RJ,Botafogo,5,3,8,"['1', '41', '47', '72', '86']","['43', '45+2', '90+1']",4.9,3.5,1.7,2.25,1.58,2.1,1.67
54,1532529,Brazil Carioca 1,2022,2022-03-02 19:00:00,5,Volta Redonda,Resende,1,2,3,['90'],"['57', '60']",1.87,2.89,3.58,2.38,1.53,2.0,1.75
55,1532557,Brazil Carioca 1,2022,2022-03-05 11:00:00,10,Nova Iguaçu,Portuguesa RJ,1,0,1,['60'],[],3.05,2.9,2.35,2.35,1.53,2.05,1.7
56,1532559,Brazil Carioca 1,2022,2022-03-05 16:00:00,10,Resende,Fluminense,0,4,4,[],"['1', '5', '38', '59']",6.0,4.2,1.11,1.95,1.85,2.2,1.62
57,1532561,Brazil Carioca 1,2022,2022-03-06 11:00:00,10,Madureira,Audax Rio,1,3,4,['84'],"['60', '89', '90+9']",2.1,3.0,3.44,2.35,1.5,2.1,1.67
58,1532560,Brazil Carioca 1,2022,2022-03-06 15:30:00,10,Boavista,Bangu,4,1,5,"['12', '26', '59', '73']",['63'],1.62,3.0,2.2,2.5,1.5,2.1,1.67
59,1532556,Brazil Carioca 1,2022,2022-03-06 16:00:00,10,Flamengo,Vasco da Gama,2,1,3,"['11', '90']",['51'],1.08,4.75,7.5,1.67,2.15,2.05,1.7
60,1532558,Brazil Carioca 1,2022,2022-03-07 19:30:00,10,Botafogo,Volta Redonda,5,0,5,"['10', '78', '90', '90+4', '90+6']",[],1.53,3.4,6.5,2.15,1.62,2.2,1.62
61,1532563,Brazil Carioca 1,2022,2022-03-12 16:00:00,11,Portuguesa RJ,Volta Redonda,1,1,2,['43'],['73'],1.28,3.4,3.4,2.08,1.73,2.0,1.75
62,1532564,Brazil Carioca 1,2022,2022-03-12 16:00:00,11,Boavista,Fluminense,0,0,0,[],[],4.1,3.5,1.21,2.08,1.73,2.05,1.7
63,1532562,Brazil Carioca 1,2022,2022-03-12 19:30:00,11,Bangu,Flamengo,0,6,6,[],"['9', '14', '45+2', '75', '81', '90+4']",1.07,7.7,18.5,1.6,2.23,4.0,1.22
64,1532566,Brazil Carioca 1,2022,2022-03-13 11:00:00,11,Nova Iguaçu,Madureira,3,0,3,"['64', '71', '90']",[],2.8,2.9,2.55,2.3,1.55,1.95,1.8
65,1532565,Brazil Carioca 1,2022,2022-03-13 16:00:00,11,Vasco da Gama,Resende,3,0,3,"['39', '77', '80']",[],1.11,4.0,6.25,1.95,1.85,2.2,1.62
66,1532567,Brazil Carioca 1,2022,2022-03-13 16:00:00,11,Audax Rio,Botafogo,2,2,4,"['43+1', '77']","['50', '84']",4.0,3.3,1.24,2.15,1.67,2.05,1.7
67,1634174,Brazil Carioca 1,2022,2022-03-16 20:00:00,0,Vasco da Gama,Flamengo,0,1,1,[],['45'],6.75,5.1,1.11,1.72,2.14,2.12,1.71
68,1634172,Brazil Carioca 1,2022,2022-03-19 15:30:00,0,Audax Rio,Nova Iguaçu,1,2,3,['6'],"['3', '41']",1.6,3.0,2.25,2.5,1.5,2.05,1.7
69,1634170,Brazil Carioca 1,2022,2022-03-20 15:30:00,0,Resende,Portuguesa RJ,1,0,1,['90+2'],[],2.9,2.85,2.4,2.46,1.53,2.05,1.7
70,1634175,Brazil Carioca 1,2022,2022-03-20 16:00:00,0,Flamengo,Vasco da Gama,1,0,1,['54'],[],1.33,4.5,7.0,1.82,1.93,2.1,1.67
71,1634176,Brazil Carioca 1,2022,2022-03-21 20:00:00,0,Botafogo,Fluminense,0,1,1,[],['81'],3.05,3.1,1.37,2.25,1.57,2.2,1.62
72,1634173,Brazil Carioca 1,2022,2022-03-23 15:30:00,0,Nova Iguaçu,Audax Rio,2,1,3,"['36', '87']",['28'],2.15,2.9,3.4,2.6,1.48,2.1,1.67
