Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1187459,Brazil Cearense 1,2021,2021-02-10 15:30:00,1,Guarany de Sobral,Barbalha,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1187460,Brazil Cearense 1,2021,2021-02-10 15:30:00,1,Pacajus,Caucaia,0,0,0,[],[],2.49,3.3,1.47,2.3,1.6,2.2,1.62
3,1187461,Brazil Cearense 1,2021,2021-02-13 15:30:00,2,Caucaia,Crato,2,0,2,"['82', '90+2']",[],1.25,5.0,9.5,1.8,2.0,0.0,0.0
4,1187464,Brazil Cearense 1,2021,2021-02-14 15:30:00,2,Barbalha,Uniclinic,2,1,3,"['12', '45+2']",['90+2'],4.17,4.0,1.19,1.73,2.08,1.83,1.87
5,1187465,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Barbalha,Icasa,0,2,2,[],"['11', '90+7']",3.3,3.75,1.29,2.05,1.75,2.0,1.73
6,1187466,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Caucaia,Uniclinic,0,3,3,[],"['30', '47', '51']",1.69,3.0,2.04,2.15,1.67,1.83,1.83
7,1187467,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Crato,Guarany de Sobral,0,1,1,[],['16'],2.4,3.2,1.47,2.7,1.44,2.25,1.57
8,1187468,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Pacajus,Ferroviário,1,0,1,['20'],[],3.57,3.4,1.25,2.4,1.53,2.38,1.53
9,1187458,Brazil Cearense 1,2021,2021-02-20 15:30:00,1,Uniclinic,Ferroviário,1,1,2,['64'],['59'],2.7,3.75,2.1,2.15,1.67,2.0,1.73
10,1187457,Brazil Cearense 1,2021,2021-02-20 19:00:00,1,Crato,Icasa,1,1,2,['38'],['3'],7.5,4.1,1.3,1.95,1.69,2.3,1.49
11,1187462,Brazil Cearense 1,2021,2021-02-23 15:30:00,2,Ferroviário,Guarany de Sobral,2,0,2,"['43', '55']",[],1.66,3.75,4.75,2.73,1.4,2.75,1.4
12,1187463,Brazil Cearense 1,2021,2021-02-23 15:30:00,2,Icasa,Pacajus,1,1,2,['59'],['90+4'],1.33,4.5,9.5,2.21,1.64,2.63,1.44
13,1187472,Brazil Cearense 1,2021,2021-02-26 15:00:00,4,Guarany de Sobral,Caucaia,0,3,3,[],"['19', '36', '47']",3.3,3.2,2.15,2.48,1.48,2.1,1.61
14,1187471,Brazil Cearense 1,2021,2021-02-26 15:30:00,4,Ferroviário,Barbalha,5,2,7,"['14', '29', '35', '66', '81']","['47', '89']",1.46,4.2,6.15,1.71,2.03,2.5,1.42
15,1187469,Brazil Cearense 1,2021,2021-02-26 15:30:00,4,Crato,Pacajus,1,1,2,['57'],['34'],3.6,3.0,2.15,2.4,1.5,2.4,1.45
16,1187470,Brazil Cearense 1,2021,2021-02-26 15:30:00,4,Uniclinic,Icasa,2,2,4,"['45+2', '83']","['57', '86']",1.67,3.4,2.08,2.05,1.75,1.73,1.99
17,1187473,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Barbalha,Caucaia,0,8,8,[],"['22', '24', '52', '56', '57', '75', '77', '79']",9.0,5.0,1.25,2.15,1.67,1.67,2.08
18,1187474,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Uniclinic,Crato,2,1,3,"['13', '86']",['76'],1.29,4.75,8.5,1.8,2.0,0.0,0.0
19,1187475,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Icasa,Ferroviário,0,1,1,[],['39'],2.46,3.06,2.73,2.1,1.65,1.87,1.77
20,1187477,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Pacajus,Guarany de Sobral,1,0,1,['90+3'],[],1.9,3.25,3.5,1.75,1.98,2.08,1.67
21,1187478,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Caucaia,Icasa,0,1,1,[],['76'],2.65,2.92,2.33,2.09,1.69,1.82,1.88
22,1187479,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Crato,Ferroviário,0,1,1,[],['48'],5.61,3.74,1.37,1.89,1.92,2.25,1.51
23,1187480,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Guarany de Sobral,Uniclinic,1,2,3,['3'],"['61', '76']",2.28,3.2,1.56,2.35,1.57,1.87,1.83
24,1187481,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Pacajus,Barbalha,4,0,4,"['31', '43', '54', '61']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1187482,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Barbalha,Crato,1,3,4,['45+5'],"['63', '66', '90+2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1187484,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Uniclinic,Pacajus,1,1,2,['74'],['72'],1.41,3.3,2.69,2.1,1.7,1.92,1.84
27,1187485,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Ferroviário,Caucaia,2,1,3,"['33', '36']",['23'],1.19,4.0,4.12,2.25,1.62,2.3,1.59
28,1187486,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Icasa,Guarany de Sobral,2,2,4,"['17', '38']","['43', '53']",2.0,2.88,4.0,2.06,1.71,2.03,1.7
29,1195754,Brazil Cearense 1,2021,2021-03-10 15:00:00,1,Ferroviário,Ceará,2,1,3,"['16', '90+3']",['53'],4.88,4.3,1.14,1.87,1.87,2.08,1.67
30,1195753,Brazil Cearense 1,2021,2021-03-10 15:00:00,1,Pacajus,Caucaia,2,4,6,"['41', '45']","['22', '59', '82', '90']",1.72,3.25,3.85,2.16,1.62,1.92,1.79
31,1195752,Brazil Cearense 1,2021,2021-03-10 15:00:00,0,Uniclinic,Fortaleza,0,2,2,[],"['30', '84']",4.58,4.0,1.16,1.73,2.08,1.9,1.81
32,1195751,Brazil Cearense 1,2021,2021-03-10 15:00:00,0,Crato,Icasa,1,0,1,['26'],[],5.0,3.48,1.68,1.85,1.85,1.71,1.91
33,1223709,Brazil Cearense 1,2021,2021-05-01 19:00:00,2,Fortaleza,Caucaia,4,1,5,"['11', '45+2', '83', '90+1']",['24'],1.21,6.0,9.3,1.5,2.5,1.87,1.84
34,1223708,Brazil Cearense 1,2021,2021-05-02 15:30:00,2,Crato,Ferroviário,0,4,4,[],"['4', '56', '59', '68']",17.0,11.0,1.06,1.13,6.0,0.0,0.0
35,1223710,Brazil Cearense 1,2021,2021-05-02 15:30:00,2,Icasa,Uniclinic,0,3,3,[],"['22', '73', '79']",4.3,3.5,1.18,2.0,1.8,2.11,1.65
36,1223711,Brazil Cearense 1,2021,2021-05-02 16:00:00,2,Ceará,Pacajus,1,1,2,['78'],['29'],1.22,3.6,3.8,1.8,2.0,1.88,1.82
37,1226419,Brazil Cearense 1,2021,2021-05-05 15:30:00,3,Pacajus,Fortaleza,0,0,0,[],[],10.25,9.5,1.02,1.36,3.1,2.47,1.48
38,1226420,Brazil Cearense 1,2021,2021-05-05 15:30:00,3,Caucaia,Uniclinic,0,6,6,[],"['1', '4', '19', '53', '68', '72']",7.75,4.6,1.05,1.3,3.45,1.5,2.4
39,1226421,Brazil Cearense 1,2021,2021-05-05 21:45:00,3,Ferroviário,Icasa,3,0,3,"['32', '70', '90']",[],1.03,11.0,9.5,1.29,3.6,1.84,1.87
40,1226422,Brazil Cearense 1,2021,2021-05-06 20:00:00,3,Ceará,Crato,1,0,1,['38'],[],1.1,6.5,5.9,1.4,2.88,1.67,2.08
41,1226423,Brazil Cearense 1,2021,2021-05-08 21:00:00,4,Fortaleza,Ferroviário,0,0,0,[],[],1.24,3.5,3.7,1.9,1.9,1.86,1.84
42,1226424,Brazil Cearense 1,2021,2021-05-09 15:30:00,4,Uniclinic,Crato,7,1,8,"['1', '9', '23', '45', '52', '62', '90']",['36'],1.03,10.5,8.8,1.1,7.0,2.03,1.7
43,1226425,Brazil Cearense 1,2021,2021-05-09 15:30:00,4,Pacajus,Icasa,3,0,3,"['3', '68', '84']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1226426,Brazil Cearense 1,2021,2021-05-09 16:00:00,4,Caucaia,Ceará,1,6,7,['88'],"['5', '12', '17', '38', '52', '81']",7.85,13.0,1.05,1.09,8.1,1.51,2.4
45,1226428,Brazil Cearense 1,2021,2021-05-11 15:30:00,5,Ferroviário,Caucaia,1,0,1,['84'],[],1.12,17.0,5.45,1.07,9.0,1.39,2.76
46,1226427,Brazil Cearense 1,2021,2021-05-11 15:30:00,5,Uniclinic,Pacajus,1,1,2,['38'],['1'],1.27,3.6,3.42,1.73,2.08,1.85,1.91
47,1226429,Brazil Cearense 1,2021,2021-05-11 20:00:00,5,Icasa,Ceará,0,1,1,[],['30'],10.5,10.0,1.02,1.36,3.1,2.17,1.61
48,1226430,Brazil Cearense 1,2021,2021-05-12 21:45:00,5,Crato,Fortaleza,1,6,7,['83'],"['1', '29', '42', '55', '57', '60']",10.75,13.0,1.01,1.11,6.6,1.71,2.03
49,1226431,Brazil Cearense 1,2021,2021-05-15 15:30:00,6,Crato,Pacajus,1,2,3,['90+5'],"['13', '75']",7.7,5.0,1.3,1.48,2.47,1.58,2.23
50,1226432,Brazil Cearense 1,2021,2021-05-15 15:30:00,6,Icasa,Caucaia,3,2,5,"['4', '9', '60']","['17', '22']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1226433,Brazil Cearense 1,2021,2021-05-15 16:00:00,6,Ceará,Fortaleza,0,2,2,[],"['38', '55']",2.36,3.13,2.97,2.19,1.6,1.86,1.84
52,1226434,Brazil Cearense 1,2021,2021-05-15 18:00:00,6,Uniclinic,Ferroviário,2,2,4,"['55', '72']","['46', '82']",2.26,3.4,1.57,2.1,1.7,1.78,1.93
53,1226435,Brazil Cearense 1,2021,2021-05-17 15:30:00,7,Fortaleza,Icasa,6,0,6,"['6', '20', '28', '59', '85', '89']",[],1.04,9.5,19.0,1.26,3.48,1.91,1.8
54,1226436,Brazil Cearense 1,2021,2021-05-17 15:30:00,7,Pacajus,Ferroviário,1,2,3,['33'],"['62', '86']",4.2,3.2,1.75,1.65,2.2,1.95,1.77
