Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1234736,Brazil Copa do Brasil,2021,2021-03-09 19:15:00,0,Águia Negra,Vitória,0,1,1,[],['72'],3.72,3.6,1.23,1.73,2.08,1.8,1.91
2,1234722,Brazil Copa do Brasil,2021,2021-03-09 21:30:00,0,Campinense,Bahia,1,7,8,['-1'],"['-1', '-1', '-1', '-1', '-1', '-1', '-1']",4.17,6.5,1.19,1.2,4.33,1.48,2.45
3,1234741,Brazil Copa do Brasil,2021,2021-03-10 15:30:00,0,Madureira,Paysandu,0,1,1,[],['34'],2.25,3.2,1.54,2.35,1.57,2.05,1.73
4,1234724,Brazil Copa do Brasil,2021,2021-03-10 15:30:00,0,Gama,Ponte Preta,1,2,3,['39'],"['58', '84']",4.13,3.8,1.19,2.0,1.8,2.1,1.65
5,1234717,Brazil Copa do Brasil,2021,2021-03-10 16:00:00,0,4 de Julho,Confiança,1,0,1,['90+2'],[],2.45,3.2,1.45,2.1,1.7,2.2,1.64
6,1234744,Brazil Copa do Brasil,2021,2021-03-10 18:00:00,0,Cianorte,Paraná,1,0,1,['85'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1234737,Brazil Copa do Brasil,2021,2021-03-10 18:00:00,0,Rio Branco ES,Sampaio Corrêa,2,1,3,"['77', '87']",['75'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1234730,Brazil Copa do Brasil,2021,2021-03-10 19:15:00,0,Juazeirense,Sport Recife,3,2,5,"['2', '47', '67']","['12', '21']",2.85,3.6,1.34,1.95,1.85,1.84,1.92
9,1234718,Brazil Copa do Brasil,2021,2021-03-10 21:30:00,0,Moto Club MA,Botafogo,0,5,5,[],"['3', '31', '52', '75', '82']",5.25,4.2,1.12,2.05,1.75,2.25,1.57
10,1234751,Brazil Copa do Brasil,2021,2021-03-11 15:30:00,0,Real FC,América RN,0,2,2,[],"['53', '84']",2.85,3.5,1.37,2.0,1.8,1.91,1.8
11,1234749,Brazil Copa do Brasil,2021,2021-03-11 17:00:00,0,Uberlândia,Luverdense,1,1,2,['26'],['45+1'],1.22,3.6,3.87,2.25,1.62,2.25,1.57
12,1234750,Brazil Copa do Brasil,2021,2021-03-11 19:15:00,0,São Raimundo RR,Cruzeiro,1,1,2,['9'],['54'],6.9,5.0,1.07,1.73,2.08,2.22,1.59
13,1234726,Brazil Copa do Brasil,2021,2021-03-11 21:30:00,0,Boavista,Goiás,3,1,4,"['18', '29', '76']",['66'],3.1,3.6,2.0,2.3,1.6,0.0,0.0
14,1234716,Brazil Copa do Brasil,2021,2021-03-16 19:15:00,0,Sergipe,Cuiabá,0,0,0,[],[],8.5,5.75,1.04,1.44,2.7,2.18,1.61
15,1234732,Brazil Copa do Brasil,2021,2021-03-16 21:30:00,0,Murici,Juventude,0,3,3,[],"['45+1', '46', '86']",3.95,3.5,1.21,2.6,1.48,2.25,1.57
16,1234753,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Juventude MA,Operário PR,0,2,2,[],"['6', '23']",3.25,3.3,2.0,2.7,1.44,0.0,0.0
17,1234731,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Castanhal,Volta Redonda,0,3,3,[],"['31', '65', '90+4']",2.6,3.5,1.41,2.25,1.62,2.0,1.77
18,1234719,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Rio Branco-VN,ABC,1,1,2,['20'],['7'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1234720,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Guarany de Sobral,CSA,1,5,6,['54'],"['7', '28', '42', '45', '56']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1234727,Brazil Copa do Brasil,2021,2021-03-17 16:00:00,0,Sociedade Esportiva Picos,Atlético Acreano,1,0,1,['90+2'],[],1.14,4.0,4.6,1.8,2.0,1.99,1.78
21,1234743,Brazil Copa do Brasil,2021,2021-03-17 16:30:00,0,Nova Mutum EC,Tombense,0,0,0,[],[],2.25,3.25,1.57,2.7,1.44,2.24,1.62
22,1234734,Brazil Copa do Brasil,2021,2021-03-17 17:00:00,0,Galvez,Atlético GO,1,3,4,['59'],"['32', '47', '51']",10.0,10.0,1.02,1.22,4.2,1.7,2.05
23,1234733,Brazil Copa do Brasil,2021,2021-03-17 17:00:00,0,Atlético Alagoinhas,Vila Nova,0,3,3,[],"['54', '61', '90+4']",3.1,3.3,2.1,2.6,1.48,0.0,0.0
24,1234739,Brazil Copa do Brasil,2021,2021-03-17 18:00:00,0,Retrô,Brusque,1,0,1,['16'],[],2.78,3.1,1.39,2.1,1.7,1.89,1.82
25,1234721,Brazil Copa do Brasil,2021,2021-03-17 20:00:00,0,Esportivo,Remo,0,2,2,[],"['21', '86']",2.9,3.4,1.33,2.05,1.75,1.89,1.87
26,1234746,Brazil Copa do Brasil,2021,2021-03-17 20:00:00,0,Caxias,Fortaleza,0,1,1,[],['6'],2.21,3.1,1.6,2.7,1.44,2.2,1.6
27,1234735,Brazil Copa do Brasil,2021,2021-03-17 20:00:00,0,Santa Cruz RS,Joinville,0,0,0,[],[],2.98,3.4,1.34,2.05,1.75,1.9,1.81
28,1234738,Brazil Copa do Brasil,2021,2021-03-17 21:30:00,0,Salgueiro,Corinthians,0,3,3,[],"['4', '57', '90+4']",6.3,4.33,1.08,2.15,1.67,2.62,1.46
29,1234725,Brazil Copa do Brasil,2021,2021-03-18 15:30:00,0,Marília,Criciúma,0,0,0,[],[],2.88,3.3,2.3,2.7,1.44,0.0,0.0
30,1234752,Brazil Copa do Brasil,2021,2021-03-18 17:30:00,0,União Rondonópolis,Coritiba,0,1,1,[],['23'],6.0,4.5,1.1,1.9,1.9,2.35,1.53
31,1234742,Brazil Copa do Brasil,2021,2021-03-18 17:30:00,0,Caldense,Vasco da Gama,1,1,2,['81'],['34'],2.74,3.3,1.4,2.6,1.48,2.22,1.59
32,1234714,Brazil Copa do Brasil,2021,2021-03-18 18:00:00,0,Treze,América Mineiro,0,1,1,[],['90+5'],4.58,3.75,1.16,2.35,1.57,2.38,1.55
33,1234729,Brazil Copa do Brasil,2021,2021-03-18 18:00:00,0,Cascavel CR,Figueirense,2,1,3,"['45+1', '51']",['42'],1.54,3.25,2.33,2.7,1.44,2.2,1.6
34,1234747,Brazil Copa do Brasil,2021,2021-03-18 20:00:00,0,Penarol Atlético Clube,Ypiranga Erechim,1,1,2,['30'],['45+4'],4.0,3.5,1.2,1.7,2.1,2.13,1.64
35,1234748,Brazil Copa do Brasil,2021,2021-03-18 20:00:00,0,Mirassol,Bragantino,2,3,5,"['22', '42']","['15', '47', '90+3']",7.5,3.6,1.07,1.8,2.0,1.63,2.2
36,1234728,Brazil Copa do Brasil,2021,2021-03-25 15:30:00,0,Palmas,Avaí,0,1,1,[],['58'],11.0,5.0,1.22,1.75,2.05,0.0,0.0
37,1234715,Brazil Copa do Brasil,2021,2021-03-25 15:30:00,0,Porto Velho,Ferroviário,0,1,1,[],['84'],9.0,5.0,1.25,1.57,2.35,0.0,0.0
38,1234723,Brazil Copa do Brasil,2021,2021-03-26 15:30:00,0,Jaraguá EC,Manaus,1,4,5,['25'],"['10', '35', '72', '85']",2.6,3.1,1.44,2.05,1.75,1.86,1.84
39,1234745,Brazil Copa do Brasil,2021,2021-03-26 15:30:00,0,Ypiranga AP,Santa Cruz,0,4,4,[],"['33', '44', '70', '76']",9.5,5.25,1.22,1.65,2.2,2.38,1.53
40,1234754,Brazil Copa do Brasil,2021,2021-03-26 21:30:00,0,Corinthians,Retrô,1,1,2,['19'],['83'],1.08,5.5,6.6,1.73,2.08,2.2,1.62
41,1234740,Brazil Copa do Brasil,2021,2021-03-27 15:30:00,0,Goianésia,CRB,2,3,5,"['42', '86']","['27', '46', '61']",2.58,3.2,1.44,2.05,1.75,1.8,1.95
42,1234755,Brazil Copa do Brasil,2021,2021-04-01 17:00:00,0,Luverdense,Bragantino,1,2,3,['33'],"['11', '51']",9.05,6.0,1.03,1.65,2.2,2.45,1.48
43,1234756,Brazil Copa do Brasil,2021,2021-04-06 19:00:00,0,Coritiba,Operário PR,3,2,5,"['31', '71', '90+2']","['28', '76']",2.2,3.0,3.3,2.6,1.48,2.1,1.67
44,1234757,Brazil Copa do Brasil,2021,2021-04-06 21:30:00,0,Fortaleza,Ypiranga Erechim,1,0,1,['80'],[],1.1,4.0,5.25,2.15,1.67,2.25,1.57
45,1234758,Brazil Copa do Brasil,2021,2021-04-07 16:00:00,0,Sociedade Esportiva Picos,Boavista,0,1,1,[],['18'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1234759,Brazil Copa do Brasil,2021,2021-04-07 16:00:00,0,Juazeirense,Volta Redonda,3,3,6,"['54', '67', '90+7']","['6', '10', '18']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1234760,Brazil Copa do Brasil,2021,2021-04-07 19:00:00,0,Vitória,Rio Branco ES,2,0,2,"['49', '51']",[],1.13,4.5,5.15,1.8,2.0,2.05,1.69
48,1234761,Brazil Copa do Brasil,2021,2021-04-07 21:30:00,0,Bahia,Manaus,4,1,5,"['2', '10', '50', '59']",['36'],1.13,4.33,5.2,1.85,1.95,2.1,1.67
49,1234762,Brazil Copa do Brasil,2021,2021-04-07 21:30:00,0,Tombense,Vasco da Gama,1,2,3,['83'],"['3', '50']",2.58,3.1,1.44,2.4,1.53,2.1,1.67
50,1234763,Brazil Copa do Brasil,2021,2021-04-08 19:00:00,0,Criciúma,Ponte Preta,1,1,2,['73'],['60'],2.95,3.1,1.32,2.5,1.5,2.1,1.67
51,1234764,Brazil Copa do Brasil,2021,2021-04-08 21:30:00,0,Vila Nova,Juventude,1,1,2,['7'],['6'],1.86,2.8,1.84,2.6,1.48,2.1,1.67
