Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1165838,Brazil Gaucho 1,2021,2021-02-27 15:30:00,1,São Luiz,Ypiranga Erechim,0,3,3,[],"['16', '18', '76']",2.19,3.0,1.6,2.7,1.44,2.24,1.58
2,1165839,Brazil Gaucho 1,2021,2021-02-27 20:00:00,1,Novo Hamburgo,Pelotas,1,1,2,['45+1'],['3'],1.45,3.5,2.55,2.6,1.48,2.22,1.59
3,1165840,Brazil Gaucho 1,2021,2021-02-27 20:00:00,1,Esportivo,EC São José,1,0,1,['83'],[],2.1,3.6,1.61,2.2,1.65,1.94,1.82
4,1165841,Brazil Gaucho 1,2021,2021-02-27 22:00:00,1,Brasil de Pelotas,Aimoré,0,1,1,[],['76'],2.49,3.1,1.47,2.7,1.44,2.32,1.54
5,1165836,Brazil Gaucho 1,2021,2021-03-01 20:00:00,1,Internacional,Juventude,1,0,1,['14'],[],2.05,3.1,1.7,2.35,1.57,2.03,1.71
6,1189735,Brazil Gaucho 1,2021,2021-03-03 20:00:00,2,Grêmio,Brasil de Pelotas,4,1,5,"['15', '20', '28', '54']",['48'],1.36,3.7,6.8,1.62,2.15,2.6,1.38
7,1189736,Brazil Gaucho 1,2021,2021-03-03 20:00:00,2,Ypiranga Erechim,Novo Hamburgo,3,3,6,"['2', '30', '88']","['34', '35', '55']",1.4,3.2,2.75,2.5,1.5,2.18,1.65
8,1189738,Brazil Gaucho 1,2021,2021-03-03 20:00:00,2,Aimoré,Esportivo,2,0,2,"['48', '55']",[],1.45,3.3,2.55,2.5,1.5,2.23,1.62
9,1189737,Brazil Gaucho 1,2021,2021-03-04 20:00:00,2,EC São José,Caxias,0,1,1,[],['32'],1.51,3.25,2.39,2.38,1.55,2.07,1.67
10,1189740,Brazil Gaucho 1,2021,2021-03-04 20:00:00,2,Pelotas,Internacional,2,2,4,"['21', '90+2']","['30', '74']",2.72,3.4,1.4,2.35,1.57,2.11,1.65
11,1189739,Brazil Gaucho 1,2021,2021-03-04 21:30:00,2,Juventude,São Luiz,1,2,3,['90+5'],"['27', '45+1']",1.25,3.6,3.6,1.95,1.85,1.9,1.8
12,1189744,Brazil Gaucho 1,2021,2021-03-06 20:00:00,3,Esportivo,Brasil de Pelotas,0,1,1,[],['20'],1.4,3.2,2.7,2.1,1.7,1.91,1.8
13,1189746,Brazil Gaucho 1,2021,2021-03-08 20:00:00,3,Internacional,São Luiz,1,2,3,['63'],"['39', '90+5']",1.14,4.5,5.0,1.85,1.95,2.07,1.68
14,1189743,Brazil Gaucho 1,2021,2021-03-08 20:00:00,3,Pelotas,Ypiranga Erechim,0,2,2,[],"['33', '74']",2.17,3.0,1.61,2.5,1.5,2.07,1.68
15,1189745,Brazil Gaucho 1,2021,2021-03-08 22:00:00,3,Novo Hamburgo,Juventude,1,3,4,['56'],"['6', '41', '77']",2.3,3.1,3.0,2.37,1.57,1.97,1.75
16,1189742,Brazil Gaucho 1,2021,2021-03-08 22:00:00,3,Caxias,Aimoré,3,2,5,"['14', '43', '65']","['6', '73']",1.37,3.4,2.87,2.7,1.44,2.39,1.51
17,1195881,Brazil Gaucho 1,2021,2021-03-12 21:00:00,4,Juventude,Pelotas,2,3,5,"['35', '65']","['17', '62', '69']",1.21,3.4,3.97,2.15,1.67,2.09,1.66
18,1195883,Brazil Gaucho 1,2021,2021-03-13 20:00:00,4,Brasil de Pelotas,Caxias,0,0,0,[],[],2.12,3.0,1.64,3.1,1.36,2.39,1.51
19,1195885,Brazil Gaucho 1,2021,2021-03-13 20:00:00,4,Esportivo,Grêmio,0,2,2,[],"['25', '76']",4.33,4.0,1.2,2.0,1.8,2.0,1.77
20,1195880,Brazil Gaucho 1,2021,2021-03-14 20:00:00,4,São Luiz,Novo Hamburgo,2,0,2,"['48', '90+5']",[],2.2,2.8,3.3,2.5,1.5,0.0,0.0
21,1195882,Brazil Gaucho 1,2021,2021-03-14 20:00:00,4,Aimoré,EC São José,0,1,1,[],['10'],1.46,2.9,2.54,3.1,1.36,2.3,1.55
22,1195884,Brazil Gaucho 1,2021,2021-03-14 20:00:00,4,Internacional,Ypiranga Erechim,4,2,6,"['6', '65', '90+1', '90+4']","['44', '50']",1.12,4.2,5.25,2.05,1.75,2.23,1.59
23,1195891,Brazil Gaucho 1,2021,2021-03-19 20:00:00,5,Grêmio,Aimoré,2,0,2,"['33', '43']",[],1.15,4.2,4.75,1.95,1.85,2.1,1.65
24,1195889,Brazil Gaucho 1,2021,2021-03-19 20:00:00,5,EC São José,Brasil de Pelotas,1,2,3,['24'],"['42', '45+3']",1.47,3.2,2.49,2.7,1.44,2.25,1.57
25,1195886,Brazil Gaucho 1,2021,2021-03-21 20:00:00,5,Pelotas,São Luiz,1,1,2,['90+1'],['45+1'],1.61,3.2,2.19,2.15,1.67,1.82,1.88
26,1195890,Brazil Gaucho 1,2021,2021-03-21 20:00:00,5,Caxias,Esportivo,2,1,3,"['32', '77']",['90+7'],1.2,3.5,4.07,2.4,1.53,2.36,1.52
27,1195888,Brazil Gaucho 1,2021,2021-03-21 20:00:00,5,Novo Hamburgo,Internacional,0,1,1,[],['63'],9.4,5.25,1.03,1.62,2.25,2.55,1.45
28,1189741,Brazil Gaucho 1,2021,2021-03-22 20:00:00,3,EC São José,Grêmio,1,1,2,['53'],['73'],4.4,3.8,1.17,2.15,1.67,2.25,1.57
29,1195887,Brazil Gaucho 1,2021,2021-03-22 22:00:00,5,Ypiranga Erechim,Juventude,0,1,1,[],['31'],1.83,3.1,1.87,2.05,1.75,1.8,1.91
30,1195896,Brazil Gaucho 1,2021,2021-03-24 20:00:00,6,Novo Hamburgo,Brasil de Pelotas,1,1,2,['52'],['90+4'],1.64,3.0,2.12,2.4,1.53,2.05,1.7
31,1195895,Brazil Gaucho 1,2021,2021-03-24 22:00:00,6,Internacional,Caxias,2,0,2,"['69', '90+3']",[],1.14,3.6,5.0,2.25,1.62,2.45,1.5
32,1195892,Brazil Gaucho 1,2021,2021-03-25 20:00:00,6,São Luiz,Esportivo,1,1,2,['65'],['26'],1.32,3.3,3.08,3.1,1.36,2.51,1.47
33,1195893,Brazil Gaucho 1,2021,2021-03-25 20:00:00,6,Ypiranga Erechim,EC São José,4,1,5,"['22', '35', '69', '89']",['54'],1.18,3.4,4.35,3.1,1.36,2.82,1.38
34,1195894,Brazil Gaucho 1,2021,2021-03-25 21:30:00,6,Juventude,Grêmio,2,1,3,"['62', '66']",['45+2'],2.71,3.25,1.41,2.4,1.53,2.14,1.63
35,1195897,Brazil Gaucho 1,2021,2021-03-25 22:00:00,6,Pelotas,Aimoré,1,2,3,['67'],"['6', '18']",1.78,3.0,1.93,3.1,1.36,2.27,1.56
36,1195899,Brazil Gaucho 1,2021,2021-03-27 20:00:00,7,Brasil de Pelotas,Internacional,1,2,3,['18'],"['3', '68']",5.4,4.0,1.12,2.1,1.7,2.51,1.47
37,1195900,Brazil Gaucho 1,2021,2021-03-28 20:00:00,7,EC São José,Juventude,1,0,1,['19'],[],2.9,3.1,1.36,2.35,1.57,2.15,1.62
38,1195901,Brazil Gaucho 1,2021,2021-03-28 20:00:00,7,Caxias,São Luiz,4,0,4,"['16', '39', '45+1', '63']",[],1.4,3.25,2.7,2.35,1.57,2.0,1.72
39,1195903,Brazil Gaucho 1,2021,2021-03-28 20:00:00,7,Aimoré,Ypiranga Erechim,0,0,0,[],[],2.2,3.2,1.6,2.25,1.62,1.95,1.75
40,1195898,Brazil Gaucho 1,2021,2021-03-28 21:00:00,7,Grêmio,Pelotas,4,0,4,"['67', '71', '77', '79']",[],1.04,5.75,8.5,1.65,2.2,2.46,1.48
41,1195902,Brazil Gaucho 1,2021,2021-03-29 20:00:00,7,Esportivo,Novo Hamburgo,1,2,3,['51'],"['13', '67']",2.07,2.9,1.68,2.4,1.53,2.05,1.69
42,1195904,Brazil Gaucho 1,2021,2021-03-31 20:00:00,8,Ypiranga Erechim,Brasil de Pelotas,1,0,1,['25'],[],1.28,3.2,3.32,2.25,1.62,2.07,1.67
43,1195907,Brazil Gaucho 1,2021,2021-03-31 20:00:00,8,Internacional,EC São José,0,0,0,[],[],1.07,5.0,7.0,1.85,1.95,2.45,1.49
44,1195906,Brazil Gaucho 1,2021,2021-03-31 22:00:00,8,São Luiz,Grêmio,2,2,4,"['18', '59']","['11', '72']",4.96,3.78,1.64,1.8,1.95,2.56,1.45
45,1195905,Brazil Gaucho 1,2021,2021-04-01 20:00:00,8,Pelotas,Esportivo,0,2,2,[],"['30', '37']",1.38,3.4,2.81,2.05,1.75,1.87,1.83
46,1195908,Brazil Gaucho 1,2021,2021-04-01 20:00:00,8,Novo Hamburgo,Caxias,3,0,3,"['45+4', '64', '86']",[],2.28,3.1,1.56,2.7,1.44,2.22,1.59
47,1195909,Brazil Gaucho 1,2021,2021-04-01 20:00:00,8,Juventude,Aimoré,1,0,1,['5'],[],1.22,3.75,3.85,2.15,1.67,2.14,1.63
48,1195910,Brazil Gaucho 1,2021,2021-04-03 22:15:00,9,Grêmio,Internacional,1,0,1,['89'],[],1.85,3.1,1.85,2.5,1.5,2.03,1.71
49,1195914,Brazil Gaucho 1,2021,2021-04-04 20:00:00,9,EC São José,São Luiz,1,0,1,['58'],[],1.59,3.25,2.21,2.5,1.5,2.02,1.71
50,1195913,Brazil Gaucho 1,2021,2021-04-05 20:00:00,9,Caxias,Juventude,0,0,0,[],[],1.67,3.0,2.08,2.7,1.44,2.11,1.65
51,1195915,Brazil Gaucho 1,2021,2021-04-05 20:00:00,9,Aimoré,Novo Hamburgo,2,0,2,"['21', '34']",[],1.65,3.1,2.11,2.35,1.57,1.96,1.77
52,1195912,Brazil Gaucho 1,2021,2021-04-05 20:00:00,9,Brasil de Pelotas,Pelotas,0,0,0,[],[],1.33,3.2,3.05,2.25,1.62,1.99,1.73
53,1195911,Brazil Gaucho 1,2021,2021-04-09 20:00:00,9,Esportivo,Ypiranga Erechim,1,1,2,['90+2'],['66'],2.21,3.25,1.6,2.25,1.62,1.9,1.8
54,1195917,Brazil Gaucho 1,2021,2021-04-14 21:30:00,10,Aimoré,Internacional,1,6,7,['55'],"['19', '40', '52', '62', '89', '90+2']",5.35,3.8,1.12,2.1,1.7,2.43,1.5
55,1165837,Brazil Gaucho 1,2021,2021-04-16 20:00:00,1,Caxias,Grêmio,0,0,0,[],[],3.13,3.4,1.32,2.35,1.57,2.12,1.64
56,1195916,Brazil Gaucho 1,2021,2021-04-18 20:00:00,10,Grêmio,Novo Hamburgo,3,1,4,"['27', '35', '63']",['78'],1.08,4.33,6.6,1.85,1.95,2.38,1.53
57,1195919,Brazil Gaucho 1,2021,2021-04-18 20:00:00,10,Brasil de Pelotas,São Luiz,1,0,1,['4'],[],1.41,3.3,2.71,2.3,1.6,2.05,1.69
58,1195918,Brazil Gaucho 1,2021,2021-04-19 20:00:00,10,EC São José,Pelotas,1,1,2,['37'],['90+5'],1.36,3.2,2.91,2.35,1.57,2.1,1.66
59,1195921,Brazil Gaucho 1,2021,2021-04-19 20:00:00,10,Esportivo,Juventude,2,2,4,"['4', '18']","['14', '35']",3.4,3.5,1.27,2.5,1.5,2.34,1.53
60,1195920,Brazil Gaucho 1,2021,2021-04-20 20:00:00,10,Caxias,Ypiranga Erechim,2,2,4,"['16', '50']","['23', '60']",1.59,3.0,2.21,2.7,1.44,2.15,1.63
61,1195927,Brazil Gaucho 1,2021,2021-04-24 21:00:00,11,Pelotas,Caxias,1,1,2,['34'],['84'],2.34,3.2,1.53,2.25,1.62,1.94,1.77
62,1195926,Brazil Gaucho 1,2021,2021-04-24 21:00:00,11,Juventude,Brasil de Pelotas,2,1,3,"['4', '35']",['71'],1.53,3.6,6.5,2.15,1.67,2.2,1.54
63,1195925,Brazil Gaucho 1,2021,2021-04-24 21:00:00,11,Novo Hamburgo,EC São José,1,3,4,['50'],"['21', '45+3', '76']",1.5,3.1,2.41,2.7,1.44,2.21,1.59
64,1195922,Brazil Gaucho 1,2021,2021-04-24 21:00:00,11,Ypiranga Erechim,Grêmio,2,3,5,"['51', '53']","['23', '27', '29']",3.15,3.6,1.31,2.05,1.75,1.84,1.86
65,1195923,Brazil Gaucho 1,2021,2021-04-24 21:00:00,11,Internacional,Esportivo,5,0,5,"['5', '33', '41', '61', '67']",[],1.09,5.0,6.15,1.67,2.15,2.08,1.67
66,1195924,Brazil Gaucho 1,2021,2021-04-24 21:00:00,11,São Luiz,Aimoré,0,0,0,[],[],1.58,2.8,2.23,2.7,1.44,2.14,1.63
67,1223054,Brazil Gaucho 1,2021,2021-05-02 16:00:00,0,Juventude,Internacional,1,0,1,['72'],[],3.55,3.6,1.22,2.0,1.8,1.99,1.75
68,1223052,Brazil Gaucho 1,2021,2021-05-02 19:00:00,0,Caxias,Grêmio,1,2,3,['45+2'],"['23', '84']",3.8,3.4,1.2,2.1,1.7,1.97,1.76
69,1223053,Brazil Gaucho 1,2021,2021-05-08 19:00:00,0,Internacional,Juventude,4,1,5,"['44', '45+2', '63', '79']",['68'],1.1,4.5,5.95,2.1,1.7,2.43,1.53
70,1223051,Brazil Gaucho 1,2021,2021-05-09 16:00:00,0,Grêmio,Caxias,2,0,2,"['28', '82']",[],1.39,4.2,6.5,1.67,2.1,2.04,1.71
71,1227903,Brazil Gaucho 1,2021,2021-05-16 16:00:00,0,Internacional,Grêmio,1,2,3,['27'],"['58', '88']",1.63,3.0,2.2,2.6,1.48,2.15,1.64
