Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1168434,Brazil Paulista A1,2021,2021-02-27 16:30:00,1,São Bento,Mirassol,1,2,3,['7'],"['45+1', '81']",3.35,3.1,2.1,2.36,1.64,2.02,1.71
2,1168430,Brazil Paulista A1,2021,2021-02-27 19:00:00,1,Novorizontino,Ponte Preta,1,1,2,['68'],['45'],2.63,3.15,2.43,2.2,1.6,1.87,1.8
3,1168432,Brazil Paulista A1,2021,2021-02-28 18:00:00,1,Bragantino,Corinthians,0,0,0,[],[],1.95,3.2,3.6,2.15,1.57,2.05,1.67
4,1168428,Brazil Paulista A1,2021,2021-02-28 19:00:00,1,Ferroviária,Inter de Limeira,1,0,1,['65'],[],2.2,2.95,3.2,2.2,1.56,2.0,1.71
5,1168433,Brazil Paulista A1,2021,2021-02-28 19:00:00,1,Santo André,Santos,2,2,4,"['3', '51']","['5', '25']",3.0,3.0,2.3,2.1,1.61,1.91,1.77
6,1168435,Brazil Paulista A1,2021,2021-02-28 19:00:00,1,São Paulo,Botafogo SP,1,1,2,['75'],['48'],1.26,5.25,8.5,1.83,1.83,2.55,1.43
7,1168429,Brazil Paulista A1,2021,2021-03-01 19:00:00,1,Guarani,Ituano,0,3,3,[],"['6', '8', '46']",2.65,2.65,2.85,2.35,1.49,2.0,1.69
8,1168440,Brazil Paulista A1,2021,2021-03-02 19:00:00,2,Mirassol,Novorizontino,1,1,2,['17'],['37'],2.05,3.15,3.35,2.15,1.57,2.0,1.69
9,1168438,Brazil Paulista A1,2021,2021-03-03 17:00:00,2,Inter de Limeira,São Paulo,0,4,4,[],"['5', '62', '76', '90+2']",5.2,4.2,1.13,2.05,1.75,2.38,1.53
10,1168442,Brazil Paulista A1,2021,2021-03-03 17:00:00,2,Santos,Ferroviária,1,1,2,['30'],['66'],1.67,3.3,2.07,2.3,1.6,2.0,1.75
11,1168437,Brazil Paulista A1,2021,2021-03-03 19:00:00,2,Corinthians,Palmeiras,2,2,4,"['36', '47']","['5', '25']",3.7,3.0,2.2,2.63,1.53,2.36,1.56
12,1168443,Brazil Paulista A1,2021,2021-03-03 19:30:00,2,São Caetano,Bragantino,0,2,2,[],"['26', '35']",5.75,3.75,1.57,1.92,1.82,2.36,1.52
13,1168439,Brazil Paulista A1,2021,2021-03-04 15:00:00,2,Ituano,São Bento,1,0,1,['45+4'],[],1.67,3.1,5.5,2.3,1.5,2.25,1.56
14,1168436,Brazil Paulista A1,2021,2021-03-04 16:45:00,2,Botafogo SP,Guarani,0,1,1,[],['61'],1.65,3.2,2.12,2.4,1.53,2.05,1.7
15,1168441,Brazil Paulista A1,2021,2021-03-04 19:00:00,2,Ponte Preta,Santo André,0,1,1,[],['61'],2.02,3.0,4.47,2.28,1.58,1.95,1.71
16,1168447,Brazil Paulista A1,2021,2021-03-06 16:30:00,3,Inter de Limeira,Novorizontino,1,0,1,['37'],[],2.3,3.25,1.55,2.35,1.57,2.05,1.7
17,1168451,Brazil Paulista A1,2021,2021-03-06 19:00:00,3,São Paulo,Santos,4,0,4,"['50', '74', '76', '87']",[],1.22,3.6,3.83,2.05,1.75,2.05,1.7
18,1168444,Brazil Paulista A1,2021,2021-03-07 11:00:00,3,Corinthians,Ponte Preta,2,1,3,"['45+1', '78']",['31'],1.43,3.25,2.62,2.25,1.62,2.0,1.75
19,1168448,Brazil Paulista A1,2021,2021-03-07 11:00:00,3,Ituano,Mirassol,1,1,2,['79'],['8'],1.97,3.2,1.75,2.5,1.5,2.1,1.7
20,1168446,Brazil Paulista A1,2021,2021-03-07 15:00:00,3,Guarani,Bragantino,1,1,2,['45+8'],['45'],4.57,3.6,1.16,2.2,1.73,2.23,1.64
21,1168445,Brazil Paulista A1,2021,2021-03-08 19:00:00,3,Ferroviária,Botafogo SP,5,0,5,"['4', '22', '44', '51', '58']",[],1.37,3.4,3.05,2.88,1.4,2.38,1.53
22,1168449,Brazil Paulista A1,2021,2021-03-08 19:00:00,3,Santo André,São Caetano,0,0,0,[],[],1.21,3.6,3.92,2.25,1.62,2.1,1.67
23,1168431,Brazil Paulista A1,2021,2021-03-11 19:00:00,1,Palmeiras,São Caetano,3,0,3,"['12', '37', '41']",[],1.4,3.9,7.0,1.98,1.88,2.6,1.42
24,1168453,Brazil Paulista A1,2021,2021-03-13 16:30:00,4,Guarani,São Bento,0,0,0,[],[],1.4,3.2,2.9,2.4,1.53,2.1,1.74
25,1168455,Brazil Paulista A1,2021,2021-03-13 16:30:00,4,Novorizontino,São Paulo,2,1,3,"['45+2', '83']",['56'],4.2,3.6,1.23,2.1,1.7,2.06,1.76
26,1168458,Brazil Paulista A1,2021,2021-03-13 19:00:00,4,Santos,Ituano,2,1,3,"['14', '33']",['16'],1.33,3.4,3.3,2.25,1.62,2.06,1.75
27,1168452,Brazil Paulista A1,2021,2021-03-13 19:00:00,4,Botafogo SP,Ponte Preta,0,1,1,[],['45+1'],2.34,3.25,1.53,2.35,1.57,2.03,1.7
28,1168454,Brazil Paulista A1,2021,2021-03-14 11:00:00,4,Mirassol,Inter de Limeira,1,0,1,['90+3'],[],1.34,3.3,3.0,2.25,1.62,2.05,1.7
29,1168456,Brazil Paulista A1,2021,2021-03-14 16:00:00,4,Palmeiras,Ferroviária,2,0,2,"['54', '90+3']",[],1.2,3.75,4.1,2.1,1.7,2.2,1.62
30,1168457,Brazil Paulista A1,2021,2021-03-14 19:00:00,4,Bragantino,Santo André,2,1,3,"['3', '50']",['72'],1.33,4.0,9.0,2.15,1.67,2.5,1.5
31,1168459,Brazil Paulista A1,2021,2021-03-14 19:00:00,4,São Caetano,Corinthians,0,1,1,[],['42'],5.2,4.0,1.13,1.9,1.9,2.1,1.67
32,1168463,Brazil Paulista A1,2021,2021-03-23 21:00:00,5,Mirassol,Corinthians,0,1,1,[],['21'],3.75,3.2,1.91,2.7,1.44,2.15,1.59
33,1168450,Brazil Paulista A1,2021,2021-03-24 22:00:00,3,São Bento,Palmeiras,1,1,2,['29'],['40'],9.0,5.5,1.22,1.75,2.05,0.0,0.0
34,1168497,Brazil Paulista A1,2021,2021-04-10 20:00:00,9,São Bento,Bragantino,1,2,3,['11'],"['23', '89']",7.0,4.2,1.07,2.15,1.67,2.55,1.45
35,1168515,Brazil Paulista A1,2021,2021-04-10 20:00:00,11,São Paulo,São Caetano,5,1,6,"['5', '20', '30', '43', '75']",['32'],1.04,5.5,8.15,1.67,2.15,2.37,1.52
36,1168496,Brazil Paulista A1,2021,2021-04-10 22:00:00,9,Santos,Botafogo SP,0,0,0,[],[],1.54,3.82,5.61,2.1,1.65,2.1,1.71
37,1168509,Brazil Paulista A1,2021,2021-04-11 20:00:00,11,Guarani,Corinthians,0,1,1,[],['73'],3.53,3.4,1.25,2.4,1.53,2.2,1.62
38,1168483,Brazil Paulista A1,2021,2021-04-12 20:00:00,7,São Paulo,Bragantino,1,0,1,['71'],[],1.41,3.4,2.69,1.75,2.05,1.65,2.1
39,1168492,Brazil Paulista A1,2021,2021-04-13 20:00:00,9,Ferroviária,Corinthians,2,1,3,"['74', '89']",['43'],2.04,3.0,1.69,2.7,1.44,2.2,1.62
40,1168466,Brazil Paulista A1,2021,2021-04-13 20:00:00,5,Santo André,São Bento,0,0,0,[],[],1.4,3.2,2.72,2.4,1.53,2.13,1.7
41,1168467,Brazil Paulista A1,2021,2021-04-14 20:00:00,5,São Caetano,Novorizontino,0,2,2,[],"['53', '88']",4.8,3.6,1.18,2.15,1.67,2.14,1.7
42,1168499,Brazil Paulista A1,2021,2021-04-14 21:30:00,9,São Paulo,Guarani,3,2,5,"['45', '50', '84']","['10', '71']",1.31,4.4,7.8,2.01,1.78,2.2,1.62
43,1168462,Brazil Paulista A1,2021,2021-04-14 22:00:00,5,Ituano,Botafogo SP,1,2,3,['82'],"['53', '74']",1.77,3.2,4.2,1.5,2.5,2.14,1.63
44,1168461,Brazil Paulista A1,2021,2021-04-15 20:00:00,5,Inter de Limeira,Bragantino,0,2,2,[],"['62', '90+5']",3.8,3.4,1.22,2.08,1.73,2.0,1.75
45,1168476,Brazil Paulista A1,2021,2021-04-16 20:00:00,7,Corinthians,São Bento,1,1,2,['77'],['8'],1.12,4.0,5.45,2.1,1.7,2.38,1.53
46,1168465,Brazil Paulista A1,2021,2021-04-16 20:00:00,5,Ponte Preta,Santos,3,0,3,"['9', '33', '35']",[],2.2,3.1,1.6,2.3,1.6,2.0,1.75
47,1168464,Brazil Paulista A1,2021,2021-04-16 22:00:00,5,Palmeiras,São Paulo,0,1,1,[],['62'],2.85,2.9,2.33,2.3,1.54,2.0,1.75
48,1168472,Brazil Paulista A1,2021,2021-04-17 20:00:00,6,Bragantino,Mirassol,2,1,3,"['33', '79']",['42'],1.32,3.0,3.15,2.2,1.61,2.05,1.71
49,1168470,Brazil Paulista A1,2021,2021-04-17 22:15:00,6,Novorizontino,Ferroviária,3,1,4,"['23', '45+4', '55']",['36'],2.4,2.9,3.3,1.5,2.55,2.1,1.67
50,1168473,Brazil Paulista A1,2021,2021-04-18 20:00:00,6,Santos,Inter de Limeira,2,1,3,"['17', '87']",['29'],1.39,3.4,2.79,2.05,1.75,1.91,1.91
51,1168468,Brazil Paulista A1,2021,2021-04-18 20:00:00,6,Botafogo SP,Palmeiras,0,0,0,[],[],3.23,3.75,1.3,2.15,1.67,2.0,1.75
52,1168469,Brazil Paulista A1,2021,2021-04-18 22:00:00,6,Corinthians,Ituano,2,0,2,"['45+4', '64']",[],1.29,3.4,3.28,2.1,1.7,2.0,1.75
53,1168512,Brazil Paulista A1,2021,2021-04-19 20:00:00,11,Bragantino,Ponte Preta,2,0,2,"['38', '51']",[],1.19,3.6,4.13,2.0,1.8,1.95,1.8
54,1168474,Brazil Paulista A1,2021,2021-04-19 22:15:00,6,São Bento,São Caetano,1,1,2,['29'],['36'],1.21,3.4,3.97,2.5,1.5,2.38,1.53
55,1168493,Brazil Paulista A1,2021,2021-04-20 20:00:00,9,Novorizontino,Santo André,2,0,2,"['47', '55']",[],1.2,3.5,4.0,2.2,1.65,2.2,1.62
56,1168460,Brazil Paulista A1,2021,2021-04-20 21:30:00,5,Ferroviária,Guarani,1,2,3,['3'],"['7', '72']",1.62,3.1,2.15,2.5,1.5,2.05,1.7
57,1168479,Brazil Paulista A1,2021,2021-04-21 21:00:00,7,Inter de Limeira,Ituano,1,0,1,['45+2'],[],2.11,3.1,1.65,2.3,1.6,1.95,1.8
58,1168480,Brazil Paulista A1,2021,2021-04-21 22:15:00,7,Mirassol,Botafogo SP,2,1,3,"['37', '83']",['44'],1.22,3.4,4.0,2.4,1.53,2.25,1.57
59,1168482,Brazil Paulista A1,2021,2021-04-22 22:15:00,7,São Caetano,Ponte Preta,1,2,3,['17'],"['45+5', '90+2']",5.5,3.35,1.61,2.2,1.56,2.25,1.54
60,1168478,Brazil Paulista A1,2021,2021-04-23 20:00:00,7,Guarani,Palmeiras,1,2,3,['14'],"['45+2', '70']",3.05,3.5,1.33,2.25,1.62,2.0,1.75
61,1168475,Brazil Paulista A1,2021,2021-04-23 20:00:00,6,São Paulo,Santo André,2,0,2,"['9', '54']",[],1.12,4.2,5.35,2.08,1.73,2.38,1.53
62,1168481,Brazil Paulista A1,2021,2021-04-23 22:15:00,7,Novorizontino,Santos,1,0,1,['49'],[],1.62,3.2,2.17,2.2,1.65,1.95,1.8
63,1168490,Brazil Paulista A1,2021,2021-04-25 20:00:00,8,Santos,Corinthians,0,2,2,[],"['38', '45']",2.25,3.0,1.61,2.7,1.44,2.2,1.62
64,1168488,Brazil Paulista A1,2021,2021-04-25 20:00:00,8,Bragantino,Ferroviária,0,0,0,[],[],1.29,3.0,3.35,2.2,1.65,1.95,1.8
65,1168486,Brazil Paulista A1,2021,2021-04-25 20:00:00,8,Palmeiras,Mirassol,1,2,3,['90+5'],"['29', '48']",1.44,3.4,2.65,2.1,1.7,1.95,1.8
66,1168485,Brazil Paulista A1,2021,2021-04-25 22:15:00,8,Ituano,São Paulo,0,3,3,[],"['9', '23', '74']",3.8,3.4,1.8,2.05,1.67,2.0,1.71
67,1168484,Brazil Paulista A1,2021,2021-04-25 22:15:00,8,Botafogo SP,São Caetano,1,1,2,['35'],['18'],1.54,3.6,5.2,2.2,1.6,2.3,1.53
68,1168487,Brazil Paulista A1,2021,2021-04-26 20:00:00,8,Ponte Preta,Inter de Limeira,0,1,1,[],['10'],1.28,3.75,3.37,2.0,1.8,1.95,1.8
69,1168489,Brazil Paulista A1,2021,2021-04-26 22:15:00,8,Santo André,Guarani,0,1,1,[],['34'],3.2,3.1,2.15,2.2,1.56,2.05,1.67
70,1168491,Brazil Paulista A1,2021,2021-04-27 21:30:00,8,São Bento,Novorizontino,1,1,2,['90+1'],['66'],4.2,3.1,1.83,2.25,1.57,2.0,1.75
71,1168498,Brazil Paulista A1,2021,2021-04-28 21:00:00,9,São Caetano,Ituano,0,1,1,[],['51'],3.25,3.25,1.29,2.7,1.44,2.38,1.53
72,1168495,Brazil Paulista A1,2021,2021-04-29 21:00:00,9,Ponte Preta,Mirassol,1,2,3,['75'],"['27', '52']",1.9,3.25,1.81,2.25,1.62,1.95,1.8
73,1168494,Brazil Paulista A1,2021,2021-04-29 22:00:00,9,Palmeiras,Inter de Limeira,0,1,1,[],['90+4'],1.1,4.33,5.7,1.9,1.9,2.1,1.67
74,1168477,Brazil Paulista A1,2021,2021-04-29 22:15:00,7,Ferroviária,Santo André,2,2,4,"['35', '72']","['55', '78']",1.42,3.2,2.66,2.1,1.7,1.95,1.8
75,1168506,Brazil Paulista A1,2021,2021-05-01 20:00:00,10,Bragantino,Santos,1,1,2,['27'],['47'],1.45,3.5,2.57,2.1,1.7,1.95,1.8
76,1168502,Brazil Paulista A1,2021,2021-05-02 20:00:00,10,Guarani,Novorizontino,2,1,3,"['10', '51']",['89'],1.76,2.9,1.95,2.7,1.44,2.05,1.7
77,1168507,Brazil Paulista A1,2021,2021-05-02 20:00:00,10,Santo André,Palmeiras,0,1,1,[],['21'],3.63,3.4,1.24,2.5,1.5,2.38,1.53
78,1168501,Brazil Paulista A1,2021,2021-05-02 22:15:00,10,Corinthians,São Paulo,2,2,4,"['41', '85']","['15', '90+6']",2.88,3.5,1.36,2.15,1.67,2.05,1.7
79,1168504,Brazil Paulista A1,2021,2021-05-02 22:15:00,10,Ituano,Ponte Preta,2,1,3,"['2', '90+9']",['11'],1.89,3.0,1.82,2.25,1.62,1.95,1.8
80,1168503,Brazil Paulista A1,2021,2021-05-03 20:00:00,10,Inter de Limeira,São Caetano,1,0,1,['90+4'],[],1.12,4.0,5.5,2.2,1.65,2.4,1.53
81,1168505,Brazil Paulista A1,2021,2021-05-03 20:00:00,10,Mirassol,Ferroviária,1,3,4,['42'],"['22', '37', '79']",1.37,3.3,2.85,2.15,1.67,1.8,1.9
82,1168500,Brazil Paulista A1,2021,2021-05-03 22:15:00,10,Botafogo SP,São Bento,2,0,2,"['38', '62']",[],2.1,2.7,3.85,2.15,1.57,1.91,1.77
