Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1214599,Brazil Serie A,2021,2021-05-29 19:00:00,1,Cuiabá,Juventude,2,2,4,"['29', '87']","['43', '45+1']",2.2,3.2,3.5,2.4,1.54,2.15,1.65
2,1214596,Brazil Serie A,2021,2021-05-29 20:00:00,1,Bahia,Santos,3,0,3,"['46', '49', '53']",[],2.25,3.25,3.25,2.1,1.71,1.91,1.87
3,1214592,Brazil Serie A,2021,2021-05-29 21:00:00,1,São Paulo,Fluminense,0,0,0,[],[],1.74,3.35,5.5,2.55,1.49,2.4,1.54
4,1214593,Brazil Serie A,2021,2021-05-30 11:00:00,1,Atlético Mineiro,Fortaleza,1,2,3,['40'],"['60', '90+4']",1.36,5.05,7.89,1.73,2.03,2.1,1.67
5,1214590,Brazil Serie A,2021,2021-05-30 16:00:00,1,Flamengo,Palmeiras,1,0,1,['75'],[],1.4,4.5,6.5,1.87,1.91,1.87,1.87
6,1214595,Brazil Serie A,2021,2021-05-30 16:00:00,1,Ceará,Grêmio,3,2,5,"['36', '42', '90+4']","['45+5', '49']",2.8,3.0,2.55,2.15,1.67,2.05,1.71
7,1214591,Brazil Serie A,2021,2021-05-30 18:15:00,1,Corinthians,Atlético GO,0,1,1,[],['44'],1.91,3.4,4.1,2.25,1.61,2.15,1.67
8,1214597,Brazil Serie A,2021,2021-05-30 18:15:00,1,Atlético PR,América Mineiro,1,0,1,['87'],[],2.35,3.05,3.3,2.6,1.48,2.3,1.57
9,1214598,Brazil Serie A,2021,2021-05-30 18:15:00,1,Chapecoense,Bragantino,0,3,3,[],"['33', '35', '74']",3.7,3.2,2.1,2.15,1.67,1.91,1.87
10,1214594,Brazil Serie A,2021,2021-05-30 20:30:00,1,Internacional,Sport Recife,2,2,4,"['19', '44']","['62', '86']",1.34,5.0,8.5,1.91,1.83,2.4,1.53
11,1214609,Brazil Serie A,2021,2021-06-05 19:00:00,2,Atlético GO,São Paulo,2,0,2,"['23', '79']",[],3.5,2.95,2.35,2.6,1.47,2.25,1.61
12,1214602,Brazil Serie A,2021,2021-06-05 21:00:00,2,Santos,Ceará,3,1,4,"['19', '63', '72']",['45+7'],2.05,3.35,3.8,2.2,1.65,1.95,1.8
13,1214607,Brazil Serie A,2021,2021-06-05 21:00:00,2,Bragantino,Bahia,3,3,6,"['22', '50', '68']","['16', '19', '86']",1.87,3.45,4.2,2.15,1.69,2.0,1.77
14,1214600,Brazil Serie A,2021,2021-06-06 11:00:00,2,Fluminense,Cuiabá,1,0,1,['40'],[],1.52,4.1,6.32,1.91,1.83,2.15,1.67
15,1214603,Brazil Serie A,2021,2021-06-06 16:00:00,2,América Mineiro,Corinthians,0,1,1,[],['29'],3.09,3.25,2.46,2.55,1.45,2.15,1.67
16,1214605,Brazil Serie A,2021,2021-06-06 16:00:00,2,Fortaleza,Internacional,5,1,6,"['17', '45+2', '47', '55', '86']",['62'],3.37,2.78,2.62,2.48,1.54,2.05,1.71
17,1214608,Brazil Serie A,2021,2021-06-06 18:15:00,2,Juventude,Atlético PR,0,3,3,[],"['47', '49', '89']",3.3,3.1,2.3,2.35,1.57,2.1,1.69
18,1214601,Brazil Serie A,2021,2021-06-06 18:15:00,2,Palmeiras,Chapecoense,3,1,4,"['7', '15', '42']",['55'],1.37,4.45,9.5,1.95,1.83,2.1,1.67
19,1214606,Brazil Serie A,2021,2021-06-06 20:30:00,2,Sport Recife,Atlético Mineiro,0,1,1,[],['14'],5.5,3.5,1.69,2.1,1.69,2.1,1.71
20,1214611,Brazil Serie A,2021,2021-06-12 19:00:00,3,Palmeiras,Corinthians,1,1,2,['3'],['55'],1.87,3.35,4.35,2.25,1.62,2.1,1.71
21,1214612,Brazil Serie A,2021,2021-06-12 19:00:00,3,Santos,Juventude,0,0,0,[],[],1.65,3.75,5.5,2.05,1.77,2.0,1.77
22,1214610,Brazil Serie A,2021,2021-06-13 16:00:00,3,Flamengo,América Mineiro,2,0,2,"['24', '67']",[],1.3,5.0,9.5,1.81,1.96,2.1,1.71
23,1214613,Brazil Serie A,2021,2021-06-13 16:00:00,3,Atlético Mineiro,São Paulo,1,0,1,['17'],[],2.38,3.0,3.2,2.15,1.62,1.91,1.83
24,1214614,Brazil Serie A,2021,2021-06-13 16:00:00,3,Grêmio,Atlético PR,0,1,1,[],['44'],1.95,3.1,4.33,2.2,1.6,2.2,1.65
25,1214617,Brazil Serie A,2021,2021-06-13 20:30:00,3,Bragantino,Fluminense,2,2,4,"['6', '45+3']","['75', '90+3']",1.95,3.45,3.9,2.1,1.71,1.91,1.83
26,1214615,Brazil Serie A,2021,2021-06-13 20:30:00,3,Fortaleza,Sport Recife,1,0,1,['79'],[],1.69,3.45,5.75,2.45,1.54,2.4,1.54
27,1214616,Brazil Serie A,2021,2021-06-13 20:30:00,3,Bahia,Internacional,0,1,1,[],['31'],2.6,3.15,2.8,2.05,1.74,1.83,1.91
28,1214618,Brazil Serie A,2021,2021-06-13 20:30:00,3,Chapecoense,Ceará,0,0,0,[],[],3.15,3.0,2.45,2.3,1.59,2.0,1.74
29,1214624,Brazil Serie A,2021,2021-06-16 19:00:00,4,Internacional,Atlético Mineiro,0,1,1,[],['2'],2.6,3.15,2.8,2.15,1.67,1.91,1.83
