Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1590244,Brazil Serie B,2022,2022-04-08 19:00:00,1,Brusque,Guarani,1,0,1,['80'],[],2.52,3.08,2.52,2.2,1.6,2.07,1.68
2,1590247,Brazil Serie B,2022,2022-04-08 19:00:00,1,Vasco da Gama,Vila Nova,1,1,2,['9'],['12'],1.9,3.12,3.65,2.37,1.52,2.28,1.57
3,1590248,Brazil Serie B,2022,2022-04-08 21:30:00,1,Bahia,Cruzeiro,2,0,2,"['57', '74']",[],2.43,3.07,2.61,2.22,1.59,1.91,1.81
4,1590250,Brazil Serie B,2022,2022-04-09 16:00:00,1,Chapecoense,Ituano,1,1,2,['90'],['76'],2.02,3.1,3.3,2.55,1.5,2.23,1.62
5,1590241,Brazil Serie B,2022,2022-04-09 16:30:00,1,Ponte Preta,Grêmio,0,0,0,[],[],3.45,3.1,1.98,2.3,1.6,2.05,1.7
6,1590243,Brazil Serie B,2022,2022-04-09 18:30:00,1,Sport Recife,Sampaio Corrêa,1,0,1,['88'],[],1.62,3.5,5.2,2.5,1.47,2.38,1.53
7,1590249,Brazil Serie B,2022,2022-04-09 21:00:00,1,Tombense,Operário PR,1,1,2,['57'],['87'],2.6,2.85,2.55,2.55,1.46,2.05,1.7
8,1590246,Brazil Serie B,2022,2022-04-10 11:00:00,1,Londrina,Náutico,2,0,2,"['35', '40']",[],2.36,3.2,2.92,2.1,1.65,1.93,1.83
9,1590260,Brazil Serie B,2022,2022-04-12 19:00:00,2,Vila Nova,Novorizontino,0,0,0,[],[],1.73,3.5,4.25,2.2,1.61,2.0,1.77
10,1590259,Brazil Serie B,2022,2022-04-12 21:30:00,2,Cruzeiro,Brusque,1,0,1,['83'],[],1.59,3.9,5.75,2.03,1.83,1.86,1.8
11,1590254,Brazil Serie B,2022,2022-04-14 20:00:00,2,Criciúma,Londrina,1,0,1,['16'],[],2.17,3.0,3.3,2.55,1.45,2.12,1.69
12,1590257,Brazil Serie B,2022,2022-04-15 19:00:00,2,Grêmio,Chapecoense,0,1,1,[],['75'],1.4,4.0,7.0,1.96,1.76,2.38,1.55
13,1590253,Brazil Serie B,2022,2022-04-15 21:30:00,2,Náutico,Bahia,0,1,1,[],['12'],2.4,3.0,2.75,2.23,1.58,1.95,1.81
14,1590256,Brazil Serie B,2022,2022-04-16 11:00:00,2,Operário PR,Ponte Preta,2,0,2,"['26', '67']",[],2.06,3.0,3.8,2.45,1.52,2.2,1.64
15,1590255,Brazil Serie B,2022,2022-04-16 16:00:00,2,Ituano,CSA,0,0,0,[],[],2.79,3.02,2.7,2.5,1.47,2.2,1.64
16,1590258,Brazil Serie B,2022,2022-04-16 16:30:00,2,Sampaio Corrêa,Tombense,1,1,2,['17'],['38'],2.13,3.12,3.69,2.56,1.45,2.2,1.64
17,1590251,Brazil Serie B,2022,2022-04-16 18:30:00,2,Guarani,Sport Recife,0,0,0,[],[],2.38,2.94,3.34,2.55,1.47,2.2,1.64
18,1590252,Brazil Serie B,2022,2022-04-16 19:00:00,2,CRB,Vasco da Gama,1,1,2,['11'],['38'],2.14,3.34,3.75,2.25,1.57,2.02,1.76
19,1590267,Brazil Serie B,2022,2022-04-21 16:30:00,3,Grêmio,Guarani,3,1,4,"['2', '40', '60']",['26'],1.55,3.85,5.4,2.11,1.65,2.25,1.61
20,1590266,Brazil Serie B,2022,2022-04-21 19:00:00,3,Londrina,Novorizontino,1,1,2,['31'],['14'],2.2,3.0,3.31,2.62,1.43,2.26,1.61
21,1590262,Brazil Serie B,2022,2022-04-22 19:00:00,3,CSA,Bahia,1,1,2,['44'],['16'],2.55,2.95,2.7,2.5,1.5,2.1,1.7
22,1590270,Brazil Serie B,2022,2022-04-22 21:30:00,3,Chapecoense,Vasco da Gama,0,0,0,[],[],2.75,3.05,2.45,2.28,1.58,1.87,1.87
23,1590264,Brazil Serie B,2022,2022-04-23 11:00:00,3,Criciúma,Sport Recife,1,1,2,['14'],['53'],2.87,2.8,2.45,2.75,1.4,2.1,1.67
24,1590261,Brazil Serie B,2022,2022-04-23 16:00:00,3,Ponte Preta,CRB,1,0,1,['24'],[],2.58,2.9,2.87,2.55,1.45,2.25,1.61
25,1590268,Brazil Serie B,2022,2022-04-23 18:30:00,3,Sampaio Corrêa,Brusque,3,1,4,"['17', '57', '73']",['90+1'],2.25,2.88,3.5,2.35,1.53,2.1,1.67
26,1590265,Brazil Serie B,2022,2022-04-23 19:00:00,3,Ituano,Vila Nova,3,1,4,"['35', '43', '49']",['66'],2.62,2.8,2.9,2.55,1.45,2.05,1.7
27,1590269,Brazil Serie B,2022,2022-04-23 19:00:00,3,Tombense,Cruzeiro,1,1,2,['58'],['89'],3.2,2.88,2.4,2.4,1.5,2.2,1.62
28,1590263,Brazil Serie B,2022,2022-04-24 16:00:00,3,Náutico,Operário PR,2,0,2,"['33', '78']",[],2.04,3.05,3.55,2.5,1.5,2.1,1.7
29,1590273,Brazil Serie B,2022,2022-04-26 19:00:00,4,Sport Recife,Ituano,1,0,1,['81'],[],2.2,2.88,3.5,2.55,1.45,2.1,1.67
30,1590275,Brazil Serie B,2022,2022-04-26 19:00:00,4,Novorizontino,Chapecoense,0,3,3,[],"['14', '45+5', '63']",2.41,2.86,2.75,2.45,1.53,2.05,1.72
31,1590280,Brazil Serie B,2022,2022-04-26 20:30:00,4,Vila Nova,Tombense,1,1,2,['14'],['83'],2.2,3.0,3.2,2.4,1.51,2.1,1.67
32,1590274,Brazil Serie B,2022,2022-04-26 20:30:00,4,Brusque,CSA,2,0,2,"['52', '84']",[],2.63,3.0,2.55,2.25,1.58,2.02,1.76
33,1590279,Brazil Serie B,2022,2022-04-26 21:30:00,4,Cruzeiro,Londrina,1,0,1,['66'],[],1.57,3.4,6.0,2.25,1.57,2.38,1.57
34,1590278,Brazil Serie B,2022,2022-04-26 21:30:00,4,Bahia,Sampaio Corrêa,1,0,1,['45+1'],[],1.87,3.2,3.95,2.36,1.52,2.2,1.62
35,1590272,Brazil Serie B,2022,2022-04-27 19:00:00,4,CRB,Náutico,1,2,3,['57'],"['79', '89']",2.02,3.3,3.55,2.1,1.65,1.94,1.84
36,1590276,Brazil Serie B,2022,2022-04-27 19:00:00,4,Operário PR,Grêmio,0,1,1,[],['53'],3.7,3.2,2.0,2.25,1.57,2.2,1.64
37,1590271,Brazil Serie B,2022,2022-04-27 21:00:00,4,Guarani,Criciúma,1,0,1,['72'],[],1.87,2.9,4.27,2.55,1.45,2.2,1.63
38,1590277,Brazil Serie B,2022,2022-04-27 21:30:00,4,Vasco da Gama,Ponte Preta,1,0,1,['31'],[],1.87,3.3,4.15,2.3,1.55,2.15,1.68
39,1590286,Brazil Serie B,2022,2022-04-29 19:00:00,5,Londrina,Vila Nova,2,2,4,"['2', '90+4']","['59', '70']",2.58,2.91,3.08,2.9,1.36,2.42,1.54
40,1590285,Brazil Serie B,2022,2022-04-29 21:30:00,5,Ituano,Bahia,1,0,1,['24'],[],2.55,3.02,3.02,2.4,1.5,2.1,1.67
41,1590282,Brazil Serie B,2022,2022-04-30 16:00:00,5,CSA,Sport Recife,1,0,1,['88'],[],2.16,3.12,3.64,2.75,1.4,2.3,1.59
42,1590288,Brazil Serie B,2022,2022-04-30 16:30:00,5,Sampaio Corrêa,Operário PR,1,1,2,['56'],['36'],2.65,2.87,2.65,2.56,1.45,2.1,1.7
43,1590287,Brazil Serie B,2022,2022-04-30 16:30:00,5,Grêmio,CRB,2,0,2,"['14', '40']",[],1.4,4.35,8.7,2.02,1.71,2.25,1.61
44,1590290,Brazil Serie B,2022,2022-04-30 19:00:00,5,Chapecoense,Cruzeiro,0,2,2,[],"['83', '90']",3.1,2.9,2.3,2.35,1.53,2.09,1.7
45,1590281,Brazil Serie B,2022,2022-04-30 20:30:00,5,Ponte Preta,Brusque,2,0,2,"['16', '67']",[],2.0,3.0,3.6,2.35,1.53,2.06,1.73
46,1590284,Brazil Serie B,2022,2022-05-01 11:00:00,5,Criciúma,Novorizontino,1,1,2,['50'],['74'],2.2,2.95,3.6,2.56,1.45,2.25,1.61
47,1590289,Brazil Serie B,2022,2022-05-01 18:00:00,5,Tombense,Vasco da Gama,1,1,2,['6'],['55'],3.08,2.99,2.51,2.55,1.45,2.13,1.68
48,1590298,Brazil Serie B,2022,2022-05-03 19:00:00,6,Bahia,Londrina,4,0,4,"['5', '11', '36', '60']",[],1.75,3.37,5.04,2.47,1.48,2.3,1.57
49,1590283,Brazil Serie B,2022,2022-05-03 21:30:00,5,Náutico,Guarani,1,1,2,['90+5'],['21'],2.5,3.09,2.93,2.32,1.54,2.0,1.73
50,1590245,Brazil Serie B,2022,2022-05-04 19:00:00,1,Novorizontino,CRB,3,1,4,"['37', '65', '90+1']",['12'],2.06,3.3,3.4,2.15,1.61,2.2,1.62
51,1590242,Brazil Serie B,2022,2022-05-04 21:00:00,1,CSA,Criciúma,1,1,2,['67'],['75'],2.03,2.95,4.0,2.59,1.44,2.2,1.62
52,1590294,Brazil Serie B,2022,2022-05-05 21:30:00,6,Brusque,Chapecoense,0,0,0,[],[],2.33,3.1,2.79,2.55,1.45,2.2,1.64
53,1590300,Brazil Serie B,2022,2022-05-06 19:00:00,6,Vila Nova,Náutico,2,0,2,"['22', '28']",[],2.26,2.98,3.3,2.25,1.6,1.97,1.82
54,1590293,Brazil Serie B,2022,2022-05-06 21:30:00,6,Sport Recife,Tombense,2,0,2,"['58', '75']",[],1.81,3.05,5.0,2.69,1.41,2.47,1.53
55,1590296,Brazil Serie B,2022,2022-05-07 16:30:00,6,Operário PR,Criciúma,2,0,2,"['8', '40']",[],2.14,3.1,3.76,2.75,1.4,2.28,1.6
56,1590297,Brazil Serie B,2022,2022-05-07 19:00:00,6,Vasco da Gama,CSA,1,0,1,['74'],[],2.26,3.04,3.52,2.4,1.5,2.1,1.7
57,1590295,Brazil Serie B,2022,2022-05-07 19:00:00,6,Novorizontino,Ituano,2,1,3,"['17', '65']",['39'],2.32,3.08,3.34,2.55,1.45,2.25,1.61
58,1590299,Brazil Serie B,2022,2022-05-08 16:00:00,6,Cruzeiro,Grêmio,1,0,1,['27'],[],2.24,3.08,2.87,2.32,1.54,2.05,1.73
59,1590291,Brazil Serie B,2022,2022-05-08 16:00:00,6,Guarani,Ponte Preta,0,0,0,[],[],2.01,3.07,3.38,2.55,1.45,2.3,1.59
60,1590292,Brazil Serie B,2022,2022-05-09 20:00:00,6,CRB,Sampaio Corrêa,2,1,3,"['18', '31']",['86'],1.85,3.1,4.25,2.43,1.53,2.2,1.64
61,1590301,Brazil Serie B,2022,2022-05-13 19:00:00,7,Ponte Preta,Novorizontino,0,1,1,[],['79'],2.04,2.82,3.69,2.52,1.46,2.1,1.7
62,1590310,Brazil Serie B,2022,2022-05-13 21:30:00,7,Chapecoense,Sport Recife,0,1,1,[],['13'],2.37,2.78,3.0,2.65,1.42,2.05,1.7
63,1590304,Brazil Serie B,2022,2022-05-14 11:00:00,7,Criciúma,CRB,3,0,3,"['20', '58', '76']",[],2.1,3.0,3.5,2.4,1.5,2.1,1.67
64,1590306,Brazil Serie B,2022,2022-05-14 11:00:00,7,Londrina,Brusque,2,1,3,"['32', '74']",['68'],2.5,2.9,2.9,2.35,1.53,2.05,1.7
65,1590309,Brazil Serie B,2022,2022-05-14 16:00:00,7,Tombense,Guarani,1,1,2,['33'],['1'],2.6,2.75,2.8,2.85,1.37,2.2,1.62
66,1590308,Brazil Serie B,2022,2022-05-14 18:30:00,7,Sampaio Corrêa,Vila Nova,2,0,2,"['35', '85']",[],2.65,2.95,2.65,2.55,1.45,2.1,1.67
67,1590302,Brazil Serie B,2022,2022-05-14 20:30:00,7,CSA,Operário PR,0,0,0,[],[],1.91,3.25,3.65,2.4,1.5,2.1,1.67
68,1590307,Brazil Serie B,2022,2022-05-15 16:00:00,7,Vasco da Gama,Bahia,1,0,1,['22'],[],2.3,3.0,3.11,2.65,1.42,2.1,1.67
69,1590303,Brazil Serie B,2022,2022-05-15 16:00:00,7,Náutico,Cruzeiro,0,1,1,[],['39'],2.92,3.1,2.35,2.29,1.55,2.0,1.73
70,1590305,Brazil Serie B,2022,2022-05-16 20:00:00,7,Ituano,Grêmio,1,1,2,['90+3'],['48'],3.6,3.05,2.11,2.62,1.43,2.2,1.62
71,1590315,Brazil Serie B,2022,2022-05-17 21:30:00,8,Novorizontino,Sport Recife,0,0,0,[],[],2.5,2.75,2.85,2.65,1.42,2.3,1.59
72,1590312,Brazil Serie B,2022,2022-05-18 21:30:00,8,CRB,Londrina,1,0,1,['27'],[],1.82,3.3,4.6,2.5,1.47,2.35,1.56
73,1590320,Brazil Serie B,2022,2022-05-19 19:00:00,8,Vila Nova,Chapecoense,0,0,0,[],[],2.41,2.95,3.4,2.81,1.38,2.3,1.59
74,1590317,Brazil Serie B,2022,2022-05-19 19:00:00,8,Grêmio,Criciúma,0,0,0,[],[],1.47,4.0,7.2,2.28,1.58,2.46,1.52
75,1590311,Brazil Serie B,2022,2022-05-19 21:30:00,8,Guarani,Vasco da Gama,0,0,0,[],[],3.1,2.75,2.65,2.73,1.4,2.15,1.65
76,1590313,Brazil Serie B,2022,2022-05-19 21:30:00,8,Náutico,CSA,1,1,2,['85'],['25'],2.39,3.15,3.0,2.3,1.58,1.94,1.84
77,1590314,Brazil Serie B,2022,2022-05-20 19:00:00,8,Brusque,Tombense,1,0,1,['71'],[],1.95,2.9,4.2,2.5,1.5,2.25,1.61
78,1590318,Brazil Serie B,2022,2022-05-20 21:30:00,8,Bahia,Ponte Preta,2,1,3,"['15', '83']",['76'],1.5,3.4,7.5,2.33,1.54,2.25,1.6
79,1590316,Brazil Serie B,2022,2022-05-21 11:00:00,8,Operário PR,Ituano,3,2,5,"['81', '83', '87']","['18', '49']",2.37,2.9,3.3,2.9,1.36,2.1,1.67
80,1590319,Brazil Serie B,2022,2022-05-22 11:00:00,8,Cruzeiro,Sampaio Corrêa,2,0,2,"['47', '77']",[],1.44,3.6,7.5,2.3,1.53,2.5,1.5
81,1590323,Brazil Serie B,2022,2022-05-24 19:00:00,9,Sport Recife,CRB,0,1,1,[],['26'],2.02,2.73,4.37,2.45,1.5,2.25,1.6
82,1590321,Brazil Serie B,2022,2022-05-24 21:30:00,9,Ponte Preta,Chapecoense,0,0,0,[],[],2.37,2.8,2.9,2.75,1.4,2.25,1.6
83,1590326,Brazil Serie B,2022,2022-05-25 19:00:00,9,Londrina,Operário PR,2,1,3,"['45+1', '87']",['66'],2.35,2.72,2.97,2.65,1.42,2.2,1.62
84,1590327,Brazil Serie B,2022,2022-05-26 19:00:00,9,Vasco da Gama,Brusque,2,0,2,"['41', '62']",[],1.8,3.4,4.2,2.36,1.52,2.25,1.6
85,1590325,Brazil Serie B,2022,2022-05-26 21:30:00,9,Ituano,Náutico,0,0,0,[],[],2.2,3.0,3.3,2.41,1.5,2.1,1.67
86,1590329,Brazil Serie B,2022,2022-05-27 19:00:00,9,Tombense,Bahia,1,0,1,['57'],[],3.25,2.87,2.25,2.55,1.45,2.1,1.67
87,1590324,Brazil Serie B,2022,2022-05-27 21:30:00,9,Criciúma,Cruzeiro,0,1,1,[],['90+3'],3.2,2.87,2.25,2.55,1.45,2.1,1.68
88,1590322,Brazil Serie B,2022,2022-05-28 16:30:00,9,CSA,Novorizontino,2,1,3,"['29', '38']",['81'],1.98,2.99,3.62,2.75,1.4,2.25,1.6
