Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1216426,Brazil Serie C,2021,2021-05-29 15:30:00,1,Floresta,Jacuipense,2,0,2,"['28', '45+3']",[],2.75,2.88,2.45,2.15,1.63,1.91,1.71
2,1216430,Brazil Serie C,2021,2021-05-29 16:00:00,1,Novorizontino,Figueirense,1,0,1,['13'],[],1.8,3.2,3.9,2.06,1.68,2.0,1.67
3,1216428,Brazil Serie C,2021,2021-05-29 17:00:00,1,Botafogo PB,Ferroviário,0,0,0,[],[],2.5,3.2,2.63,2.14,1.63,1.91,1.74
4,1216432,Brazil Serie C,2021,2021-05-29 17:00:00,1,Criciúma,Ituano,1,0,1,['72'],[],2.8,3.1,2.4,2.29,1.55,2.0,1.67
5,1216429,Brazil Serie C,2021,2021-05-29 19:00:00,1,Tombense,Paysandu,1,1,2,['7'],['90+2'],2.1,2.85,3.35,2.4,1.43,2.2,1.54
6,1216427,Brazil Serie C,2021,2021-05-30 16:00:00,1,Altos,Volta Redonda,3,0,3,"['31', '49', '83']",[],3.0,3.4,2.2,1.89,1.82,1.77,1.87
7,1216425,Brazil Serie C,2021,2021-05-30 18:00:00,1,Manaus,Santa Cruz,2,0,2,"['26', '61']",[],2.7,2.85,2.45,2.25,1.49,2.0,1.65
8,1216433,Brazil Serie C,2021,2021-05-30 20:00:00,1,Botafogo SP,EC São José,1,0,1,['77'],[],1.95,3.0,3.5,2.25,1.49,2.1,1.61
9,1216434,Brazil Serie C,2021,2021-05-31 20:00:00,1,Ypiranga Erechim,Paraná,2,0,2,"['22', '75']",[],2.2,2.75,3.2,2.15,1.54,1.95,1.71
10,1216443,Brazil Serie C,2021,2021-06-05 11:00:00,2,Ituano,Novorizontino,1,4,5,['66'],"['6', '43', '45+1', '68']",3.05,3.1,2.38,2.5,1.53,2.0,1.67
11,1216436,Brazil Serie C,2021,2021-06-05 15:30:00,2,Ferroviário,Altos,1,0,1,['45'],[],2.0,3.25,3.54,2.07,1.67,1.83,1.8
12,1216442,Brazil Serie C,2021,2021-06-05 16:00:00,2,Figueirense,Oeste,1,0,1,['7'],[],2.2,3.1,3.2,2.25,1.57,2.1,1.59
13,1216438,Brazil Serie C,2021,2021-06-05 17:00:00,2,Santa Cruz,Floresta,0,0,0,[],[],2.0,3.6,3.0,1.95,1.75,1.8,1.83
14,1216440,Brazil Serie C,2021,2021-06-05 17:00:00,2,Mirassol,Ypiranga Erechim,1,2,3,['52'],"['3', '45+2']",1.9,3.6,3.5,1.72,2.0,1.74,1.91
15,1216441,Brazil Serie C,2021,2021-06-05 19:00:00,2,Paraná,Botafogo SP,0,1,1,[],['25'],2.2,2.65,3.4,2.4,1.44,2.05,1.61
16,1216437,Brazil Serie C,2021,2021-06-06 16:00:00,2,Jacuipense,Tombense,1,1,2,['8'],['49'],2.72,2.71,3.21,2.48,1.48,1.95,1.67
17,1216439,Brazil Serie C,2021,2021-06-06 16:00:00,2,Volta Redonda,Manaus,5,0,5,"['39', '46', '53', '70', '75']",[],2.12,3.05,3.44,2.29,1.55,1.8,1.8
18,1216444,Brazil Serie C,2021,2021-06-06 18:00:00,2,EC São José,Criciúma,0,0,0,[],[],2.3,2.75,3.05,2.35,1.45,2.1,1.59
19,1216435,Brazil Serie C,2021,2021-06-07 20:00:00,2,Paysandu,Botafogo PB,0,2,2,[],"['45+1', '90+5']",2.1,2.7,3.6,2.55,1.39,2.25,1.51
20,1216454,Brazil Serie C,2021,2021-06-12 15:00:00,3,EC São José,Ituano,0,0,0,[],[],2.3,2.9,2.9,2.28,1.58,2.0,1.67
21,1216450,Brazil Serie C,2021,2021-06-12 15:00:00,3,Novorizontino,Oeste,0,0,0,[],[],1.57,3.3,5.5,2.23,1.58,2.15,1.56
22,1216445,Brazil Serie C,2021,2021-06-12 17:00:00,3,Manaus,Floresta,2,1,3,"['38', '64']",['7'],2.05,3.8,3.15,1.6,2.25,1.95,1.71
23,1216453,Brazil Serie C,2021,2021-06-12 17:00:00,3,Botafogo SP,Mirassol,1,3,4,['90+3'],"['32', '41', '83']",2.8,3.2,2.25,1.6,2.25,1.91,1.74
24,1216447,Brazil Serie C,2021,2021-06-12 19:00:00,3,Jacuipense,Paysandu,0,2,2,[],"['23', '33']",2.25,2.95,2.85,2.1,1.57,1.91,1.71
25,1216452,Brazil Serie C,2021,2021-06-13 11:00:00,3,Criciúma,Ypiranga Erechim,2,1,3,"['23', '36']",['78'],2.53,3.19,2.64,2.25,1.57,1.91,1.74
26,1216449,Brazil Serie C,2021,2021-06-13 11:00:00,3,Tombense,Altos,2,2,4,"['37', '67']","['36', '42']",2.0,3.24,3.6,2.35,1.53,1.95,1.69
27,1216451,Brazil Serie C,2021,2021-06-13 16:00:00,3,Paraná,Figueirense,1,1,2,['17'],['11'],2.1,2.8,3.5,1.53,2.4,2.05,1.62
28,1216448,Brazil Serie C,2021,2021-06-13 16:00:00,3,Botafogo PB,Volta Redonda,1,2,3,['63'],"['53', '70']",2.2,2.8,3.2,1.6,2.25,1.91,1.74
29,1216446,Brazil Serie C,2021,2021-06-14 20:00:00,3,Ferroviário,Santa Cruz,1,0,1,['47'],[],2.1,2.9,3.2,2.2,1.53,2.0,1.67
30,1216431,Brazil Serie C,2021,2021-06-16 16:00:00,1,Oeste,Mirassol,0,1,1,[],['56'],3.1,3.2,2.1,2.15,1.62,2.0,1.67
31,1216459,Brazil Serie C,2021,2021-06-18 20:00:00,4,Tombense,Ferroviário,3,0,3,"['14', '42', '70']",[],2.5,2.7,2.8,2.2,1.53,1.87,1.74
32,1216460,Brazil Serie C,2021,2021-06-19 11:00:00,4,Novorizontino,EC São José,1,0,1,['45+3'],[],1.71,3.11,4.17,2.56,1.45,2.3,1.5
33,1216456,Brazil Serie C,2021,2021-06-19 15:30:00,4,Floresta,Botafogo PB,0,0,0,[],[],2.72,3.05,2.59,2.41,1.51,1.95,1.69
34,1216455,Brazil Serie C,2021,2021-06-19 17:00:00,4,Paysandu,Volta Redonda,0,0,0,[],[],2.3,2.9,3.0,2.2,1.6,1.95,1.69
35,1216463,Brazil Serie C,2021,2021-06-19 17:00:00,4,Ituano,Paraná,2,1,3,"['6', '55']",['45+2'],1.91,3.0,3.8,2.35,1.53,2.0,1.65
36,1216461,Brazil Serie C,2021,2021-06-19 19:00:00,4,Oeste,Criciúma,0,0,0,[],[],3.2,2.6,2.35,2.5,1.41,2.15,1.57
37,1216464,Brazil Serie C,2021,2021-06-20 11:00:00,4,Ypiranga Erechim,Botafogo SP,3,0,3,"['11', '27', '28']",[],2.2,3.25,3.0,2.1,1.67,1.83,1.8
38,1216457,Brazil Serie C,2021,2021-06-20 16:00:00,4,Altos,Manaus,3,2,5,"['41', '45+6', '90+7']","['51', '90+4']",2.3,3.1,3.01,2.07,1.67,1.72,2.0
39,1216462,Brazil Serie C,2021,2021-06-20 18:00:00,4,Figueirense,Mirassol,1,1,2,['70'],['3'],2.9,2.8,2.35,2.25,1.55,2.05,1.7
40,1216458,Brazil Serie C,2021,2021-06-21 20:00:00,4,Santa Cruz,Jacuipense,2,2,4,"['52', '88']","['55', '68']",2.0,2.9,3.65,2.2,1.51,2.0,1.67
41,1216468,Brazil Serie C,2021,2021-06-25 20:00:00,5,Botafogo PB,Altos,2,0,2,"['3', '90+3']",[],2.05,2.75,3.6,2.15,1.56,1.91,1.74
42,1216471,Brazil Serie C,2021,2021-06-26 11:00:00,5,Paraná,EC São José,3,1,4,"['14', '16', '20']",['90+4'],2.25,2.8,3.25,2.65,1.42,2.15,1.57
43,1216467,Brazil Serie C,2021,2021-06-26 15:00:00,5,Jacuipense,Ferroviário,1,0,1,['19'],[],2.65,2.7,2.65,2.77,1.39,2.3,1.5
44,1216465,Brazil Serie C,2021,2021-06-26 17:00:00,5,Manaus,Tombense,2,1,3,"['23', '78']",['67'],2.35,3.0,2.8,2.05,1.7,1.71,1.91
45,1216470,Brazil Serie C,2021,2021-06-26 17:00:00,5,Mirassol,Ituano,1,2,3,['25'],"['57', '71']",2.0,3.0,3.6,2.2,1.6,1.87,1.77
46,1216469,Brazil Serie C,2021,2021-06-26 19:00:00,5,Volta Redonda,Santa Cruz,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1216473,Brazil Serie C,2021,2021-06-27 11:00:00,5,Botafogo SP,Oeste,1,0,1,['12'],[],2.2,2.91,3.81,2.73,1.4,2.2,1.53
48,1216466,Brazil Serie C,2021,2021-06-27 15:30:00,5,Floresta,Paysandu,0,2,2,[],"['74', '86']",2.78,2.95,2.56,2.62,1.43,2.05,1.62
49,1216472,Brazil Serie C,2021,2021-06-27 16:00:00,5,Criciúma,Novorizontino,1,0,1,['73'],[],2.66,3.07,2.58,2.35,1.53,2.0,1.65
50,1216474,Brazil Serie C,2021,2021-06-28 20:00:00,5,Ypiranga Erechim,Figueirense,0,0,0,[],[],1.95,3.1,3.4,2.05,1.61,1.91,1.74
