Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1233773,Brazil Serie D,2021,2021-05-26 15:00:00,0,Santana,GAS,1,2,3,['34'],"['47', '75']",2.7,3.55,2.33,1.71,2.04,1.65,2.18
2,1233775,Brazil Serie D,2021,2021-05-26 16:00:00,0,Tocantinópolis,Sociedade Esportiva Picos,2,0,2,"['54', '86']",[],3.4,3.6,1.83,2.2,1.61,1.95,1.75
3,1233777,Brazil Serie D,2021,2021-05-26 16:00:00,0,Real Ariquemes,Brasiliense,0,2,2,[],"['75', '90+4']",8.0,3.9,1.41,1.74,1.98,2.02,1.71
4,1233779,Brazil Serie D,2021,2021-05-26 16:00:00,0,Aquidauanense,Rio Branco ES,1,4,5,['26'],"['10', '15', '37', '78']",2.38,3.25,2.63,1.95,1.85,1.8,1.96
5,1233776,Brazil Serie D,2021,2021-05-30 15:00:00,0,Brasiliense,Real Ariquemes,3,1,4,"['42', '61', '68']",['76'],1.18,5.89,9.88,1.54,2.33,1.85,1.85
6,1233774,Brazil Serie D,2021,2021-05-30 16:00:00,0,Sociedade Esportiva Picos,Tocantinópolis,3,1,4,"['18', '49', '59']",['72'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1233772,Brazil Serie D,2021,2021-05-30 17:00:00,0,GAS,Santana,3,0,3,"['14', '45+3', '56']",[],1.44,3.7,6.5,1.64,2.14,1.8,1.83
8,1233778,Brazil Serie D,2021,2021-05-30 18:00:00,0,Rio Branco ES,Aquidauanense,2,0,2,"['46', '70']",[],1.26,4.95,7.0,1.53,2.39,1.85,1.85
9,1233865,Brazil Serie D,2021,2021-06-05 15:00:00,1,América RN,Central,1,0,1,['58'],[],1.53,3.6,5.03,1.92,1.75,2.04,1.74
10,1234060,Brazil Serie D,2021,2021-06-05 15:00:00,1,Bangu,Santo André,1,2,3,['40'],"['45+3', '61']",2.25,3.25,2.8,2.1,1.65,2.2,1.6
11,1233824,Brazil Serie D,2021,2021-06-05 15:00:00,1,Juventude MA,4 de Julho,0,0,0,[],[],2.9,3.1,2.25,2.2,1.6,1.91,1.8
12,1246993,Brazil Serie D,2021,2021-06-05 15:00:00,1,Brasiliense,Goianésia,1,1,2,['36'],['77'],1.31,4.5,6.92,1.56,2.21,1.85,1.91
13,1233823,Brazil Serie D,2021,2021-06-05 15:00:00,1,Guarany de Sobral,Paragominas,1,0,1,['6'],[],3.1,3.3,2.05,2.25,1.57,1.95,1.75
14,1233977,Brazil Serie D,2021,2021-06-05 15:30:00,1,Jaraguá EC,Gama,1,3,4,['44'],"['9', '19', '57']",6.5,5.75,1.28,1.31,3.04,1.65,2.1
15,1233920,Brazil Serie D,2021,2021-06-05 16:00:00,1,Bahia de Feira,Sergipe,1,1,2,['24'],['12'],2.0,3.5,3.1,2.25,1.57,2.05,1.7
16,1233866,Brazil Serie D,2021,2021-06-05 16:00:00,1,Sousa,Uniclinic,2,1,3,"['24', '77']",['29'],1.62,3.2,2.1,2.3,1.6,1.95,1.75
17,1234118,Brazil Serie D,2021,2021-06-05 16:00:00,1,Cascavel CR,Joinville,3,3,6,"['28', '38', '61']","['78', '85', '90']",1.67,3.8,4.0,1.91,1.8,2.35,1.53
18,1234019,Brazil Serie D,2021,2021-06-05 17:00:00,1,Ferroviária,Uberlândia,0,3,3,[],"['10', '45+2', '64']",1.62,3.6,4.6,1.8,1.91,1.75,1.95
19,1234018,Brazil Serie D,2021,2021-06-05 17:00:00,1,Boa,Águia Negra,4,0,4,"['36', '41', '53', '66']",[],1.2,6.5,8.0,1.36,2.8,1.85,1.91
20,1233780,Brazil Serie D,2021,2021-06-05 17:00:00,1,Fast Clube,Ypiranga AP,3,3,6,"['6', '10', '76']","['8', '39', '42']",1.33,5.75,5.5,1.6,2.2,1.85,1.91
21,1234061,Brazil Serie D,2021,2021-06-05 19:00:00,1,Portuguesa,Cianorte,2,2,4,"['14', '33']","['25', '90+1']",1.8,3.3,3.55,2.1,1.57,2.0,1.65
22,1247008,Brazil Serie D,2021,2021-06-06 15:00:00,1,Rio Branco ES,Caldense,1,2,3,['30'],"['81', '84']",2.88,3.1,2.17,2.15,1.59,1.95,1.75
23,1234117,Brazil Serie D,2021,2021-06-06 15:00:00,1,Rio Branco PR,Esportivo,0,0,0,[],[],2.5,3.2,2.5,2.15,1.67,2.06,1.73
24,1233781,Brazil Serie D,2021,2021-06-06 15:00:00,1,Castanhal,Galvez,4,1,5,"['42', '53', '85', '90+2']",['29'],1.3,4.5,9.0,1.93,1.78,2.25,1.57
25,1233867,Brazil Serie D,2021,2021-06-06 16:00:00,1,Caucaia,Campinense,3,3,6,"['59', '66', '74']","['45+3', '71', '90+1']",2.35,3.25,2.65,2.3,1.55,1.7,2.05
26,1233978,Brazil Serie D,2021,2021-06-06 16:00:00,1,Aparecidense,Nova Mutum EC,3,1,4,"['37', '46', '85']",['74'],1.55,3.7,5.5,1.73,2.0,2.2,1.6
27,1233864,Brazil Serie D,2021,2021-06-06 16:00:00,1,Treze,ABC,0,1,1,[],['71'],6.0,3.4,1.57,1.5,2.4,2.3,1.55
28,1233976,Brazil Serie D,2021,2021-06-06 16:00:00,1,União Rondonópolis,Porto Velho,1,1,2,['78'],['45'],1.45,4.0,6.0,1.95,1.75,2.05,1.7
29,1233922,Brazil Serie D,2021,2021-06-06 16:00:00,1,Retrô,Murici,1,0,1,['81'],[],1.7,3.3,4.4,1.95,1.75,2.12,1.69
30,1234116,Brazil Serie D,2021,2021-06-06 16:00:00,1,Aimoré,Marcílio Dias,4,1,5,"['8', '50', '63', '75']",['84'],2.3,3.1,2.9,1.65,2.1,1.95,1.75
