Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Baiano 1,2022,2022-01-15 16:00:00,1,Bahia de Feira,Bahia,2,2,4,"['15', '58']","['45+2', '66']",1.68,3.2,4.1,2.23,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Brazil Baiano 1,2022,2022-01-15 16:00:00,1,Jacuipense,Atlanta,1,0,1,['70'],[],1.5,3.65,4.75,1.91,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brazil Baiano 1,2022,2022-01-15 18:30:00,1,Atlético Alagoinhas,Vitória da Conquista,4,1,5,"['15', '22', '58', '75']",['3'],1.72,3.35,3.7,1.93,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Brazil Baiano 1,2022,2022-01-16 16:00:00,1,Vitória,Juazeirense,1,1,2,['35'],['21'],1.95,3.1,3.6,2.09,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Baiano 1,2022,2022-01-16 18:30:00,1,UNIRB,Barcelona BA,0,0,0,[],[],1.7,3.4,4.33,1.93,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Baiano 1,2022,2022-01-19 19:15:00,2,Bahia,UNIRB,1,1,2,['90+7'],['44'],1.73,3.3,4.2,2.02,2.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Baiano 1,2022,2022-01-19 21:30:00,2,Atlanta,Atlético Alagoinhas,1,3,4,['65'],"['21', '34', '4501']",4.2,3.75,1.62,1.95,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Brazil Baiano 1,2022,2022-01-22 16:00:00,2,Vitória da Conquista,Bahia de Feira,0,2,2,[],"['45+3', '89']",3.5,3.2,1.95,1.91,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brazil Baiano 1,2022,2022-01-23 16:00:00,2,Barcelona BA,Vitória,0,1,1,[],['22'],5.25,3.7,1.6,1.83,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Baiano 1,2022,2022-01-23 16:00:00,2,Juazeirense,Jacuipense,2,5,7,"['71', '90+2']","['35', '43', '45+1', '74', '90+4']",1.8,3.1,4.2,2.15,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Brazil Baiano 1,2022,2022-01-26 19:15:00,3,Bahia,Atlanta,1,0,1,['82'],[],1.24,4.7,7.5,1.76,2.42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Brazil Baiano 1,2022,2022-01-27 19:15:00,3,Atlético Alagoinhas,Barcelona BA,0,1,1,[],['90+4'],1.25,4.95,8.72,1.7,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Brazil Baiano 1,2022,2022-01-29 16:00:00,3,Jacuipense,Vitória,1,0,1,['60'],[],3.0,3.25,2.1,2.25,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Brazil Baiano 1,2022,2022-01-30 16:00:00,4,Bahia de Feira,Atlético Alagoinhas,1,0,1,['25'],[],1.87,3.3,3.9,2.14,1.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brazil Baiano 1,2022,2022-01-30 18:30:00,3,Juazeirense,Vitória da Conquista,0,0,0,[],[],1.44,4.2,5.5,1.88,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Baiano 1,2022,2022-02-02 19:15:00,4,Vitória,Bahia,1,1,2,['57'],['70'],4.33,3.2,1.75,2.15,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Brazil Baiano 1,2022,2022-02-02 21:30:00,3,Bahia de Feira,UNIRB,2,0,2,"['25', '72']",[],1.2,3.4,4.2,2.08,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Brazil Baiano 1,2022,2022-02-05 18:00:00,4,Barcelona BA,Juazeirense,1,0,1,['90+5'],[],3.0,3.0,2.38,2.35,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Brazil Baiano 1,2022,2022-02-06 16:00:00,4,UNIRB,Jacuipense,0,1,1,[],['54'],3.65,2.9,2.05,2.5,2.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Brazil Baiano 1,2022,2022-02-06 18:30:00,4,Atlanta,Vitória da Conquista,2,0,2,"['68', '82']",[],2.7,3.1,2.38,2.35,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Brazil Baiano 1,2022,2022-02-09 19:15:00,5,Bahia,Barcelona BA,0,1,1,[],['31'],1.59,3.72,5.45,2.11,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Brazil Baiano 1,2022,2022-02-09 21:30:00,5,Atlético Alagoinhas,UNIRB,3,3,6,"['19', '50', '59']","['68', '71', '90+6']",1.15,3.8,5.25,2.2,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,Brazil Baiano 1,2022,2022-02-12 16:00:00,5,Juazeirense,Atlanta,0,0,0,[],[],1.29,3.8,3.4,2.0,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
