Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Campeonato Brasileiro Women,2023,2023-02-24 20:00:00,1,Santos,Flamengo W,3,0,3,"['22', '4502', '54']",[],2.1,3.25,3.0,1.81,1.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Brazil Campeonato Brasileiro Women,2023,2023-02-25 11:00:00,1,Internacional RS,Athletico Paranaense,2,1,3,"['71', '76']",['38'],1.08,11.0,26.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Brazil Campeonato Brasileiro Women,2023,2023-02-25 11:00:00,1,Corinthians,Ceará,14,0,14,"['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Brazil Campeonato Brasileiro Women,2023,2023-02-25 16:00:00,1,São Paulo Women,Bahia W,1,1,2,['15'],['90+7'],1.1,10.0,21.0,1.48,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Campeonato Brasileiro Women,2023,2023-02-25 19:00:00,1,Cruzeiro W,Grêmio W,1,1,2,['26'],['90+2'],2.0,3.0,3.65,1.96,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Campeonato Brasileiro Women,2023,2023-02-26 11:00:00,1,Palmeiras Women,Real Ariquemes,9,0,9,"['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Brazil Campeonato Brasileiro Women,2023,2023-02-26 15:00:00,1,Kindermann,Real Brasília W,2,5,7,"['49', '67']","['2', '9', '34', '74', '85']",3.3,3.05,2.1,1.85,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Brazil Campeonato Brasileiro Women,2023,2023-02-27 20:00:00,1,Atlético Mineiro W,Ferroviária,2,4,6,"['33', '42']","['3', '52', '69', '90+3']",2.4,3.15,2.68,2.12,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Brazil Campeonato Brasileiro Women,2023,2023-03-04 10:00:00,2,Ceará,São Paulo Women,0,2,2,[],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Campeonato Brasileiro Women,2023,2023-03-04 15:00:00,2,Bahia W,Cruzeiro W,2,3,5,"['78', '89']","['19', '35', '45+7']",3.0,3.3,2.1,2.1,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Brazil Campeonato Brasileiro Women,2023,2023-03-04 15:00:00,2,Athletico Paranaense,Santos,1,1,2,['6'],['89'],7.5,5.5,1.25,1.6,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Brazil Campeonato Brasileiro Women,2023,2023-03-04 16:00:00,2,Ferroviária,Internacional RS,2,1,3,"['38', '44']",['50'],2.1,3.1,3.25,1.89,1.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Brazil Campeonato Brasileiro Women,2023,2023-03-04 16:30:00,2,Real Ariquemes,Corinthians,0,6,6,[],"['48', '66', '68', '69', '82', '90+5']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Brazil Campeonato Brasileiro Women,2023,2023-03-05 15:00:00,2,Real Brasília W,Palmeiras Women,0,3,3,[],"['27', '64', '85']",8.25,5.25,1.27,1.47,1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brazil Campeonato Brasileiro Women,2023,2023-03-05 20:00:00,2,Flamengo W,Kindermann,3,0,3,"['-1', '-1', '-1']",[],1.2,7.0,9.0,1.54,2.35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
