Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Catarinense 1,2021,2021-02-24 20:00:00,1,Marcílio Dias,Brusque,1,2,3,['85'],"['13', '45+2']",2.1,3.0,1.62,2.7,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Brazil Catarinense 1,2021,2021-02-24 20:30:00,1,Avaí,Juventus SC,2,0,2,"['41', '90+1']",[],1.4,4.2,6.5,1.73,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Brazil Catarinense 1,2021,2021-02-24 21:00:00,1,Criciúma,Hercílio Luz,1,1,2,['6'],['76'],1.73,3.6,4.0,2.15,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Brazil Catarinense 1,2021,2021-02-25 16:00:00,1,Metropolitano,Figueirense,0,0,0,[],[],3.85,3.4,1.68,1.93,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Catarinense 1,2021,2021-02-25 16:00:00,1,Próspera Criciuma,Joinville,0,1,1,[],['90+3'],3.15,3.15,1.94,1.93,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Catarinense 1,2021,2021-02-25 17:00:00,1,Concórdia AC,Chapecoense,0,2,2,[],"['34', '86']",4.55,3.45,1.57,2.15,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Catarinense 1,2021,2021-02-27 16:00:00,2,Juventus SC,Criciúma,2,0,2,"['37', '90+4']",[],3.25,2.95,2.15,2.2,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Brazil Catarinense 1,2021,2021-02-28 16:00:00,2,Hercílio Luz,Próspera Criciuma,2,3,5,"['36', '90+3']","['4', '68', '85']",2.15,3.1,3.0,2.2,2.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Brazil Catarinense 1,2021,2021-02-28 18:00:00,2,Figueirense,Concórdia AC,3,0,3,"['37', '51', '87']",[],1.87,2.85,4.3,2.25,2.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Brazil Catarinense 1,2021,2021-02-28 19:00:00,2,Brusque,Metropolitano,1,0,1,['32'],[],1.28,4.5,8.75,2.1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brazil Catarinense 1,2021,2021-03-03 16:00:00,3,Juventus SC,Hercílio Luz,2,0,2,"['15', '90+4']",[],2.38,3.3,2.75,2.4,1.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Brazil Catarinense 1,2021,2021-03-03 17:00:00,3,Concórdia AC,Brusque,2,1,3,"['30', '70']",['87'],7.0,3.6,1.45,2.2,2.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Brazil Catarinense 1,2021,2021-03-03 20:00:00,3,Marcílio Dias,Próspera Criciuma,2,0,2,"['48', '51']",[],1.85,3.5,3.6,2.1,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Brazil Catarinense 1,2021,2021-03-03 20:30:00,3,Avaí,Figueirense,1,0,1,['59'],[],1.18,3.3,4.33,2.7,2.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brazil Catarinense 1,2021,2021-03-11 16:00:00,2,Joinville,Marcílio Dias,0,0,0,[],[],3.5,2.75,2.15,2.1,1.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Catarinense 1,2021,2021-03-11 16:00:00,2,Chapecoense,Avaí,2,1,3,"['21', '67']",['28'],3.55,3.05,1.95,2.8,2.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Brazil Catarinense 1,2021,2021-03-13 16:00:00,3,Metropolitano,Joinville,0,1,1,[],['45'],2.3,3.25,1.5,2.15,1.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Brazil Catarinense 1,2021,2021-03-14 16:00:00,3,Criciúma,Chapecoense,0,1,1,[],['18'],1.88,2.88,1.75,2.7,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Brazil Catarinense 1,2021,2021-03-20 16:00:00,4,Hercílio Luz,Marcílio Dias,1,0,1,['61'],[],2.5,3.2,1.42,2.4,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Brazil Catarinense 1,2021,2021-03-20 16:00:00,4,Joinville,Concórdia AC,1,1,2,['24'],['45'],2.15,3.2,3.0,2.25,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Brazil Catarinense 1,2021,2021-03-20 19:00:00,4,Próspera Criciuma,Metropolitano,2,0,2,"['18', '84']",[],1.95,3.2,3.8,2.4,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Brazil Catarinense 1,2021,2021-03-21 16:00:00,4,Figueirense,Criciúma,0,0,0,[],[],1.65,2.8,2.0,2.5,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brazil Catarinense 1,2021,2021-03-21 16:00:00,4,Brusque,Avaí,2,0,2,"['62', '79']",[],1.95,3.0,1.7,2.88,2.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Brazil Catarinense 1,2021,2021-03-21 16:00:00,4,Chapecoense,Juventus SC,2,0,2,"['80', '90+3']",[],1.19,3.6,3.8,2.5,2.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,Brazil Catarinense 1,2021,2021-03-24 16:00:00,5,Concórdia AC,Próspera Criciuma,4,0,4,"['10', '53', '65', '74']",[],2.24,3.27,2.96,2.07,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Brazil Catarinense 1,2021,2021-03-24 16:00:00,5,Metropolitano,Marcílio Dias,0,1,1,[],['7'],3.95,3.05,1.75,2.5,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Brazil Catarinense 1,2021,2021-03-24 19:00:00,5,Chapecoense,Hercílio Luz,0,1,1,[],['70'],1.31,3.9,8.75,2.2,2.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Brazil Catarinense 1,2021,2021-03-25 16:00:00,5,Juventus SC,Figueirense,3,2,5,"['15', '18', '27']","['21', '73']",2.72,3.15,2.35,2.5,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,Brazil Catarinense 1,2021,2021-03-25 19:00:00,5,Criciúma,Brusque,2,2,4,"['25', '72']","['45', '54']",3.95,2.65,2.05,2.95,2.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,Brazil Catarinense 1,2021,2021-03-27 16:00:00,6,Hercílio Luz,Metropolitano,2,2,4,"['17', '48']","['19', '30']",1.35,3.2,2.85,2.4,2.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Brazil Catarinense 1,2021,2021-03-28 16:00:00,6,Próspera Criciuma,Avaí,1,1,2,['36'],['43'],4.3,3.5,1.15,2.2,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Brazil Catarinense 1,2021,2021-03-28 16:00:00,6,Marcílio Dias,Concórdia AC,3,2,5,"['54', '71', '90+1']","['70', '90']",1.5,3.1,2.5,2.4,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,Brazil Catarinense 1,2021,2021-03-28 16:00:00,6,Figueirense,Chapecoense,1,3,4,['55'],"['36', '86', '90+5']",3.1,3.1,1.28,3.4,2.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Brazil Catarinense 1,2021,2021-03-28 19:00:00,6,Brusque,Juventus SC,4,0,4,"['10', '63', '79', '86']",[],1.69,3.62,4.7,2.01,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,Brazil Catarinense 1,2021,2021-03-28 19:00:00,6,Joinville,Criciúma,1,0,1,['19'],[],2.43,2.89,3.1,2.73,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Brazil Catarinense 1,2021,2021-03-31 16:00:00,7,Juventus SC,Joinville,3,2,5,"['16', '62', '81']","['21', '76']",2.1,3.1,1.62,2.4,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,Brazil Catarinense 1,2021,2021-03-31 19:00:00,7,Figueirense,Hercílio Luz,3,0,3,"['1', '43', '65']",[],1.6,3.1,2.1,2.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,Brazil Catarinense 1,2021,2021-03-31 21:30:00,7,Criciúma,Próspera Criciuma,0,1,1,[],['47'],1.65,3.58,5.1,2.15,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brazil Catarinense 1,2021,2021-03-31 22:00:00,7,Chapecoense,Brusque,0,0,0,[],[],2.32,3.1,3.07,2.34,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Brazil Catarinense 1,2021,2021-04-01 16:00:00,7,Concórdia AC,Metropolitano,1,3,4,['81'],"['50', '54', '58']",1.22,3.4,3.6,2.0,1.97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Brazil Catarinense 1,2021,2021-04-01 19:30:00,7,Avaí,Marcílio Dias,0,0,0,[],[],1.27,3.3,3.25,2.5,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Brazil Catarinense 1,2021,2021-04-03 16:00:00,8,Próspera Criciuma,Juventus SC,0,0,0,[],[],1.62,3.2,2.1,2.15,1.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Brazil Catarinense 1,2021,2021-04-03 19:00:00,8,Joinville,Chapecoense,0,3,3,[],"['13', '53', '65']",2.25,3.2,1.52,2.5,2.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Brazil Catarinense 1,2021,2021-04-04 16:00:00,8,Marcílio Dias,Criciúma,1,1,2,['24'],['77'],1.52,2.9,2.25,2.7,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,Brazil Catarinense 1,2021,2021-04-04 16:00:00,8,Brusque,Figueirense,2,2,4,"['66', '77']","['63', '88']",1.25,3.25,3.4,2.3,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Brazil Catarinense 1,2021,2021-04-04 16:00:00,8,Metropolitano,Avaí,0,1,1,[],['68'],4.5,3.75,1.14,2.3,2.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
