Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Cearense 1,2021,2021-02-10 15:30:00,1,Guarany de Sobral,Barbalha,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brazil Cearense 1,2021,2021-02-10 15:30:00,1,Pacajus,Caucaia,0,0,0,[],[],2.49,3.3,1.47,2.3,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brazil Cearense 1,2021,2021-02-13 15:30:00,2,Caucaia,Crato,2,0,2,"['82', '90+2']",[],1.25,5.0,9.5,1.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Brazil Cearense 1,2021,2021-02-14 15:30:00,2,Barbalha,Uniclinic,2,1,3,"['12', '45+2']",['90+2'],4.17,4.0,1.19,1.73,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Barbalha,Icasa,0,2,2,[],"['11', '90+7']",3.3,3.75,1.29,2.05,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Caucaia,Uniclinic,0,3,3,[],"['30', '47', '51']",1.69,3.0,2.04,2.15,1.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Crato,Guarany de Sobral,0,1,1,[],['16'],2.4,3.2,1.47,2.7,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Brazil Cearense 1,2021,2021-02-17 15:30:00,3,Pacajus,Ferroviário,1,0,1,['20'],[],3.57,3.4,1.25,2.4,2.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brazil Cearense 1,2021,2021-02-20 15:30:00,1,Uniclinic,Ferroviário,1,1,2,['64'],['59'],2.7,3.75,2.1,2.15,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Cearense 1,2021,2021-02-20 19:00:00,1,Crato,Icasa,1,1,2,['38'],['3'],7.5,4.1,1.3,1.95,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Brazil Cearense 1,2021,2021-02-23 15:30:00,2,Ferroviário,Guarany de Sobral,2,0,2,"['43', '55']",[],1.66,3.75,4.75,2.73,2.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Brazil Cearense 1,2021,2021-02-23 15:30:00,2,Icasa,Pacajus,1,1,2,['59'],['90+4'],1.33,4.5,9.5,2.21,2.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Brazil Cearense 1,2021,2021-02-26 15:00:00,4,Guarany de Sobral,Caucaia,0,3,3,[],"['19', '36', '47']",3.3,3.2,2.15,2.48,2.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Brazil Cearense 1,2021,2021-02-26 15:30:00,4,Ferroviário,Barbalha,5,2,7,"['14', '29', '35', '66', '81']","['47', '89']",1.46,4.2,6.15,1.71,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Brazil Cearense 1,2021,2021-02-26 15:30:00,4,Crato,Pacajus,1,1,2,['57'],['34'],3.6,3.0,2.15,2.4,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Cearense 1,2021,2021-02-26 15:30:00,4,Uniclinic,Icasa,2,2,4,"['45+2', '83']","['57', '86']",1.67,3.4,2.08,2.05,1.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Barbalha,Caucaia,0,8,8,[],"['22', '24', '52', '56', '57', '75', '77', '79']",9.0,5.0,1.25,2.15,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Uniclinic,Crato,2,1,3,"['13', '86']",['76'],1.29,4.75,8.5,1.8,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Icasa,Ferroviário,0,1,1,[],['39'],2.46,3.06,2.73,2.1,1.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Brazil Cearense 1,2021,2021-03-01 15:30:00,5,Pacajus,Guarany de Sobral,1,0,1,['90+3'],[],1.9,3.25,3.5,1.75,2.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Caucaia,Icasa,0,1,1,[],['76'],2.65,2.92,2.33,2.09,1.82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Crato,Ferroviário,0,1,1,[],['48'],5.61,3.74,1.37,1.89,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Guarany de Sobral,Uniclinic,1,2,3,['3'],"['61', '76']",2.28,3.2,1.56,2.35,1.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,Brazil Cearense 1,2021,2021-03-04 15:30:00,6,Pacajus,Barbalha,4,0,4,"['31', '43', '54', '61']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Barbalha,Crato,1,3,4,['45+5'],"['63', '66', '90+2']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Uniclinic,Pacajus,1,1,2,['74'],['72'],1.41,3.3,2.69,2.1,1.92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Ferroviário,Caucaia,2,1,3,"['33', '36']",['23'],1.19,4.0,4.12,2.25,2.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Brazil Cearense 1,2021,2021-03-07 15:00:00,7,Icasa,Guarany de Sobral,2,2,4,"['17', '38']","['43', '53']",2.0,2.88,4.0,2.06,2.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Brazil Cearense 1,2021,2021-03-10 15:00:00,1,Ferroviário,Ceará,2,1,3,"['16', '90+3']",['53'],4.88,4.3,1.14,1.87,2.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Brazil Cearense 1,2021,2021-03-10 15:00:00,1,Pacajus,Caucaia,2,4,6,"['41', '45']","['22', '59', '82', '90']",1.72,3.25,3.85,2.16,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,Brazil Cearense 1,2021,2021-03-10 15:00:00,0,Uniclinic,Fortaleza,0,2,2,[],"['30', '84']",4.58,4.0,1.16,1.73,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Brazil Cearense 1,2021,2021-03-10 15:00:00,0,Crato,Icasa,1,0,1,['26'],[],5.0,3.48,1.68,1.85,1.71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Brazil Cearense 1,2021,2021-05-01 19:00:00,2,Fortaleza,Caucaia,4,1,5,"['11', '45+2', '83', '90+1']",['24'],1.21,6.0,9.3,1.5,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,Brazil Cearense 1,2021,2021-05-02 15:30:00,2,Crato,Ferroviário,0,4,4,[],"['4', '56', '59', '68']",17.0,11.0,1.06,1.13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,Brazil Cearense 1,2021,2021-05-02 15:30:00,2,Icasa,Uniclinic,0,3,3,[],"['22', '73', '79']",4.3,3.5,1.18,2.0,2.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Brazil Cearense 1,2021,2021-05-02 16:00:00,2,Ceará,Pacajus,1,1,2,['78'],['29'],1.22,3.6,3.8,1.8,1.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Brazil Cearense 1,2021,2021-05-05 15:30:00,3,Pacajus,Fortaleza,0,0,0,[],[],10.25,9.5,1.02,1.36,2.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
