Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Copa do Brasil,2021,2021-03-09 19:15:00,0,Águia Negra,Vitória,0,1,1,[],['72'],3.72,3.6,1.23,1.73,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brazil Copa do Brasil,2021,2021-03-09 21:30:00,0,Campinense,Bahia,1,7,8,['-1'],"['-1', '-1', '-1', '-1', '-1', '-1', '-1']",4.17,6.5,1.19,1.2,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Brazil Copa do Brasil,2021,2021-03-10 15:30:00,0,Madureira,Paysandu,0,1,1,[],['34'],2.25,3.2,1.54,2.35,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brazil Copa do Brasil,2021,2021-03-10 15:30:00,0,Gama,Ponte Preta,1,2,3,['39'],"['58', '84']",4.13,3.8,1.19,2.0,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Copa do Brasil,2021,2021-03-10 16:00:00,0,4 de Julho,Confiança,1,0,1,['90+2'],[],2.45,3.2,1.45,2.1,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Copa do Brasil,2021,2021-03-10 18:00:00,0,Cianorte,Paraná,1,0,1,['85'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Copa do Brasil,2021,2021-03-10 18:00:00,0,Rio Branco ES,Sampaio Corrêa,2,1,3,"['77', '87']",['75'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Brazil Copa do Brasil,2021,2021-03-10 19:15:00,0,Juazeirense,Sport Recife,3,2,5,"['2', '47', '67']","['12', '21']",2.85,3.6,1.34,1.95,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,Brazil Copa do Brasil,2021,2021-03-10 21:30:00,0,Moto Club MA,Botafogo,0,5,5,[],"['3', '31', '52', '75', '82']",5.25,4.2,1.12,2.05,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Brazil Copa do Brasil,2021,2021-03-11 15:30:00,0,Real FC,América RN,0,2,2,[],"['53', '84']",2.85,3.5,1.37,2.0,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brazil Copa do Brasil,2021,2021-03-11 17:00:00,0,Uberlândia,Luverdense,1,1,2,['26'],['45+1'],1.22,3.6,3.87,2.25,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Brazil Copa do Brasil,2021,2021-03-11 19:15:00,0,São Raimundo RR,Cruzeiro,1,1,2,['9'],['54'],6.9,5.0,1.07,1.73,2.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Brazil Copa do Brasil,2021,2021-03-11 21:30:00,0,Boavista,Goiás,3,1,4,"['18', '29', '76']",['66'],3.1,3.6,2.0,2.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Brazil Copa do Brasil,2021,2021-03-16 19:15:00,0,Sergipe,Cuiabá,0,0,0,[],[],8.5,5.75,1.04,1.44,2.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brazil Copa do Brasil,2021,2021-03-16 21:30:00,0,Murici,Juventude,0,3,3,[],"['45+1', '46', '86']",3.95,3.5,1.21,2.6,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Juventude MA,Operário PR,0,2,2,[],"['6', '23']",3.25,3.3,2.0,2.7,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Castanhal,Volta Redonda,0,3,3,[],"['31', '65', '90+4']",2.6,3.5,1.41,2.25,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Rio Branco-VN,ABC,1,1,2,['20'],['7'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Brazil Copa do Brasil,2021,2021-03-17 15:30:00,0,Guarany de Sobral,CSA,1,5,6,['54'],"['7', '28', '42', '45', '56']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Brazil Copa do Brasil,2021,2021-03-17 16:00:00,0,Sociedade Esportiva Picos,Atlético Acreano,1,0,1,['90+2'],[],1.14,4.0,4.6,1.8,1.99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
