Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Copa do Nordeste,2022/2023,2023-01-05 19:30:00,0,Vitória,Cordino,2,1,3,"['15', '9006']",['17'],1.4,4.0,7.5,2.0,2.48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,Jacuipense,Altos,4,1,5,"['5', '22', '49', '58']",['18'],2.2,2.9,3.25,2.3,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,CSA,Potiguar Mossoró,2,1,3,"['50', '69']",['75'],1.33,4.2,8.0,1.9,2.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,América RN,Moto Club MA,5,0,5,"['11', '19', '33', '61', '77']",[],1.5,3.8,5.75,2.2,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,Confiança,Sousa,1,0,1,['44'],[],1.65,3.25,5.25,2.35,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Copa do Nordeste,2022/2023,2023-01-05 20:00:00,0,Ferroviário,ASA,1,1,2,['45+2'],['17'],2.05,3.25,3.1,2.2,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Copa do Nordeste,2022/2023,2023-01-05 21:30:00,0,Santa Cruz,Caucaia,2,0,2,"['53', '90+1']",[],1.7,4.0,3.8,2.0,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Brazil Copa do Nordeste,2022/2023,2023-01-05 21:30:00,0,Botafogo PB,Retrô,0,0,0,[],[],2.15,3.3,3.1,2.35,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brazil Copa do Nordeste,2022/2023,2023-01-08 16:00:00,0,CSA,América RN,0,0,0,[],[],2.15,3.1,3.1,2.35,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Copa do Nordeste,2022/2023,2023-01-08 16:00:00,0,Confiança,Ferroviário,0,0,0,[],[],2.0,3.1,3.5,2.25,2.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brazil Copa do Nordeste,2022/2023,2023-01-08 16:00:00,0,Vitória,Jacuipense,1,0,1,['34'],[],1.8,3.3,4.0,2.35,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Brazil Copa do Nordeste,2022/2023,2023-01-08 19:15:00,0,Santa Cruz,Botafogo PB,2,1,3,"['31', '55']",['45'],3.0,2.75,2.45,2.6,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Brazil Copa do Nordeste,2022/2023,2023-01-21 15:30:00,1,Fluminense PI,CSA,0,0,0,[],[],2.93,3.15,2.25,2.13,1.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Brazil Copa do Nordeste,2022/2023,2023-01-21 17:30:00,1,Fortaleza,Campinense,2,0,2,"['45+3', '65']",[],1.27,4.7,9.6,1.85,2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Brazil Copa do Nordeste,2022/2023,2023-01-21 17:30:00,1,Vitória,Santa Cruz,1,1,2,['66'],['90+6'],1.92,3.35,3.55,1.96,1.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Copa do Nordeste,2022/2023,2023-01-21 19:30:00,1,Sport Recife,ABC,2,0,2,"['49', '88']",[],1.65,3.6,4.55,1.81,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Brazil Copa do Nordeste,2022/2023,2023-01-22 16:00:00,1,Atlético Alagoinhas,Náutico,0,1,1,[],['11'],3.4,2.87,2.23,2.18,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Brazil Copa do Nordeste,2022/2023,2023-01-22 16:00:00,1,CRB,Sergipe,1,0,1,['68'],[],1.3,4.77,9.15,1.8,2.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Brazil Copa do Nordeste,2022/2023,2023-01-22 18:00:00,1,Ferroviário,Ceará,3,0,3,"['21', '45', '58']",[],6.2,4.12,1.46,2.03,2.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Brazil Copa do Nordeste,2022/2023,2023-01-22 19:00:00,1,Sampaio Corrêa,Bahia,1,0,1,['44'],[],3.45,3.05,2.12,2.22,1.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brazil Copa do Nordeste,2022/2023,2023-01-26 20:00:00,5,Fortaleza,Sergipe,1,0,1,['33'],[],1.15,6.5,16.0,1.63,2.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Brazil Copa do Nordeste,2022/2023,2023-02-04 17:30:00,2,Ceará,Sampaio Corrêa,2,0,2,"['36', '70']",[],1.62,3.68,5.25,2.08,2.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
