Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Goiano 1,2023,2023-01-11 15:30:00,1,Inhumas,Anápolis,1,0,1,['90+4'],[],3.25,3.2,2.0,2.3,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brazil Goiano 1,2023,2023-01-11 19:30:00,1,Goianésia,CRAC,1,3,4,['64'],"['25', '27', '37']",2.0,2.95,3.4,2.4,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Brazil Goiano 1,2023,2023-01-11 19:30:00,1,Vila Nova,Goiânia,3,0,3,"['28', '56', '63']",[],1.46,3.8,6.0,1.87,2.27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Brazil Goiano 1,2023,2023-01-12 15:30:00,1,Iporá,Morrinhos,3,0,3,"['23', '27', '90+1']",[],1.93,3.0,3.7,2.53,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Brazil Goiano 1,2023,2023-01-12 19:30:00,1,Grêmio Anápolis,Atlético GO,1,4,5,['65'],"['52', '59', '68', '86']",6.5,3.6,1.46,2.49,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Brazil Goiano 1,2023,2023-01-12 20:30:00,1,Goiás,Aparecidense,1,0,1,['67'],[],1.57,3.45,4.7,2.18,2.26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Goiano 1,2023,2023-01-14 16:00:00,2,Anápolis,Vila Nova,1,1,2,['26'],['81'],5.5,2.8,1.75,2.4,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Brazil Goiano 1,2023,2023-01-15 10:30:00,2,Atlético GO,Goiás,2,1,3,"['65', '74']",['54'],2.02,2.79,3.33,2.35,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Brazil Goiano 1,2023,2023-01-15 16:00:00,2,CRAC,Iporá,2,0,2,"['7', '61']",[],2.0,3.0,3.7,2.45,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Brazil Goiano 1,2023,2023-01-15 16:00:00,2,Goiânia,Grêmio Anápolis,1,0,1,['14'],[],3.0,2.87,2.4,2.55,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brazil Goiano 1,2023,2023-01-15 16:00:00,2,Morrinhos,Inhumas,1,1,2,['42'],['10'],1.83,3.1,4.0,2.35,2.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Brazil Goiano 1,2023,2023-01-15 16:00:00,2,Aparecidense,Goianésia,1,0,1,['7'],[],1.62,3.4,5.0,2.14,2.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Brazil Goiano 1,2023,2023-01-18 15:30:00,3,Inhumas,Goiânia,2,2,4,"['6', '45+2']","['83', '90+2']",2.23,3.06,3.08,2.4,2.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,Brazil Goiano 1,2023,2023-01-18 15:30:00,3,Iporá,Atlético GO,1,2,3,['47'],"['83', '87']",5.4,3.45,1.6,2.25,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Brazil Goiano 1,2023,2023-01-18 19:30:00,3,Grêmio Anápolis,Aparecidense,1,2,3,['50'],"['64', '90+1']",4.2,2.99,1.9,2.78,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Goiano 1,2023,2023-01-18 19:30:00,3,CRAC,Vila Nova,1,1,2,['77'],['83'],3.42,3.26,2.0,2.1,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Brazil Goiano 1,2023,2023-01-18 20:00:00,3,Goianésia,Morrinhos,2,1,3,"['72', '76']",['56'],1.87,3.12,4.1,2.4,2.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
