Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Mineiro 1,2022,2022-01-25 21:00:00,1,Caldense,América Mineiro,2,1,3,"['35', '82']",['90+5'],3.4,3.1,2.0,2.23,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Brazil Mineiro 1,2022,2022-01-26 17:00:00,1,Cruzeiro,URT,3,0,3,"['42', '56', '71']",[],1.27,4.2,7.8,1.71,2.54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Brazil Mineiro 1,2022,2022-01-26 19:00:00,1,Villa Nova,Atlético Mineiro,1,1,2,['43'],['89'],7.0,4.3,1.29,1.84,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Brazil Mineiro 1,2022,2022-01-26 19:00:00,1,Tombense,Pouso Alegre,1,1,2,['22'],['53'],1.55,3.4,4.75,2.25,2.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Mineiro 1,2022,2022-01-26 20:00:00,1,Uberlândia,Athletic Club,0,1,1,[],['6'],1.43,3.4,2.64,2.3,2.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Mineiro 1,2022,2022-01-26 20:00:00,1,Democrata GV,CAP,1,1,2,['19'],['73'],1.55,3.25,2.3,2.3,1.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Mineiro 1,2022,2022-01-29 16:30:00,2,Atlético Mineiro,Tombense,3,0,3,"['20', '79', '90+1']",[],1.73,3.5,4.0,2.2,2.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Brazil Mineiro 1,2022,2022-01-30 11:00:00,2,Athletic Club,Cruzeiro,0,1,1,[],['48'],4.6,3.45,1.65,2.19,2.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brazil Mineiro 1,2022,2022-01-30 16:00:00,2,URT,Caldense,1,3,4,['60'],"['30', '45+2', '90+1']",3.3,3.1,2.1,2.38,2.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Brazil Mineiro 1,2022,2022-01-30 16:00:00,2,CAP,Uberlândia,1,2,3,['72'],"['10', '70']",2.88,3.1,2.38,2.2,1.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Brazil Mineiro 1,2022,2022-01-30 17:00:00,2,Pouso Alegre,Villa Nova,1,1,2,['23'],['48'],1.95,3.2,3.7,2.25,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Brazil Mineiro 1,2022,2022-01-30 19:00:00,2,América Mineiro,Democrata GV,2,0,2,"['44', '64']",[],1.29,4.6,10.5,1.97,2.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Brazil Mineiro 1,2022,2022-02-02 19:30:00,3,Uberlândia,Atlético Mineiro,0,4,4,[],"['3', '12', '50', '86']",12.49,5.46,1.21,1.91,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Brazil Mineiro 1,2022,2022-02-02 19:30:00,3,Pouso Alegre,Athletic Club,1,4,5,['10'],"['45+2', '57', '86', '90']",2.35,2.8,3.1,1.41,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Brazil Mineiro 1,2022,2022-02-02 20:00:00,3,Caldense,Tombense,0,2,2,[],"['48', '68']",2.0,3.1,1.72,2.23,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Mineiro 1,2022,2022-02-02 20:00:00,3,CAP,URT,1,0,1,['58'],[],1.58,2.9,2.25,2.38,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Brazil Mineiro 1,2022,2022-02-02 20:30:00,3,Villa Nova,Democrata GV,2,2,4,"['14', '18']","['27', '70']",1.32,3.1,3.1,2.35,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Brazil Mineiro 1,2022,2022-02-02 21:30:00,3,Cruzeiro,América Mineiro,0,2,2,[],"['24', '32']",1.8,3.0,1.9,2.35,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Brazil Mineiro 1,2022,2022-02-05 16:00:00,4,Democrata GV,Pouso Alegre,1,0,1,['73'],[],1.5,2.9,2.4,2.4,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Brazil Mineiro 1,2022,2022-02-05 16:30:00,4,Caldense,Cruzeiro,1,2,3,['13'],"['74', '90+7']",4.45,3.24,1.83,2.37,2.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,Brazil Mineiro 1,2022,2022-02-05 19:30:00,4,América Mineiro,Athletic Club,1,1,2,['45+3'],['70'],1.36,4.2,9.2,2.2,2.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Brazil Mineiro 1,2022,2022-02-06 11:00:00,4,Atlético Mineiro,CAP,3,0,3,"['45+4', '61', '80']",[],1.15,5.0,11.92,1.45,3.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,Brazil Mineiro 1,2022,2022-02-06 16:00:00,4,URT,Uberlândia,1,1,2,['45+1'],['89'],2.85,2.95,2.3,2.02,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Brazil Mineiro 1,2022,2022-02-06 16:00:00,4,Tombense,Villa Nova,2,1,3,"['44', '67']",['49'],1.57,3.5,5.0,2.17,2.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Brazil Mineiro 1,2022,2022-02-08 21:30:00,5,Pouso Alegre,América Mineiro,0,1,1,[],['54'],5.25,3.6,1.15,2.25,2.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Brazil Mineiro 1,2022,2022-02-09 15:30:00,5,Athletic Club,Tombense,1,0,1,['45+1'],[],3.36,3.14,2.17,2.35,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Brazil Mineiro 1,2022,2022-02-09 19:30:00,5,Cruzeiro,Democrata GV,1,0,1,['90+9'],[],1.25,5.1,7.0,1.96,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Brazil Mineiro 1,2022,2022-02-09 20:00:00,5,CAP,Caldense,0,2,2,[],"['65', '76']",2.75,3.1,1.42,2.3,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Brazil Mineiro 1,2022,2022-02-09 20:00:00,5,Uberlândia,Villa Nova,0,0,0,[],[],1.5,3.1,2.4,2.1,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Brazil Mineiro 1,2022,2022-02-09 21:30:00,5,URT,Atlético Mineiro,1,0,1,['30'],[],9.75,6.0,1.05,1.85,3.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Brazil Mineiro 1,2022,2022-02-12 15:00:00,6,Athletic Club,CAP,1,0,1,['13'],[],1.28,3.2,3.33,2.2,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Brazil Mineiro 1,2022,2022-02-12 16:30:00,6,América Mineiro,Atlético Mineiro,0,2,2,[],"['73', '83']",4.81,3.17,1.6,2.13,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Brazil Mineiro 1,2022,2022-02-12 19:00:00,6,Tombense,Cruzeiro,0,3,3,[],"['19', '47', '90+2']",3.62,2.87,1.99,2.26,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Brazil Mineiro 1,2022,2022-02-12 20:00:00,6,Democrata GV,Uberlândia,3,0,3,"['16', '46', '79']",[],2.1,2.9,1.65,2.4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,Brazil Mineiro 1,2022,2022-02-13 11:00:00,6,Caldense,Pouso Alegre,2,1,3,"['86', '88']",['71'],1.9,2.9,3.6,2.38,2.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Brazil Mineiro 1,2022,2022-02-13 16:00:00,6,Villa Nova,URT,1,1,2,['14'],['72'],2.15,3.1,3.3,2.3,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Brazil Mineiro 1,2022,2022-02-15 21:00:00,7,Atlético Mineiro,Athletic Club,1,0,1,['90+3'],[],1.02,6.0,9.6,1.95,3.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Brazil Mineiro 1,2022,2022-02-16 19:00:00,7,América Mineiro,CAP,2,0,2,"['23', '84']",[],1.29,4.75,10.75,2.1,3.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Brazil Mineiro 1,2022,2022-02-16 19:30:00,7,Pouso Alegre,URT,1,1,2,['42'],['88'],2.13,3.14,3.4,2.37,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Brazil Mineiro 1,2022,2022-02-16 20:00:00,7,Democrata GV,Tombense,1,0,1,['87'],[],2.3,3.0,1.52,2.45,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Brazil Mineiro 1,2022,2022-02-16 20:30:00,7,Villa Nova,Caldense,2,0,2,"['28', '90+8']",[],2.0,2.8,1.71,2.35,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,Brazil Mineiro 1,2022,2022-02-17 20:00:00,7,Cruzeiro,Uberlândia,2,1,3,"['38', '56']",['55'],1.1,4.2,6.5,1.95,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,Brazil Mineiro 1,2022,2022-02-19 15:00:00,8,Athletic Club,Democrata GV,1,0,1,['25'],[],1.33,3.6,3.2,2.2,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Brazil Mineiro 1,2022,2022-02-19 16:30:00,8,URT,América Mineiro,0,0,0,[],[],2.74,3.0,1.4,2.42,2.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Brazil Mineiro 1,2022,2022-02-20 11:00:00,8,CAP,Tombense,2,1,3,"['59', '62']",['9'],3.75,3.1,1.98,2.33,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,Brazil Mineiro 1,2022,2022-02-20 11:00:00,8,Cruzeiro,Villa Nova,2,2,4,"['18', '60']","['17', '34']",1.3,4.85,9.4,2.05,2.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,Brazil Mineiro 1,2022,2022-02-22 19:00:00,8,Uberlândia,Caldense,0,1,1,[],['63'],2.6,2.93,2.76,2.4,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Brazil Mineiro 1,2022,2022-02-26 16:30:00,8,Pouso Alegre,Atlético Mineiro,2,3,5,"['60', '81']","['10', '72', '90+5']",18.0,6.0,1.01,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,Brazil Mineiro 1,2022,2022-03-05 15:00:00,9,Athletic Club,URT,4,0,4,"['9', '45+1', '45+6', '51']",[],1.22,2.9,3.8,3.4,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,Brazil Mineiro 1,2022,2022-03-05 16:00:00,9,Tombense,Uberlândia,0,0,0,[],[],1.23,3.4,3.7,2.4,2.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Brazil Mineiro 1,2022,2022-03-05 16:30:00,9,América Mineiro,Villa Nova,0,1,1,[],['70'],1.21,3.4,4.1,2.15,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Brazil Mineiro 1,2022,2022-03-06 10:30:00,9,CAP,Pouso Alegre,0,1,1,[],['47'],2.45,2.55,3.3,3.27,2.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Brazil Mineiro 1,2022,2022-03-06 11:00:00,9,Caldense,Democrata GV,1,0,1,['39'],[],1.75,2.95,4.77,2.35,2.26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Brazil Mineiro 1,2022,2022-03-06 18:00:00,9,Atlético Mineiro,Cruzeiro,2,1,3,"['85', '90+7']",['70'],1.4,4.3,6.2,1.89,2.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Brazil Mineiro 1,2022,2022-03-12 16:00:00,10,Tombense,URT,2,0,2,"['32', '62']",[],1.21,3.6,3.95,2.3,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,Brazil Mineiro 1,2022,2022-03-12 16:30:00,10,Democrata GV,Atlético Mineiro,0,1,1,[],['86'],10.75,4.75,1.01,1.95,2.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Brazil Mineiro 1,2022,2022-03-12 19:00:00,10,Uberlândia,América Mineiro,2,1,3,"['25', '60']",['61'],3.1,2.99,2.02,2.48,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,Brazil Mineiro 1,2022,2022-03-13 11:00:00,10,Caldense,Athletic Club,0,1,1,[],['69'],2.1,2.9,3.6,2.55,1.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Brazil Mineiro 1,2022,2022-03-13 16:00:00,10,Villa Nova,CAP,2,0,2,"['22', '87']",[],1.48,3.1,2.48,2.4,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,Brazil Mineiro 1,2022,2022-03-13 17:30:00,10,Cruzeiro,Pouso Alegre,5,1,6,"['36', '45', '55', '87', '90']",['41'],1.17,3.75,4.42,1.95,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,Brazil Mineiro 1,2022,2022-03-19 16:30:00,11,Atlético Mineiro,Caldense,3,0,3,"['20', '59', '70']",[],1.03,7.0,13.0,1.8,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,Brazil Mineiro 1,2022,2022-03-19 16:30:00,11,América Mineiro,Tombense,1,0,1,['44'],[],1.38,2.88,2.75,2.88,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Brazil Mineiro 1,2022,2022-03-19 16:30:00,11,Athletic Club,Villa Nova,1,0,1,['49'],[],1.44,3.1,2.55,2.1,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Brazil Mineiro 1,2022,2022-03-19 16:30:00,11,CAP,Cruzeiro,2,1,3,"['42', '44']",['45+3'],2.3,3.0,1.54,2.5,2.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,Brazil Mineiro 1,2022,2022-03-19 16:30:00,11,Pouso Alegre,Uberlândia,2,0,2,"['71', '89']",[],1.83,2.88,1.83,2.25,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,Brazil Mineiro 1,2022,2022-03-19 16:30:00,11,URT,Democrata GV,1,2,3,['2'],"['80', '90+6']",1.37,3.2,2.8,2.25,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,Brazil Mineiro 1,2022,2022-03-22 20:30:00,0,Cruzeiro,Athletic Club,2,0,2,"['7', '49']",[],1.08,4.2,7.5,2.4,3.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,Brazil Mineiro 1,2022,2022-03-23 16:30:00,0,Caldense,Atlético Mineiro,0,2,2,[],"['27', '40']",18.5,7.75,1.01,1.6,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Brazil Mineiro 1,2022,2022-03-23 20:30:00,0,Tombense,América Mineiro,3,1,4,"['10', '58', '89']",['78'],1.52,3.2,2.35,2.88,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,Brazil Mineiro 1,2022,2022-03-23 20:30:00,0,Democrata GV,Villa Nova,1,2,3,['16'],"['4', '90']",1.71,3.1,2.0,2.88,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,Brazil Mineiro 1,2022,2022-03-26 11:00:00,0,América Mineiro,Tombense,1,1,2,['75'],['64'],1.95,2.9,3.75,2.45,2.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,Brazil Mineiro 1,2022,2022-03-26 16:30:00,0,Athletic Club,Cruzeiro,1,2,3,['43'],"['36', '45']",2.91,3.23,1.36,2.64,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,Brazil Mineiro 1,2022,2022-03-27 16:00:00,0,Villa Nova,Democrata GV,1,3,4,['50'],"['47', '61', '75']",1.97,2.95,3.5,2.5,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,Brazil Mineiro 1,2022,2022-03-27 18:00:00,0,Atlético Mineiro,Caldense,3,0,3,"['20', '29', '65']",[],1.1,7.75,19.0,1.72,3.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,Brazil Mineiro 1,2022,2022-03-30 20:00:00,0,Caldense,Athletic Club,1,1,2,['10'],['58'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,Brazil Mineiro 1,2022,2022-04-02 16:30:00,0,Atlético Mineiro,Cruzeiro,3,1,4,"['31', '65', '81']",['90'],1.16,3.75,4.57,2.1,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,Brazil Mineiro 1,2022,2022-04-03 11:00:00,0,Athletic Club,Caldense,0,0,0,[],[],1.97,3.05,3.4,2.15,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Brazil Mineiro 1,2022,2022-04-03 18:00:00,0,Democrata GV,Tombense,1,0,1,['9'],[],3.8,2.7,2.06,2.65,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
