Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Paranaense 1,2023,2023-01-14 16:00:00,1,Rio Branco PR,Atlético PR,0,4,4,[],"['22', '45', '45+4', '54']",15.0,5.0,1.2,2.0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Brazil Paranaense 1,2023,2023-01-14 18:30:00,1,Cascavel CR,Independiente FSJ,1,0,1,['81'],[],1.68,3.37,5.05,2.4,2.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brazil Paranaense 1,2023,2023-01-14 18:30:00,1,Maringá,Foz do Iguaçu,1,0,1,['8'],[],1.57,4.0,5.4,2.42,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brazil Paranaense 1,2023,2023-01-15 16:00:00,1,Coritiba,Aruko Sports,1,0,1,['89'],[],1.4,4.2,8.0,1.98,3.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Paranaense 1,2023,2023-01-15 16:00:00,1,Londrina,Azuriz,1,1,2,['90+4'],['27'],1.55,3.4,4.5,2.28,2.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Paranaense 1,2023,2023-01-15 18:30:00,1,Operário PR,Cianorte,2,0,2,"['12', '86']",[],1.75,3.2,4.33,2.23,2.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Brazil Paranaense 1,2023,2023-01-17 20:00:00,2,Maringá,Rio Branco PR,2,0,2,"['40', '77']",[],1.35,4.4,8.2,1.96,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Brazil Paranaense 1,2023,2023-01-18 15:30:00,2,Independiente FSJ,Cianorte,1,2,3,['33'],"['60', '87']",3.36,2.91,2.18,2.53,2.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Brazil Paranaense 1,2023,2023-01-18 19:15:00,2,Aruko Sports,Atlético PR,1,2,3,['90+5'],"['20', '64']",10.5,5.0,1.24,1.96,2.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Paranaense 1,2023,2023-01-18 21:30:00,2,Londrina,Cascavel CR,0,1,1,[],['75'],2.1,3.0,3.3,2.35,2.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brazil Paranaense 1,2023,2023-01-18 21:30:00,2,Foz do Iguaçu,Coritiba,0,3,3,[],"['22', '27', '40']",7.52,4.01,1.36,1.96,2.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Brazil Paranaense 1,2023,2023-01-19 19:15:00,2,Operário PR,Azuriz,1,0,1,['21'],[],1.61,3.41,5.02,2.17,2.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Brazil Paranaense 1,2023,2023-01-21 16:00:00,3,Atlético PR,Maringá,1,0,1,['9'],[],1.3,4.33,9.0,1.85,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Brazil Paranaense 1,2023,2023-01-21 18:30:00,3,Foz do Iguaçu,Aruko Sports,1,0,1,['44'],[],2.85,3.35,2.38,2.23,1.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brazil Paranaense 1,2023,2023-01-22 15:30:00,3,Independiente FSJ,Operário PR,1,2,3,['90+5'],"['47', '51']",3.73,3.32,1.96,2.42,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Brazil Paranaense 1,2023,2023-01-22 16:00:00,3,Azuriz,Cascavel CR,3,3,6,"['51', '67', '74']","['10', '53', '90+5']",2.89,2.89,2.58,2.56,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Brazil Paranaense 1,2023,2023-01-22 18:30:00,3,Coritiba,Rio Branco PR,1,0,1,['64'],[],1.22,6.45,9.7,1.69,2.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Brazil Paranaense 1,2023,2023-01-22 18:30:00,3,Cianorte,Londrina,1,0,1,['25'],[],2.68,2.97,2.7,2.49,2.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
