Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Pernambucano 1,2021,2021-02-24 19:00:00,1,Vera Cruz Futebol Clube,Sport Recife,1,3,4,['36'],"['51', '55', '72']",3.3,4.4,1.74,1.86,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Brazil Pernambucano 1,2021,2021-02-24 20:00:00,1,Salgueiro,Afogados,1,0,1,['80'],[],1.48,3.5,2.47,1.9,1.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brazil Pernambucano 1,2021,2021-02-24 21:30:00,1,Santa Cruz,Acadêmica Vitória,2,0,2,"['41', '81']",[],1.04,5.5,10.0,1.73,2.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Brazil Pernambucano 1,2021,2021-02-27 16:00:00,1,Náutico,Central,5,0,5,"['3', '17', '22', '25', '35']",[],1.57,4.0,5.5,1.91,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Brazil Pernambucano 1,2021,2021-02-28 16:00:00,1,Retrô,Sete de Setembro PE,3,2,5,"['25', '38', '51']","['77', '90']",1.36,4.2,7.0,1.36,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Brazil Pernambucano 1,2021,2021-03-03 16:00:00,2,Central,Santa Cruz,1,1,2,['55'],['24'],7.25,5.5,1.3,2.1,1.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Pernambucano 1,2021,2021-03-03 16:00:00,2,Afogados,Retrô,1,1,2,['6'],['31'],3.05,3.2,2.15,1.9,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Brazil Pernambucano 1,2021,2021-03-03 18:00:00,2,Sport Recife,Salgueiro,1,2,3,['13'],"['17', '90+5']",1.95,3.15,3.35,2.1,1.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Brazil Pernambucano 1,2021,2021-03-07 15:00:00,2,Sete de Setembro PE,Náutico,0,1,1,[],['31'],5.45,5.0,1.12,1.4,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Pernambucano 1,2021,2021-03-08 15:00:00,2,Acadêmica Vitória,Vera Cruz Futebol Clube,2,2,4,"['31', '80']","['42', '45']",2.38,3.1,2.8,2.12,1.96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Brazil Pernambucano 1,2021,2021-03-13 15:00:00,3,Afogados,Acadêmica Vitória,2,0,2,"['34', '75']",[],1.18,3.5,4.25,2.05,2.14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Brazil Pernambucano 1,2021,2021-03-14 15:00:00,3,Central,Sete de Setembro PE,0,0,0,[],[],1.25,3.5,3.57,2.15,2.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Brazil Pernambucano 1,2021,2021-03-14 16:00:00,3,Santa Cruz,Sport Recife,1,1,2,['84'],['30'],2.15,3.15,3.45,2.36,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Brazil Pernambucano 1,2021,2021-03-21 16:00:00,3,Náutico,Vera Cruz Futebol Clube,3,1,4,"['45+1', '86', '89']",['67'],1.13,8.0,13.0,1.75,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Brazil Pernambucano 1,2021,2021-03-27 19:00:00,4,Náutico,Acadêmica Vitória,4,1,5,"['29', '40', '42', '45+13']",['65'],1.13,6.5,11.0,1.54,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Brazil Pernambucano 1,2021,2021-03-28 15:00:00,4,Sete de Setembro PE,Afogados,1,1,2,['75'],['18'],3.56,3.22,2.04,2.28,1.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
