Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Serie A,2021,2021-05-29 19:00:00,1,Cuiabá,Juventude,2,2,4,"['29', '87']","['43', '45+1']",2.2,3.2,3.5,2.4,2.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Brazil Serie A,2021,2021-05-29 20:00:00,1,Bahia,Santos,3,0,3,"['46', '49', '53']",[],2.25,3.25,3.25,2.1,1.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Brazil Serie A,2021,2021-05-29 21:00:00,1,São Paulo,Fluminense,0,0,0,[],[],1.74,3.35,5.5,2.55,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brazil Serie A,2021,2021-05-30 11:00:00,1,Atlético Mineiro,Fortaleza,1,2,3,['40'],"['60', '90+4']",1.36,5.05,7.89,1.73,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Serie A,2021,2021-05-30 16:00:00,1,Flamengo,Palmeiras,1,0,1,['75'],[],1.4,4.5,6.5,1.87,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Serie A,2021,2021-05-30 16:00:00,1,Ceará,Grêmio,3,2,5,"['36', '42', '90+4']","['45+5', '49']",2.8,3.0,2.55,2.15,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Brazil Serie A,2021,2021-05-30 18:15:00,1,Corinthians,Atlético GO,0,1,1,[],['44'],1.91,3.4,4.1,2.25,2.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Brazil Serie A,2021,2021-05-30 18:15:00,1,Atlético PR,América Mineiro,1,0,1,['87'],[],2.35,3.05,3.3,2.6,2.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brazil Serie A,2021,2021-05-30 18:15:00,1,Chapecoense,Bragantino,0,3,3,[],"['33', '35', '74']",3.7,3.2,2.1,2.15,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Serie A,2021,2021-05-30 20:30:00,1,Internacional,Sport Recife,2,2,4,"['19', '44']","['62', '86']",1.34,5.0,8.5,1.91,2.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
