Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Serie B,2021,2021-05-28 16:00:00,1,Brasil de Pelotas,Londrina,0,0,0,[],[],3.2,3.12,2.35,2.4,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brazil Serie B,2021,2021-05-28 19:00:00,1,Guarani,Vitória,1,1,2,['29'],['9'],2.05,3.05,3.2,2.0,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Brazil Serie B,2021,2021-05-28 21:30:00,1,Vila Nova,Botafogo,1,1,2,['53'],['59'],3.25,2.9,2.1,2.3,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Brazil Serie B,2021,2021-05-28 21:30:00,1,Náutico,CSA,1,0,1,['26'],[],1.87,3.0,3.8,2.1,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brazil Serie B,2021,2021-05-29 11:00:00,1,Vasco da Gama,Operário PR,0,2,2,[],"['8', '43']",1.73,3.4,5.0,2.15,2.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Serie B,2021,2021-05-29 16:00:00,1,CRB,Remo,2,2,4,"['27', '89']","['11', '22']",2.15,3.1,3.3,2.32,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Brazil Serie B,2021,2021-05-29 16:30:00,1,Confiança,Cruzeiro,3,1,4,"['33', '72', '80']",['56'],3.15,3.04,2.43,2.55,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Brazil Serie B,2021,2021-05-29 18:15:00,1,Coritiba,Avaí,2,0,2,"['14', '54']",[],2.45,2.75,2.8,2.3,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Brazil Serie B,2021,2021-05-30 11:00:00,1,Brusque,Ponte Preta,2,1,3,"['45+3', '51']",['66'],2.32,3.15,3.02,2.19,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Brazil Serie B,2021,2021-05-31 20:00:00,1,Sampaio Corrêa,Goiás,0,0,0,[],[],3.0,2.85,2.25,2.25,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
