Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Brazil Serie C,2022,2022-04-09 11:00:00,1,Ypiranga Erechim,Aparecidense,0,2,2,[],"['45+2', '79']",1.75,3.4,4.5,2.48,2.28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brazil Serie C,2022,2022-04-09 15:00:00,1,Uniclinic,Campinense,0,1,1,[],['81'],3.4,3.0,2.05,2.6,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brazil Serie C,2022,2022-04-09 17:00:00,1,Remo,Vitória,2,1,3,"['11', '87']",['89'],2.19,2.85,3.1,2.55,2.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Brazil Serie C,2022,2022-04-09 18:00:00,1,Botafogo PB,EC São José,2,1,3,"['39', '62']",['43'],1.96,3.05,4.2,2.65,2.35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Brazil Serie C,2022,2022-04-09 19:00:00,1,Volta Redonda,Figueirense,1,1,2,['64'],['35'],2.27,2.75,3.05,2.4,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Brazil Serie C,2022,2022-04-10 16:00:00,1,Floresta,Confiança,1,0,1,['24'],[],2.37,2.98,3.15,2.6,2.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Brazil Serie C,2022,2022-04-10 18:00:00,1,Altos,Botafogo SP,1,3,4,['82'],"['7', '13', '43']",2.6,3.1,2.68,2.39,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Brazil Serie C,2022,2022-04-10 19:00:00,1,Mirassol,Ferroviário,2,1,3,"['27', '64']",['11'],1.79,3.3,4.68,2.33,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Brazil Serie C,2022,2022-04-11 20:00:00,1,Brasil de Pelotas,Manaus,1,1,2,['88'],['30'],2.01,2.9,3.5,2.4,2.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Brazil Serie C,2022,2022-04-16 11:00:00,2,EC São José,Volta Redonda,3,1,4,"['4', '27', '51']",['82'],2.07,3.15,3.35,2.38,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
