Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Bulgaria Second League,2021/2022,2021-07-24 12:30:00,1,Yantra 2019,Hebar 1918,0,2,2,[],"['8', '60']",1.65,3.5,2.05,1.9,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bulgaria Second League,2021/2022,2021-07-24 12:30:00,1,Sportist Svoge,Maritsa Plovdiv,0,2,2,[],"['12', '45+1']",1.62,3.4,2.05,1.9,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Bulgaria Second League,2021/2022,2021-07-24 12:30:00,1,Strumska slava,Septemvri Sofia,1,1,2,['89'],['75'],4.0,4.0,1.18,1.9,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Bulgaria Second League,2021/2022,2021-07-24 13:00:00,1,Septemvri Simitli,Marek,2,1,3,"['27', '79']",['64'],1.4,3.6,2.6,1.8,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Bulgaria Second League,2021/2022,2021-07-24 14:00:00,1,Sozopol,Dobrudzha 1919,3,0,3,"['3', '43', '62']",[],1.08,4.33,5.75,1.8,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Bulgaria Second League,2021/2022,2021-07-25 14:00:00,1,Botev Plovdiv II,Lovech,1,1,2,['85'],['9'],5.0,4.0,1.13,1.57,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Bulgaria Second League,2021/2022,2021-07-26 12:30:00,1,FK Minyor Pernik,Ludogorets II,3,1,4,"['27', '61', '88']",['42'],1.28,3.75,3.15,1.7,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Bulgaria Second League,2021/2022,2021-07-26 12:30:00,1,Etar,Levski Lom,3,0,3,"['63', '75', '90']",[],1.17,4.2,4.1,1.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Bulgaria Second League,2021/2022,2021-07-26 14:00:00,1,Montana,CSKA 1948 Sofia II,1,1,2,['65'],['14'],1.12,4.0,4.8,1.8,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Bulgaria Second League,2021/2022,2021-07-30 12:30:00,2,Hebar 1918,FK Minyor Pernik,1,1,2,['34'],['59'],1.87,3.35,3.45,1.91,1.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Bulgaria Second League,2021/2022,2021-07-30 12:30:00,2,Dobrudzha 1919,Botev Plovdiv II,1,1,2,['20'],['78'],4.75,3.5,1.57,1.74,1.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Bulgaria Second League,2021/2022,2021-07-30 12:30:00,2,Maritsa Plovdiv,Montana,4,1,5,"['21', '59', '64', '71']",['89'],2.3,2.95,2.8,2.15,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Bulgaria Second League,2021/2022,2021-07-30 13:00:00,2,Septemvri Simitli,Yantra 2019,5,2,7,"['34', '44', '45', '56', '71']","['32', '82']",1.59,3.75,4.15,1.95,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Bulgaria Second League,2021/2022,2021-07-30 14:00:00,2,Ludogorets II,Etar,4,1,5,"['19', '51', '59', '77']",['22'],2.15,3.25,1.58,2.1,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Bulgaria Second League,2021/2022,2021-07-31 12:30:00,2,Marek,Septemvri Sofia,2,1,3,"['24', '89']",['69'],3.05,3.65,1.3,1.77,1.79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Bulgaria Second League,2021/2022,2021-07-31 12:30:00,2,Spartak Varna,Strumska slava,2,1,3,"['33', '64']",['49'],1.44,4.2,6.0,1.65,1.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Bulgaria Second League,2021/2022,2021-07-31 12:30:00,2,Levski Lom,Sozopol,0,0,0,[],[],1.38,3.5,2.7,2.2,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bulgaria Second League,2021/2022,2021-07-31 14:00:00,2,Lovech,Sportist Svoge,0,1,1,[],['29'],1.24,3.35,3.4,2.1,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bulgaria Second League,2021/2022,2021-08-03 12:00:00,3,FK Minyor Pernik,Septemvri Simitli,4,2,6,"['33', '38', '54', '55']","['52', '75']",1.13,3.8,4.7,2.05,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,Bulgaria Second League,2021/2022,2021-08-04 12:00:00,3,Septemvri Sofia,Spartak Varna,4,2,6,"['38', '59', '61', '64']","['80', '85']",1.2,3.75,3.8,1.7,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Bulgaria Second League,2021/2022,2021-08-04 12:00:00,3,Strumska slava,CSKA 1948 Sofia II,1,0,1,['78'],[],2.95,3.5,1.32,1.95,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Bulgaria Second League,2021/2022,2021-08-04 12:00:00,3,Yantra 2019,Marek,0,0,0,[],[],1.98,3.6,3.15,1.92,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Bulgaria Second League,2021/2022,2021-08-04 12:00:00,3,Sportist Svoge,Dobrudzha 1919,0,1,1,[],['64'],1.06,6.0,6.25,1.65,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Bulgaria Second League,2021/2022,2021-08-04 12:30:00,3,Etar,Hebar 1918,2,4,6,"['58', '67']","['33', '39', '52', '83']",1.35,3.4,2.75,2.15,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Bulgaria Second League,2021/2022,2021-08-04 13:00:00,3,Sozopol,Ludogorets II,1,1,2,['90+5'],['2'],1.55,3.2,2.2,2.08,1.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
