Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2549593,Canada Canadian Championship,2022,2022-05-10 20:00:00,0,Guelph United,HFX Wanderers FC,0,2,2,[],"['22', '60']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2549594,Canada Canadian Championship,2022,2022-05-10 20:00:00,0,Atlético Ottawa,York9 FC,1,1,2,['61'],['31'],1.73,3.3,4.2,2.0,1.81,1.85,1.88
3,2549595,Canada Canadian Championship,2022,2022-05-10 22:30:00,0,Cavalry FC,Edmonton,2,1,3,"['17', '36']",['55'],1.22,6.0,9.0,1.9,1.9,0.0,0.0
4,2549596,Canada Canadian Championship,2022,2022-05-11 20:00:00,0,Forge FC,Mont-Royal Outremont,2,0,2,"['34', '90+2']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2549597,Canada Canadian Championship,2022,2022-05-11 23:00:00,0,Vancouver Whitecaps,Valour FC,2,0,2,"['19', '22']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2549598,Canada Canadian Championship,2022,2022-05-24 19:00:00,0,HFX Wanderers FC,Toronto,1,2,3,['69'],"['55', '86']",4.38,4.5,1.52,1.68,2.11,1.78,1.99
7,2549599,Canada Canadian Championship,2022,2022-05-24 23:00:00,0,Pacific FC,York9 FC,2,2,4,"['11', '90+7']","['25', '31']",1.8,3.6,3.6,1.73,2.08,1.6,2.15
8,2549600,Canada Canadian Championship,2022,2022-05-25 20:00:00,0,Montreal Impact,Forge FC,3,0,3,"['14', '22', '49']",[],1.55,4.0,4.75,1.75,2.05,2.01,1.77
9,2549601,Canada Canadian Championship,2022,2022-05-25 22:00:00,0,Cavalry FC,Vancouver Whitecaps,1,1,2,['72'],['85'],3.2,3.3,2.0,1.85,1.95,1.8,1.91
10,2549602,Canada Canadian Championship,2022,2022-06-22 20:00:00,0,Toronto,Montreal Impact,4,0,4,"['40', '54', '75', '78']",[],1.9,3.5,3.35,1.65,2.1,1.56,2.35
11,2549603,Canada Canadian Championship,2022,2022-06-22 23:00:00,0,Vancouver Whitecaps,York9 FC,2,1,3,"['53', '73']",['84'],1.25,5.25,8.0,1.25,4.0,1.53,2.4
12,2638380,Canada Canadian Championship,2022,2022-07-26 23:30:00,0,Vancouver Whitecaps,Toronto,1,1,2,['19'],['75'],2.25,3.3,2.76,1.6,2.19,1.57,2.31
