Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1275853,Canada Canadian Premier League,2021,2021-06-26 15:00:00,0,Edmonton,Atlético Ottawa,0,1,1,[],['82'],2.7,3.6,2.15,1.9,1.9,0.0,0.0
2,1275854,Canada Canadian Premier League,2021,2021-06-26 18:00:00,0,Pacific FC,HFX Wanderers FC,2,0,2,"['17', '37']",[],1.95,3.3,3.4,1.9,1.9,0.0,0.0
3,1275855,Canada Canadian Premier League,2021,2021-06-27 15:00:00,0,Forge FC,Valour FC,0,2,2,[],"['6', '26']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1275856,Canada Canadian Premier League,2021,2021-06-27 18:00:00,0,Cavalry FC,York9 FC,2,1,3,"['32', '51']",['79'],1.91,3.1,3.75,2.18,1.6,0.0,0.0
5,1275857,Canada Canadian Premier League,2021,2021-06-30 20:00:00,0,Valour FC,HFX Wanderers FC,2,0,2,"['20', '89']",[],1.95,3.4,3.5,1.93,1.88,1.83,1.83
6,1275858,Canada Canadian Premier League,2021,2021-06-30 23:00:00,0,Atlético Ottawa,Cavalry FC,1,4,5,['24'],"['9', '43', '75', '78']",4.2,3.75,1.73,1.9,1.9,1.78,1.95
7,1275859,Canada Canadian Premier League,2021,2021-07-01 18:00:00,0,York9 FC,Pacific FC,2,2,4,"['32', '82']","['51', '67']",2.45,3.25,2.5,2.0,1.8,0.0,0.0
8,1275860,Canada Canadian Premier League,2021,2021-07-01 21:00:00,0,Edmonton,Forge FC,2,0,2,"['87', '90+4']",[],3.6,3.4,1.91,1.55,2.3,0.0,0.0
9,1275861,Canada Canadian Premier League,2021,2021-07-03 20:00:00,0,Cavalry FC,HFX Wanderers FC,0,0,0,[],[],1.8,3.5,3.6,1.98,1.83,0.0,0.0
10,1275862,Canada Canadian Premier League,2021,2021-07-03 23:00:00,0,Valour FC,Atlético Ottawa,2,0,2,"['45', '90+2']",[],2.05,3.6,2.88,1.95,1.85,0.0,0.0
11,1275863,Canada Canadian Premier League,2021,2021-07-04 20:00:00,0,Forge FC,Pacific FC,3,0,3,"['70', '75', '80']",[],2.2,3.65,2.5,1.69,1.95,1.65,2.0
12,1275864,Canada Canadian Premier League,2021,2021-07-04 23:00:00,0,Edmonton,York9 FC,1,1,2,['52'],['67'],3.35,3.2,1.95,1.74,1.87,1.65,2.0
13,1275865,Canada Canadian Premier League,2021,2021-07-07 20:00:00,0,Atlético Ottawa,Pacific FC,0,1,1,[],['63'],3.25,3.45,1.87,1.77,1.83,1.71,1.91
14,1275866,Canada Canadian Premier League,2021,2021-07-07 23:00:00,0,York9 FC,Valour FC,2,1,3,"['14', '48']",['5'],2.95,2.95,2.2,1.91,1.71,1.74,1.87
15,1275867,Canada Canadian Premier League,2021,2021-07-08 21:00:00,0,Cavalry FC,Forge FC,0,2,2,[],"['13', '35']",1.95,2.85,3.75,2.15,1.54,1.95,1.69
16,1275868,Canada Canadian Premier League,2021,2021-07-10 15:00:00,0,HFX Wanderers FC,Edmonton,2,1,3,"['7', '55']",['64'],3.1,3.4,2.0,2.0,1.8,1.8,1.83
17,1275869,Canada Canadian Premier League,2021,2021-07-10 18:00:00,0,Pacific FC,York9 FC,3,0,3,"['6', '9', '53']",[],2.05,3.25,3.05,1.83,1.74,1.74,1.87
18,1275870,Canada Canadian Premier League,2021,2021-07-11 14:30:00,0,Valour FC,Forge FC,1,0,1,['56'],[],2.4,3.15,2.7,1.78,1.95,1.74,1.91
19,1275871,Canada Canadian Premier League,2021,2021-07-11 22:00:00,0,Cavalry FC,Atlético Ottawa,0,2,2,[],"['75', '90+7']",1.5,4.0,5.0,1.85,1.95,0.0,0.0
20,1275872,Canada Canadian Premier League,2021,2021-07-13 21:00:00,0,HFX Wanderers FC,Pacific FC,0,0,0,[],[],3.35,3.15,1.95,1.77,1.83,1.67,2.0
21,1275873,Canada Canadian Premier League,2021,2021-07-14 20:00:00,0,York9 FC,Cavalry FC,0,0,0,[],[],2.75,3.05,2.3,1.91,1.71,1.74,1.87
22,1275874,Canada Canadian Premier League,2021,2021-07-14 23:00:00,0,Forge FC,Edmonton,1,0,1,['38'],[],1.8,3.15,3.9,2.1,1.57,2.0,1.67
23,1275875,Canada Canadian Premier League,2021,2021-07-15 18:00:00,0,Atlético Ottawa,Valour FC,0,1,1,[],['85'],4.35,3.25,1.69,2.0,1.62,1.95,1.69
24,1275876,Canada Canadian Premier League,2021,2021-07-17 20:00:00,0,HFX Wanderers FC,Cavalry FC,1,2,3,['87'],"['45+2', '52']",3.8,3.15,1.83,2.05,1.62,1.91,1.71
25,1275877,Canada Canadian Premier League,2021,2021-07-17 23:00:00,0,Pacific FC,Forge FC,1,2,3,['77'],"['22', '30']",2.55,3.35,2.3,1.87,1.71,1.8,1.83
26,1275879,Canada Canadian Premier League,2021,2021-07-18 20:30:00,0,Valour FC,York9 FC,3,0,3,"['18', '42', '73']",[],2.0,3.25,3.15,1.95,1.67,1.83,1.8
27,1275878,Canada Canadian Premier League,2021,2021-07-18 23:30:00,0,Atlético Ottawa,Edmonton,1,1,2,['4'],['86'],2.45,3.1,2.55,2.05,1.61,1.91,1.74
28,1275880,Canada Canadian Premier League,2021,2021-07-21 20:00:00,0,Edmonton,HFX Wanderers FC,1,0,1,['81'],[],2.45,3.0,2.55,1.91,1.69,1.74,1.87
29,1275881,Canada Canadian Premier League,2021,2021-07-21 23:00:00,0,Pacific FC,Atlético Ottawa,4,2,6,"['35', '52', '55', '74']","['2', '15']",1.54,3.5,4.95,1.91,1.69,1.95,1.71
30,1275882,Canada Canadian Premier League,2021,2021-07-22 21:00:00,0,Forge FC,Cavalry FC,1,2,3,['86'],"['12', '33']",2.1,3.2,3.0,2.0,1.62,1.91,1.74
31,1275883,Canada Canadian Premier League,2021,2021-07-24 15:00:00,0,HFX Wanderers FC,Valour FC,1,0,1,['44'],[],3.4,3.0,2.0,2.15,1.56,2.0,1.67
32,1275884,Canada Canadian Premier League,2021,2021-07-24 18:00:00,0,York9 FC,Edmonton,1,0,1,['12'],[],2.7,3.0,2.4,2.0,1.65,1.8,1.83
33,1289661,Canada Canadian Premier League,2021,2021-07-30 20:00:00,0,York9 FC,Forge FC,0,1,1,[],['4'],2.65,3.55,2.15,1.74,1.87,1.69,1.95
34,1289662,Canada Canadian Premier League,2021,2021-07-30 22:30:00,0,Pacific FC,Cavalry FC,2,0,2,"['3', '86']",[],2.3,3.4,2.55,1.69,1.91,1.62,2.05
35,1289663,Canada Canadian Premier League,2021,2021-07-31 22:00:00,0,Edmonton,Valour FC,3,1,4,"['13', '55', '63']",['88'],2.25,3.0,2.9,2.1,1.57,1.91,1.71
36,1289664,Canada Canadian Premier League,2021,2021-08-02 15:00:00,0,HFX Wanderers FC,Atlético Ottawa,2,1,3,"['25', '37']",['21'],2.11,3.1,3.0,1.93,1.8,1.62,1.95
37,1289665,Canada Canadian Premier League,2021,2021-08-03 22:00:00,0,Cavalry FC,Edmonton,2,1,3,"['64', '71']",['19'],2.05,2.9,3.05,2.25,1.48,2.0,1.59
38,1289673,Canada Canadian Premier League,2021,2021-08-04 20:00:00,0,Forge FC,York9 FC,0,1,1,[],['54'],1.62,3.35,4.2,1.74,1.8,1.77,1.8
39,1289666,Canada Canadian Premier League,2021,2021-08-04 22:30:00,0,Pacific FC,Valour FC,2,1,3,"['66', '87']",['41'],1.91,3.1,3.25,2.05,1.57,1.87,1.69
40,1289667,Canada Canadian Premier League,2021,2021-08-07 15:00:00,0,HFX Wanderers FC,York9 FC,2,3,5,"['21', '40']","['39', '54', '90']",2.0,2.85,3.25,2.2,1.49,1.95,1.62
41,1289668,Canada Canadian Premier League,2021,2021-08-07 19:30:00,0,Pacific FC,Edmonton,2,2,4,"['42', '54']","['58', '76']",1.76,3.5,3.65,2.0,1.72,1.87,1.69
42,1289669,Canada Canadian Premier League,2021,2021-08-08 14:00:00,0,Forge FC,Atlético Ottawa,2,0,2,"['39', '43']",[],1.26,4.9,7.5,1.69,1.87,2.05,1.57
43,1289670,Canada Canadian Premier League,2021,2021-08-08 17:00:00,0,Cavalry FC,Valour FC,1,0,1,['41'],[],2.05,3.1,2.9,1.95,1.62,1.83,1.74
44,1289671,Canada Canadian Premier League,2021,2021-08-11 22:00:00,0,Cavalry FC,Pacific FC,0,0,0,[],[],2.25,3.3,2.45,1.95,1.65,1.83,1.74
45,1289672,Canada Canadian Premier League,2021,2021-08-12 22:00:00,0,Edmonton,Valour FC,0,0,0,[],[],1.91,2.85,3.65,2.0,1.59,1.87,1.71
