Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Canada Canadian Premier League,2022,2022-04-07 20:30:00,0,York9 FC,HFX Wanderers FC,0,1,1,[],['53'],2.6,2.85,2.55,2.28,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Canada Canadian Premier League,2022,2022-04-09 16:00:00,0,Atlético Ottawa,Cavalry FC,1,0,1,['81'],[],5.1,3.52,1.66,2.02,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Canada Canadian Premier League,2022,2022-04-10 17:00:00,0,Edmonton,Valour FC,1,1,2,['90+5'],['45+1'],3.03,3.24,2.27,2.08,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Canada Canadian Premier League,2022,2022-04-10 20:00:00,0,Pacific FC,Forge FC,2,1,3,"['5', '57']",['89'],7.4,4.4,1.39,2.02,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Canada Canadian Premier League,2022,2022-04-15 22:00:00,0,Edmonton,York9 FC,1,1,2,['84'],['82'],2.16,3.01,3.23,2.14,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Canada Canadian Premier League,2022,2022-04-16 14:00:00,0,Atlético Ottawa,HFX Wanderers FC,1,0,1,['81'],[],2.35,3.0,2.85,2.12,1.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Canada Canadian Premier League,2022,2022-04-16 17:00:00,0,Forge FC,Cavalry FC,2,2,4,"['3', '90']","['31', '39']",1.76,3.28,4.04,2.02,1.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Canada Canadian Premier League,2022,2022-04-17 17:00:00,0,Pacific FC,Valour FC,3,2,5,"['20', '33', '56']","['42', '90+3']",1.77,3.4,4.2,1.98,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,Canada Canadian Premier League,2022,2022-04-22 20:30:00,0,York9 FC,Cavalry FC,2,0,2,"['35', '73']",[],3.55,3.15,1.98,2.25,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Canada Canadian Premier League,2022,2022-04-23 17:00:00,0,Forge FC,Edmonton,3,0,3,"['34', '45', '69']",[],1.78,3.4,4.1,2.05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
