Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1212927,Chile Primera B,2021,2021-04-03 15:00:00,1,Puerto Montt,Copiapó,1,0,1,['76'],[],2.1,2.83,3.58,2.14,1.74,1.83,1.91
2,1212929,Chile Primera B,2021,2021-04-04 12:00:00,1,Deportes Iquique,Coquimbo Unido,2,3,5,"['2', '51']","['9', '37', '90']",2.15,3.1,3.05,2.05,1.74,1.81,1.93
3,1212931,Chile Primera B,2021,2021-04-04 12:00:00,1,Deportes Temuco,San Luis,2,2,4,"['21', '45']","['33', '63']",1.9,3.3,3.9,0.0,0.0,0.0,0.0
4,1212933,Chile Primera B,2021,2021-04-04 12:00:00,1,Cobreloa,Barnechea,1,2,3,['90+1'],"['8', '90+4']",1.85,3.25,4.33,2.05,1.75,1.85,1.85
5,1212935,Chile Primera B,2021,2021-04-04 12:00:00,1,Magallanes,San Marcos,1,3,4,['90+1'],"['20', '46', '50']",2.3,2.9,2.95,2.25,1.61,1.94,1.81
6,1212939,Chile Primera B,2021,2021-04-06 21:00:00,1,Rangers,Unión San Felipe,3,1,4,"['15', '26', '77']",['89'],2.35,2.98,2.87,2.1,1.7,1.75,1.95
7,1212940,Chile Primera B,2021,2021-04-12 18:00:00,1,Univ. Concepción,Santiago Morning,3,3,6,"['17', '54', '71']","['52', '58', '88']",1.95,3.0,4.0,2.05,1.75,1.84,1.9
8,1212942,Chile Primera B,2021,2021-04-17 12:00:00,2,Unión San Felipe,Puerto Montt,2,3,5,"['26', '40']","['50', '56', '68']",2.09,3.04,3.86,2.31,1.64,2.17,1.66
9,1212944,Chile Primera B,2021,2021-04-17 13:00:00,2,Barnechea,Coquimbo Unido,0,1,1,[],['90+4'],3.22,2.94,2.18,2.03,1.82,1.72,2.0
10,1212947,Chile Primera B,2021,2021-04-18 18:00:00,2,San Marcos,Cobreloa,0,0,0,[],[],2.34,3.02,2.85,2.0,1.75,1.78,1.98
11,1212949,Chile Primera B,2021,2021-04-18 19:00:00,2,San Luis,Rangers,0,1,1,[],['23'],2.7,3.07,2.42,2.0,1.85,1.77,2.0
12,1212951,Chile Primera B,2021,2021-04-18 19:00:00,2,Deportes Santa Cruz,Univ. Concepción,2,2,4,"['9', '90']","['40', '45+1']",3.32,3.17,2.03,1.95,1.8,1.8,1.95
13,1212952,Chile Primera B,2021,2021-04-19 16:30:00,2,Santiago Morning,Magallanes,1,2,3,['57'],"['22', '71']",2.17,3.05,2.9,1.73,2.1,1.8,1.83
14,1212953,Chile Primera B,2021,2021-04-19 19:00:00,2,Copiapó,Deportes Temuco,1,1,2,['16'],['78'],2.3,3.2,2.7,2.0,1.65,1.87,1.77
15,1212962,Chile Primera B,2021,2021-04-25 13:00:00,3,Deportes Iquique,San Marcos,1,2,3,['26'],"['75', '90+2']",1.61,3.45,4.85,1.95,1.67,1.95,1.67
16,1212955,Chile Primera B,2021,2021-04-25 21:30:00,3,Coquimbo Unido,Magallanes,1,1,2,['24'],['88'],1.62,3.45,4.7,1.91,1.71,1.87,1.74
17,1212959,Chile Primera B,2021,2021-04-26 12:00:00,3,Cobreloa,Univ. Concepción,2,4,6,"['79', '90+7']","['24', '35', '45+1', '90+1']",2.36,3.0,2.65,2.0,1.8,1.75,1.95
18,1212958,Chile Primera B,2021,2021-04-26 13:00:00,3,Deportes Temuco,Unión San Felipe,3,0,3,"['19', '26', '90+1']",[],2.0,3.15,3.35,2.0,1.75,1.8,1.95
19,1212961,Chile Primera B,2021,2021-04-26 13:00:00,3,Puerto Montt,San Luis,2,1,3,"['67', '80']",['19'],2.0,3.45,3.1,1.9,1.83,1.77,1.98
20,1212963,Chile Primera B,2021,2021-04-26 16:30:00,3,Santiago Morning,Deportes Santa Cruz,1,3,4,['67'],"['29', '55', '76']",1.82,3.25,3.6,1.8,1.95,1.71,2.06
21,1212956,Chile Primera B,2021,2021-04-26 19:00:00,3,Rangers,Copiapó,2,3,5,"['54', '64']","['7', '13', '24']",1.8,3.35,3.75,1.87,1.74,1.8,1.83
22,1212969,Chile Primera B,2021,2021-05-01 21:30:00,4,Univ. Concepción,Rangers,3,2,5,"['35', '54', '78']","['53', '80']",2.05,3.1,3.4,1.78,2.08,1.53,2.25
23,1212964,Chile Primera B,2021,2021-05-02 21:30:00,4,Deportes Santa Cruz,Puerto Montt,1,0,1,['69'],[],3.12,3.39,2.12,1.75,2.13,1.6,2.27
24,1212971,Chile Primera B,2021,2021-05-03 12:00:00,4,Magallanes,Deportes Temuco,0,3,3,[],"['49', '64', '90+2']",2.25,3.25,2.8,1.78,2.08,1.6,2.2
25,1212970,Chile Primera B,2021,2021-05-03 13:00:00,4,Barnechea,Deportes Iquique,3,1,4,"['4', '11', '49']",['74'],2.8,3.1,2.3,1.87,1.74,1.74,1.91
