Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1202231,Chile Primera División,2021,2021-03-27 11:00:00,1,Curicó Unido,Melipilla,2,0,2,"['6', '10']",[],2.62,2.9,2.68,2.35,1.55,1.97,1.75
2,1202232,Chile Primera División,2021,2021-03-27 16:00:00,1,Everton,O'Higgins,1,1,2,['31'],['62'],1.9,3.23,3.4,2.02,1.74,1.91,1.83
3,1202233,Chile Primera División,2021,2021-03-27 18:30:00,1,Colo-Colo,Unión La Calera,0,0,0,[],[],2.35,3.2,3.0,2.0,1.8,1.8,1.95
4,1202234,Chile Primera División,2021,2021-03-27 21:00:00,1,Unión Española,Santiago Wanderers,3,1,4,"['22', '51', '90+2']",['31'],1.8,3.65,4.2,1.8,2.0,1.74,2.0
5,1202235,Chile Primera División,2021,2021-03-28 10:45:00,1,Palestino,Antofagasta,2,4,6,"['54', '66']","['1', '17', '33', '90+3']",1.74,3.35,5.0,1.91,1.87,1.8,1.95
6,1202236,Chile Primera División,2021,2021-03-28 17:00:00,1,Huachipato,Cobresal,0,0,0,[],[],1.95,3.64,3.86,1.91,1.8,1.87,1.87
7,1202237,Chile Primera División,2021,2021-03-28 19:30:00,1,Ñublense,Universidad Católica,0,1,1,[],['27'],3.95,3.05,2.05,2.25,1.61,2.0,1.77
8,1202238,Chile Primera División,2021,2021-03-30 20:00:00,1,Audax Italiano,La Serena,2,1,3,"['25', '72']",['90+4'],2.6,3.0,2.8,2.0,1.77,1.74,2.0
9,1202239,Chile Primera División,2021,2021-04-02 16:00:00,2,Antofagasta,Everton,1,2,3,['72'],"['48', '90+1']",2.37,2.78,2.92,2.09,1.73,1.76,1.96
10,1202240,Chile Primera División,2021,2021-04-02 19:00:00,2,Unión La Calera,Unión Española,1,0,1,['60'],[],2.3,2.9,2.9,2.01,1.83,1.8,1.91
11,1202241,Chile Primera División,2021,2021-04-03 11:00:00,2,Melipilla,Ñublense,1,1,2,['17'],['74'],2.7,2.92,2.4,2.09,1.66,1.83,1.87
12,1202242,Chile Primera División,2021,2021-04-03 18:00:00,2,Universidad Chile,Huachipato,1,1,2,['63'],['14'],2.05,3.48,3.68,2.04,1.72,1.91,1.8
13,1202243,Chile Primera División,2021,2021-04-03 20:30:00,2,Cobresal,Colo-Colo,1,2,3,['74'],"['16', '42']",2.6,3.42,2.68,1.99,1.77,1.81,1.95
14,1202244,Chile Primera División,2021,2021-04-04 18:00:00,2,La Serena,Curicó Unido,2,0,2,"['74', '77']",[],2.0,3.3,3.9,1.65,2.2,1.77,1.95
15,1202245,Chile Primera División,2021,2021-04-04 20:15:00,2,Universidad Católica,Palestino,2,1,3,"['28', '50']",['81'],2.15,3.3,3.4,1.93,1.83,1.62,2.15
16,1202246,Chile Primera División,2021,2021-04-04 22:30:00,2,O'Higgins,Audax Italiano,0,0,0,[],[],2.4,3.0,3.2,1.67,2.15,1.74,2.0
17,1202253,Chile Primera División,2021,2021-04-10 17:00:00,3,Unión Española,Melipilla,0,2,2,[],"['7', '64']",1.78,3.45,3.7,1.88,1.92,1.8,1.91
18,1202248,Chile Primera División,2021,2021-04-10 19:30:00,3,Audax Italiano,Universidad Católica,1,0,1,['67'],[],3.7,3.45,1.78,1.78,1.92,1.67,2.1
19,1202247,Chile Primera División,2021,2021-04-11 16:00:00,3,La Serena,Universidad Chile,0,0,0,[],[],3.0,3.05,2.35,1.67,2.15,1.87,1.91
20,1202251,Chile Primera División,2021,2021-04-11 18:30:00,3,Santiago Wanderers,Unión La Calera,1,2,3,['24'],"['6', '75']",3.0,3.05,2.35,1.87,1.9,1.69,2.1
21,1202254,Chile Primera División,2021,2021-04-11 21:00:00,3,Colo-Colo,O'Higgins,1,2,3,['16'],"['6', '71']",1.97,3.25,3.7,1.6,2.25,1.95,1.8
22,1202250,Chile Primera División,2021,2021-04-12 13:00:00,3,Ñublense,Cobresal,3,1,4,"['35', '86', '90+7']",['8'],2.39,3.05,2.74,2.03,1.73,1.83,1.87
23,1202252,Chile Primera División,2021,2021-04-12 16:00:00,3,Palestino,Everton,1,1,2,['55'],['90+3'],2.25,3.05,2.95,2.0,1.76,1.87,1.83
24,1202249,Chile Primera División,2021,2021-04-12 18:15:00,3,Curicó Unido,Antofagasta,1,1,2,['27'],['4'],2.18,3.27,2.89,1.95,1.8,1.8,1.91
25,1202260,Chile Primera División,2021,2021-04-16 16:30:00,4,Melipilla,Palestino,0,1,1,[],['41'],3.6,2.85,2.08,2.05,1.73,1.8,1.95
26,1202262,Chile Primera División,2021,2021-04-16 19:00:00,4,Huachipato,Ñublense,5,3,8,"['42', '62', '66', '82', '86']","['26', '28', '75']",2.05,3.15,3.15,1.98,1.73,1.91,1.83
27,1202261,Chile Primera División,2021,2021-04-16 21:30:00,4,Universidad Católica,Curicó Unido,2,1,3,"['12', '45+2']",['53'],1.35,4.25,7.0,1.85,1.9,2.25,1.57
28,1202256,Chile Primera División,2021,2021-04-17 19:00:00,4,O'Higgins,La Serena,0,0,0,[],[],2.1,3.3,3.5,1.67,2.15,1.87,1.83
29,1202258,Chile Primera División,2021,2021-04-17 21:30:00,4,Unión La Calera,Audax Italiano,1,1,2,['8'],['66'],2.05,3.4,3.5,1.91,1.85,1.77,1.95
30,1202257,Chile Primera División,2021,2021-04-18 12:00:00,4,Cobresal,Santiago Wanderers,2,1,3,"['17', '56']",['62'],1.53,4.25,5.5,1.83,1.95,1.91,1.83
31,1202255,Chile Primera División,2021,2021-04-18 16:00:00,4,Everton,Colo-Colo,0,2,2,[],"['67', '74']",2.4,3.0,2.75,2.1,1.67,1.95,1.8
32,1202259,Chile Primera División,2021,2021-04-19 21:30:00,4,Universidad Chile,Unión Española,2,1,3,"['52', '66']",['61'],2.1,3.25,3.5,1.91,1.87,1.77,2.0
33,1202266,Chile Primera División,2021,2021-04-23 21:00:00,5,Curicó Unido,Everton,1,1,2,['55'],['41'],2.7,3.1,2.7,2.15,1.67,1.91,1.83
34,1202264,Chile Primera División,2021,2021-04-24 13:00:00,5,Antofagasta,Cobresal,2,1,3,"['37', '90+5']",['60'],2.2,3.35,3.15,1.77,2.05,1.65,2.2
35,1202268,Chile Primera División,2021,2021-04-24 16:30:00,5,La Serena,Unión Española,0,0,0,[],[],2.71,3.3,2.34,2.09,1.73,1.65,2.15
36,1202265,Chile Primera División,2021,2021-04-24 19:00:00,5,O'Higgins,Unión La Calera,1,0,1,['76'],[],2.25,3.0,3.4,2.2,1.65,1.95,1.83
37,1202270,Chile Primera División,2021,2021-04-24 21:30:00,5,Santiago Wanderers,Ñublense,1,2,3,['10'],"['3', '78']",3.05,3.45,2.2,1.87,1.91,1.74,2.05
38,1202263,Chile Primera División,2021,2021-04-25 17:00:00,5,Colo-Colo,Universidad Chile,1,0,1,['72'],[],2.48,3.12,3.12,2.25,1.57,1.95,1.83
39,1202267,Chile Primera División,2021,2021-04-26 21:30:00,5,Audax Italiano,Melipilla,1,0,1,['16'],[],1.87,3.3,4.35,2.25,1.62,2.15,1.67
40,1225477,Chile Primera División,2021,2021-04-30 21:00:00,6,Everton,La Serena,0,4,4,[],"['13', '48', '78', '83']",1.95,3.2,4.0,2.05,1.75,1.85,1.86
41,1202273,Chile Primera División,2021,2021-05-01 13:30:00,6,Unión La Calera,Antofagasta,2,1,3,"['36', '49']",['30'],2.1,3.4,3.35,1.65,2.2,1.54,2.4
42,1202276,Chile Primera División,2021,2021-05-01 16:30:00,6,Unión Española,Audax Italiano,1,1,2,['90+2'],['19'],2.05,3.2,3.4,2.06,1.78,1.71,2.05
43,1202271,Chile Primera División,2021,2021-05-01 19:00:00,6,Ñublense,Colo-Colo,5,1,6,"['34', '58', '62', '74', '90']",['17'],3.03,2.98,2.23,2.06,1.68,2.05,1.74
44,1202278,Chile Primera División,2021,2021-05-02 12:00:00,6,Cobresal,Curicó Unido,2,0,2,"['45+2', '90+6']",[],1.87,3.8,3.65,1.77,2.0,1.74,2.05
45,1202277,Chile Primera División,2021,2021-05-02 16:30:00,6,Huachipato,O'Higgins,0,1,1,[],['55'],2.16,3.4,3.24,1.95,1.75,1.83,1.91
46,1202272,Chile Primera División,2021,2021-05-02 19:00:00,6,Melipilla,Universidad Católica,2,0,2,"['66', '76']",[],4.68,3.48,1.77,2.0,1.75,2.0,1.77
47,1202275,Chile Primera División,2021,2021-05-03 21:30:00,6,Universidad Chile,Santiago Wanderers,1,0,1,['19'],[],1.67,3.75,5.0,2.0,1.8,2.0,1.74
48,1202283,Chile Primera División,2021,2021-05-07 21:00:00,7,O'Higgins,Unión Española,1,4,5,['63'],"['45+2', '50', '61', '90+7']",2.25,3.3,3.1,1.8,1.95,1.67,2.15
49,1202281,Chile Primera División,2021,2021-05-08 13:00:00,7,Universidad Católica,Unión La Calera,3,0,3,"['1', '10', '51']",[],1.82,3.15,4.1,1.83,1.93,1.83,1.91
50,1202286,Chile Primera División,2021,2021-05-08 16:30:00,7,La Serena,Ñublense,1,0,1,['72'],[],2.3,3.1,2.8,1.95,1.75,1.8,1.95
51,1202282,Chile Primera División,2021,2021-05-08 19:00:00,7,Santiago Wanderers,Melipilla,0,3,3,[],"['40', '68', '84']",2.0,3.1,3.4,2.05,1.7,1.87,1.83
52,1202284,Chile Primera División,2021,2021-05-08 21:30:00,7,Colo-Colo,Palestino,1,2,3,['45+2'],"['49', '67']",2.2,3.1,2.87,1.85,1.85,1.77,1.95
53,1202285,Chile Primera División,2021,2021-05-09 13:00:00,7,Curicó Unido,Huachipato,2,2,4,"['21', '60']","['16', '32']",2.4,3.05,2.8,1.95,1.75,1.8,1.91
54,1202279,Chile Primera División,2021,2021-05-09 16:30:00,7,Antofagasta,Universidad Chile,1,2,3,['77'],"['55', '62']",2.75,2.8,2.7,1.9,1.8,1.62,2.15
55,1202280,Chile Primera División,2021,2021-05-09 19:00:00,7,Audax Italiano,Cobresal,0,0,0,[],[],2.05,3.25,3.55,1.85,1.85,1.77,1.95
56,1202290,Chile Primera División,2021,2021-05-22 12:00:00,8,Cobresal,La Serena,2,0,2,"['49', '54']",[],1.95,3.38,3.18,1.85,1.75,1.91,1.83
57,1202294,Chile Primera División,2021,2021-05-22 16:30:00,8,Ñublense,Curicó Unido,2,0,2,"['10', '46']",[],1.98,3.1,3.55,1.78,1.98,1.59,2.25
58,1202293,Chile Primera División,2021,2021-05-22 19:00:00,8,Santiago Wanderers,O'Higgins,0,0,0,[],[],3.1,3.25,2.3,2.1,1.74,1.91,1.87
59,1202288,Chile Primera División,2021,2021-05-22 21:30:00,8,Unión Española,Universidad Católica,3,2,5,"['24', '51', '63']","['47', '76']",3.4,3.5,2.05,1.74,2.05,1.65,2.15
60,1202289,Chile Primera División,2021,2021-05-23 13:30:00,8,Melipilla,Antofagasta,1,1,2,['60'],['44'],2.25,3.15,3.2,1.8,1.95,1.62,2.25
61,1202287,Chile Primera División,2021,2021-05-23 16:00:00,8,Huachipato,Colo-Colo,0,2,2,[],"['45', '90+5']",2.75,3.25,2.55,2.0,1.8,1.8,1.95
62,1202291,Chile Primera División,2021,2021-05-23 21:30:00,8,Universidad Chile,Everton,0,1,1,[],['55'],2.15,3.15,3.5,2.2,1.65,2.0,1.77
63,1202299,Chile Primera División,2021,2021-05-28 21:00:00,9,Curicó Unido,Unión Española,1,2,3,['45'],"['28', '84']",2.75,3.4,2.4,1.62,2.25,1.5,2.5
64,1202298,Chile Primera División,2021,2021-05-29 16:00:00,9,La Serena,Melipilla,5,1,6,"['15', '54', '57', '74', '85']",['13'],2.17,3.2,3.5,2.55,1.49,2.05,1.71
65,1202300,Chile Primera División,2021,2021-05-29 18:30:00,9,O'Higgins,Palestino,1,0,1,['48'],[],3.2,3.35,2.2,2.0,1.77,1.87,1.91
66,1202297,Chile Primera División,2021,2021-05-30 17:00:00,9,Everton,Santiago Wanderers,1,0,1,['59'],[],1.75,3.6,3.8,1.83,1.87,1.95,1.83
67,1202296,Chile Primera División,2021,2021-05-30 20:00:00,9,Universidad Católica,Cobresal,2,1,3,"['73', '90+5']",['9'],1.67,3.7,5.0,1.91,1.83,1.91,1.83
68,1202301,Chile Primera División,2021,2021-05-31 16:30:00,9,Antofagasta,Huachipato,1,0,1,['6'],[],2.28,3.2,2.8,1.93,1.82,1.67,2.15
69,1202302,Chile Primera División,2021,2021-05-31 19:00:00,9,Unión La Calera,Ñublense,1,0,1,['75'],[],2.2,3.4,3.15,1.65,2.2,1.54,2.4
70,1202295,Chile Primera División,2021,2021-05-31 21:30:00,9,Audax Italiano,Universidad Chile,2,1,3,"['58', '76']",['42'],2.8,3.0,2.65,2.3,1.59,2.05,1.74
71,1202307,Chile Primera División,2021,2021-06-05 11:30:00,10,Cobresal,Unión La Calera,0,1,1,[],['37'],2.55,3.35,2.8,2.02,1.8,1.8,1.95
72,1202304,Chile Primera División,2021,2021-06-05 14:00:00,10,Santiago Wanderers,Universidad Católica,0,1,1,[],['50'],4.0,3.5,1.87,1.91,1.87,1.83,1.91
73,1202303,Chile Primera División,2021,2021-06-05 16:30:00,10,Palestino,Universidad Chile,0,0,0,[],[],2.15,3.35,3.06,1.82,1.88,1.8,1.95
74,1202308,Chile Primera División,2021,2021-06-05 21:30:00,10,Huachipato,Everton,0,0,0,[],[],2.85,3.1,2.55,2.1,1.71,1.87,1.91
75,1202305,Chile Primera División,2021,2021-06-06 12:30:00,10,Unión Española,Antofagasta,1,1,2,['32'],['43'],1.77,3.8,4.15,1.43,2.7,1.43,2.7
76,1202306,Chile Primera División,2021,2021-06-06 19:00:00,10,Colo-Colo,La Serena,2,0,2,"['78', '90+5']",[],1.95,3.15,4.15,2.0,1.77,1.91,1.87
77,1202310,Chile Primera División,2021,2021-06-06 21:30:00,10,Melipilla,O'Higgins,3,1,4,"['7', '21', '39']",['85'],2.65,3.0,2.8,2.45,1.54,2.2,1.65
78,1202309,Chile Primera División,2021,2021-06-07 21:30:00,10,Ñublense,Audax Italiano,1,0,1,['54'],[],2.5,3.3,2.75,2.0,1.77,1.83,1.95
79,1202292,Chile Primera División,2021,2021-06-15 13:30:00,8,Palestino,Audax Italiano,0,2,2,[],"['51', '61']",2.2,3.3,3.25,2.1,1.71,1.95,1.8
80,1202269,Chile Primera División,2021,2021-07-15 13:30:00,5,Palestino,Huachipato,2,0,2,"['1', '83']",[],2.05,3.3,3.65,1.83,1.95,1.71,2.1
81,1202312,Chile Primera División,2021,2021-07-15 21:00:00,11,O'Higgins,Cobresal,1,1,2,['27'],['45+6'],2.55,3.2,2.7,2.0,1.77,1.8,1.95
82,1202313,Chile Primera División,2021,2021-07-16 13:30:00,11,Antofagasta,Santiago Wanderers,1,0,1,['59'],[],2.0,3.6,3.45,1.83,1.95,1.77,2.0
83,1202316,Chile Primera División,2021,2021-07-16 21:30:00,11,Unión La Calera,Curicó Unido,1,0,1,['37'],[],1.69,3.55,5.25,1.74,2.05,1.71,2.1
84,1202311,Chile Primera División,2021,2021-07-17 17:00:00,11,Universidad Católica,Colo-Colo,0,0,0,[],[],2.7,3.0,2.75,2.1,1.71,1.83,1.91
