Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Chile Primera B,2023,2023-02-10 18:30:00,1,Cobreloa,San Marcos,2,1,3,"['6', '78']",['14'],1.67,3.52,5.05,2.09,2.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Chile Primera B,2023,2023-02-11 18:00:00,1,Deportes Iquique,Antofagasta,3,0,3,"['41', '84', '90+2']",[],2.44,3.06,2.62,1.83,1.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Chile Primera B,2023,2023-02-11 18:00:00,1,Puerto Montt,Deportes Temuco,0,0,0,[],[],2.02,2.97,3.46,2.33,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chile Primera B,2023,2023-02-13 18:00:00,1,Recoleta,La Serena,0,1,1,[],['90+5'],2.8,3.07,2.45,2.31,1.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chile Primera B,2023,2023-02-13 18:00:00,1,Santiago Wanderers,Deportes Santa Cruz,0,0,0,[],[],1.83,3.3,4.1,1.87,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Chile Primera B,2023,2023-02-14 18:00:00,1,Santiago Morning,Barnechea,5,1,6,"['5', '20', '26', '48', '52']",['49'],2.55,3.1,2.47,2.05,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Chile Primera B,2023,2023-02-14 20:30:00,1,Unión San Felipe,San Luis,1,3,4,['73'],"['12', '59', '65']",2.17,3.2,3.14,1.92,1.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Chile Primera B,2023,2023-02-17 20:30:00,2,San Marcos,Deportes Iquique,2,3,5,"['9', '59']","['32', '43', '65']",2.7,3.0,2.45,2.1,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Chile Primera B,2023,2023-02-19 12:00:00,2,La Serena,Santiago Wanderers,3,1,4,"['45+3', '53', '84']",['42'],2.09,3.05,3.25,2.01,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Chile Primera B,2023,2023-02-20 20:30:00,2,Deportes Temuco,Recoleta,1,1,2,['45+3'],['90+8'],1.91,3.17,3.98,2.28,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Chile Primera B,2023,2023-02-20 20:30:00,2,Deportes Santa Cruz,Rangers,2,2,4,"['39', '90']","['3', '6']",2.29,3.12,3.0,2.09,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
