Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Chile Primera División,2021,2021-03-27 11:00:00,1,Curicó Unido,Melipilla,2,0,2,"['6', '10']",[],2.62,2.9,2.68,2.35,1.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Chile Primera División,2021,2021-03-27 16:00:00,1,Everton,O'Higgins,1,1,2,['31'],['62'],1.9,3.23,3.4,2.02,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Chile Primera División,2021,2021-03-27 18:30:00,1,Colo-Colo,Unión La Calera,0,0,0,[],[],2.35,3.2,3.0,2.0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chile Primera División,2021,2021-03-27 21:00:00,1,Unión Española,Santiago Wanderers,3,1,4,"['22', '51', '90+2']",['31'],1.8,3.65,4.2,1.8,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Chile Primera División,2021,2021-03-28 10:45:00,1,Palestino,Antofagasta,2,4,6,"['54', '66']","['1', '17', '33', '90+3']",1.74,3.35,5.0,1.91,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Chile Primera División,2021,2021-03-28 17:00:00,1,Huachipato,Cobresal,0,0,0,[],[],1.95,3.64,3.86,1.91,1.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Chile Primera División,2021,2021-03-28 19:30:00,1,Ñublense,Universidad Católica,0,1,1,[],['27'],3.95,3.05,2.05,2.25,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chile Primera División,2021,2021-03-30 20:00:00,1,Audax Italiano,La Serena,2,1,3,"['25', '72']",['90+4'],2.6,3.0,2.8,2.0,1.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Chile Primera División,2021,2021-04-02 16:00:00,2,Antofagasta,Everton,1,2,3,['72'],"['48', '90+1']",2.37,2.78,2.92,2.09,1.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Chile Primera División,2021,2021-04-02 19:00:00,2,Unión La Calera,Unión Española,1,0,1,['60'],[],2.3,2.9,2.9,2.01,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Chile Primera División,2021,2021-04-03 11:00:00,2,Melipilla,Ñublense,1,1,2,['17'],['74'],2.7,2.92,2.4,2.09,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Chile Primera División,2021,2021-04-03 18:00:00,2,Universidad Chile,Huachipato,1,1,2,['63'],['14'],2.05,3.48,3.68,2.04,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Chile Primera División,2021,2021-04-03 20:30:00,2,Cobresal,Colo-Colo,1,2,3,['74'],"['16', '42']",2.6,3.42,2.68,1.99,1.81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Chile Primera División,2021,2021-04-04 18:00:00,2,La Serena,Curicó Unido,2,0,2,"['74', '77']",[],2.0,3.3,3.9,1.65,1.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Chile Primera División,2021,2021-04-04 20:15:00,2,Universidad Católica,Palestino,2,1,3,"['28', '50']",['81'],2.15,3.3,3.4,1.93,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Chile Primera División,2021,2021-04-04 22:30:00,2,O'Higgins,Audax Italiano,0,0,0,[],[],2.4,3.0,3.2,1.67,1.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
