Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1216718,China China League One,2021,2021-04-24 08:30:00,1,Wuhan Three Towns,BIT,3,1,4,"['5', '39', '90+4']",['54'],1.05,9.5,15.0,1.37,2.6,3.25,1.25
2,1216719,China China League One,2021,2021-04-24 08:35:00,1,Zibo Cuju,Hangzhou,0,4,4,[],"['1', '55', '78', '89']",11.0,6.5,1.14,1.48,2.3,2.45,1.43
3,1216720,China China League One,2021,2021-04-25 04:00:00,1,Nanjing City,Nantong Zhiyun,1,1,2,['5'],['23'],2.3,2.95,2.9,2.3,1.47,2.05,1.61
4,1216717,China China League One,2021,2021-04-25 05:00:00,1,Sichuan Jiuniu,Shaanxi Chang'an,0,1,1,[],['84'],3.4,3.0,2.05,2.2,1.51,2.0,1.67
5,1216721,China China League One,2021,2021-04-25 08:35:00,1,Meizhou Hakka,Xinjiang Tianshan,2,1,3,"['16', '57']",['90+5'],1.1,7.5,13.0,1.5,2.25,2.8,1.34
6,1216722,China China League One,2021,2021-04-25 08:35:00,1,Kunshan,Beijing BG,2,2,4,"['67', '72']","['40', '64']",1.32,4.1,8.5,2.0,1.65,2.45,1.43
7,1216723,China China League One,2021,2021-04-26 04:30:00,1,Suzhou Dongwu,Heilongjiang Lava Spring,3,1,4,"['17', '32', '60']",['69'],4.4,3.0,1.8,2.35,1.45,2.25,1.53
8,1216724,China China League One,2021,2021-04-26 08:35:00,1,Jiangxi Liansheng,Chengdu Better City FC,2,4,6,"['58', '63']","['33', '38', '49', '52']",6.5,4.3,1.34,1.83,1.77,2.2,1.54
9,1216725,China China League One,2021,2021-04-26 08:35:00,1,Shenyang Urban,Guizhou Zhicheng,0,1,1,[],['44'],4.1,3.3,1.74,2.0,1.65,1.95,1.69
10,1216726,China China League One,2021,2021-04-29 05:00:00,2,Xinjiang Tianshan,Zibo Cuju,3,2,5,"['58', '77', '81']","['41', '48']",2.75,2.75,2.55,2.46,1.49,2.63,1.44
11,1216727,China China League One,2021,2021-04-29 08:35:00,2,Hangzhou,Sichuan Jiuniu,0,0,0,[],[],1.18,5.8,15.0,1.38,2.81,2.38,1.53
12,1216728,China China League One,2021,2021-04-30 04:00:00,2,Beijing BG,Jiangxi Liansheng,0,1,1,[],['90+2'],1.8,3.4,3.75,2.05,1.75,1.91,1.8
13,1216729,China China League One,2021,2021-04-30 07:00:00,2,Shaanxi Chang'an,Meizhou Hakka,0,1,1,[],['86'],5.0,3.6,1.57,2.28,1.58,2.2,1.62
