Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1216605,China Chinese Super League,2021,2021-04-20 09:00:00,1,Chongqing Dangdai Lifan,Shandong Luneng,0,2,2,[],"['54', '67']",6.5,4.05,1.49,1.8,2.0,1.91,1.83
2,1216606,China Chinese Super League,2021,2021-04-20 09:00:00,1,Guangzhou Evergrande,Guangzhou R&F,2,2,4,"['7', '86']","['16', '51']",1.27,5.75,9.0,1.51,2.5,1.91,1.83
3,1216607,China Chinese Super League,2021,2021-04-21 07:00:00,1,Qingdao Huanghai,Shijiazhuang Ever Bright,2,1,3,"['42', '69']",['67'],3.05,3.15,2.35,2.05,1.74,1.83,1.91
4,1216608,China Chinese Super League,2021,2021-04-21 09:00:00,1,Henan Jianye,Shenzhen,1,2,3,['31'],"['21', '54']",4.7,3.95,1.65,1.91,1.91,1.95,1.8
5,1216609,China Chinese Super League,2021,2021-04-22 07:00:00,1,Dalian Yifang,Changchun Yatai,1,2,3,['90+3'],"['35', '61']",5.0,3.95,1.62,1.87,1.91,1.95,1.8
6,1216610,China Chinese Super League,2021,2021-04-22 09:00:00,1,Tianjin Teda,Shanghai SIPG,1,6,7,['90+4'],"['26', '30', '47', '49', '54', '57']",14.0,7.75,1.15,1.42,2.8,2.25,1.61
7,1216611,China Chinese Super League,2021,2021-04-23 07:00:00,1,Hebei CFFC,Wuhan Zall,1,1,2,['47'],['59'],2.7,3.15,2.6,2.0,1.77,1.8,1.95
8,1216612,China Chinese Super League,2021,2021-04-23 09:00:00,1,Shanghai Shenhua,Beijing Guoan,2,1,3,"['59', '65']",['90+1'],2.85,3.4,2.35,1.65,2.2,1.53,2.4
9,1216613,China Chinese Super League,2021,2021-04-26 07:00:00,2,Shenzhen,Qingdao Huanghai,0,0,0,[],[],1.36,4.55,8.25,1.8,2.0,2.15,1.67
10,1216614,China Chinese Super League,2021,2021-04-26 09:00:00,2,Guangzhou R&F,Chongqing Dangdai Lifan,3,1,4,"['46', '72', '90+3']",['57'],1.91,3.45,4.0,1.69,2.1,1.61,2.25
11,1216615,China Chinese Super League,2021,2021-04-27 04:35:00,2,Shandong Luneng,Guangzhou Evergrande,1,0,1,['90+3'],[],3.0,3.25,2.3,1.8,1.95,1.67,2.15
12,1216616,China Chinese Super League,2021,2021-04-27 09:00:00,2,Shijiazhuang Ever Bright,Henan Jianye,0,0,0,[],[],2.15,3.41,3.54,2.01,1.78,1.79,1.91
