Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,China China League One,2021,2021-04-24 08:30:00,1,Wuhan Three Towns,BIT,3,1,4,"['5', '39', '90+4']",['54'],1.05,9.5,15.0,1.37,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,China China League One,2021,2021-04-24 08:35:00,1,Zibo Cuju,Hangzhou,0,4,4,[],"['1', '55', '78', '89']",11.0,6.5,1.14,1.48,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,China China League One,2021,2021-04-25 04:00:00,1,Nanjing City,Nantong Zhiyun,1,1,2,['5'],['23'],2.3,2.95,2.9,2.3,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,China China League One,2021,2021-04-25 05:00:00,1,Sichuan Jiuniu,Shaanxi Chang'an,0,1,1,[],['84'],3.4,3.0,2.05,2.2,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,China China League One,2021,2021-04-25 08:35:00,1,Meizhou Hakka,Xinjiang Tianshan,2,1,3,"['16', '57']",['90+5'],1.1,7.5,13.0,1.5,2.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,China China League One,2021,2021-04-25 08:35:00,1,Kunshan,Beijing BG,2,2,4,"['67', '72']","['40', '64']",1.32,4.1,8.5,2.0,2.45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,China China League One,2021,2021-04-26 04:30:00,1,Suzhou Dongwu,Heilongjiang Lava Spring,3,1,4,"['17', '32', '60']",['69'],4.4,3.0,1.8,2.35,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,China China League One,2021,2021-04-26 08:35:00,1,Jiangxi Liansheng,Chengdu Better City FC,2,4,6,"['58', '63']","['33', '38', '49', '52']",6.5,4.3,1.34,1.83,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,China China League One,2021,2021-04-26 08:35:00,1,Shenyang Urban,Guizhou Zhicheng,0,1,1,[],['44'],4.1,3.3,1.74,2.0,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,China China League One,2021,2021-04-29 05:00:00,2,Xinjiang Tianshan,Zibo Cuju,3,2,5,"['58', '77', '81']","['41', '48']",2.75,2.75,2.55,2.46,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
