Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,China Chinese Super League,2021,2021-04-20 09:00:00,1,Chongqing Dangdai Lifan,Shandong Luneng,0,2,2,[],"['54', '67']",6.5,4.05,1.49,1.8,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,China Chinese Super League,2021,2021-04-20 09:00:00,1,Guangzhou Evergrande,Guangzhou R&F,2,2,4,"['7', '86']","['16', '51']",1.27,5.75,9.0,1.51,1.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,China Chinese Super League,2021,2021-04-21 07:00:00,1,Qingdao Huanghai,Shijiazhuang Ever Bright,2,1,3,"['42', '69']",['67'],3.05,3.15,2.35,2.05,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,China Chinese Super League,2021,2021-04-21 09:00:00,1,Henan Jianye,Shenzhen,1,2,3,['31'],"['21', '54']",4.7,3.95,1.65,1.91,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,China Chinese Super League,2021,2021-04-22 07:00:00,1,Dalian Yifang,Changchun Yatai,1,2,3,['90+3'],"['35', '61']",5.0,3.95,1.62,1.87,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,China Chinese Super League,2021,2021-04-22 09:00:00,1,Tianjin Teda,Shanghai SIPG,1,6,7,['90+4'],"['26', '30', '47', '49', '54', '57']",14.0,7.75,1.15,1.42,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,China Chinese Super League,2021,2021-04-23 07:00:00,1,Hebei CFFC,Wuhan Zall,1,1,2,['47'],['59'],2.7,3.15,2.6,2.0,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,China Chinese Super League,2021,2021-04-23 09:00:00,1,Shanghai Shenhua,Beijing Guoan,2,1,3,"['59', '65']",['90+1'],2.85,3.4,2.35,1.65,1.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,China Chinese Super League,2021,2021-04-26 07:00:00,2,Shenzhen,Qingdao Huanghai,0,0,0,[],[],1.36,4.55,8.25,1.8,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,China Chinese Super League,2021,2021-04-26 09:00:00,2,Guangzhou R&F,Chongqing Dangdai Lifan,3,1,4,"['46', '72', '90+3']",['57'],1.91,3.45,4.0,1.69,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,China Chinese Super League,2021,2021-04-27 04:35:00,2,Shandong Luneng,Guangzhou Evergrande,1,0,1,['90+3'],[],3.0,3.25,2.3,1.8,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,China Chinese Super League,2021,2021-04-27 09:00:00,2,Shijiazhuang Ever Bright,Henan Jianye,0,0,0,[],[],2.15,3.41,3.54,2.01,1.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,China Chinese Super League,2021,2021-04-28 07:00:00,2,Shanghai SIPG,Beijing Guoan,3,1,4,"['1', '4', '81']",['22'],1.67,3.75,4.75,1.75,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,China Chinese Super League,2021,2021-04-28 09:00:00,2,Dalian Yifang,Hebei CFFC,0,1,1,[],['80'],7.0,3.95,1.48,1.8,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,China Chinese Super League,2021,2021-04-29 07:00:00,2,Wuhan Zall,Shanghai Shenhua,1,3,4,['5'],"['33', '59', '78']",3.4,3.1,2.05,2.1,1.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,China Chinese Super League,2021,2021-04-29 09:00:00,2,Changchun Yatai,Tianjin Teda,0,0,0,[],[],1.22,5.5,12.0,1.57,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,China Chinese Super League,2021,2021-05-02 07:00:00,3,Henan Jianye,Shandong Luneng,1,1,2,['31'],['41'],6.0,3.95,1.53,1.8,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,China Chinese Super League,2021,2021-05-02 09:00:00,3,Guangzhou Evergrande,Shenzhen,2,0,2,"['20', '57']",[],1.74,3.6,4.55,1.87,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,China Chinese Super League,2021,2021-05-03 07:00:00,3,Qingdao Huanghai,Guangzhou R&F,0,1,1,[],['80'],3.3,3.5,1.87,2.0,1.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,China Chinese Super League,2021,2021-05-03 09:00:00,3,Chongqing Dangdai Lifan,Shijiazhuang Ever Bright,2,2,4,"['35', '45+2']","['15', '19']",2.82,3.12,2.61,2.0,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,China Chinese Super League,2021,2021-05-04 07:00:00,3,Changchun Yatai,Wuhan Zall,0,0,0,[],[],2.7,3.2,2.6,2.2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,China Chinese Super League,2021,2021-05-04 09:00:00,3,Beijing Guoan,Dalian Yifang,2,0,2,"['53', '55']",[],1.15,7.5,15.0,1.56,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,China Chinese Super League,2021,2021-05-05 07:00:00,3,Tianjin Teda,Hebei CFFC,0,1,1,[],['40'],7.0,4.25,1.43,1.8,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,China Chinese Super League,2021,2021-05-05 09:00:00,3,Shanghai Shenhua,Shanghai SIPG,1,1,2,['90+2'],['63'],2.9,3.25,2.4,1.8,1.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,China Chinese Super League,2021,2021-05-08 07:00:00,4,Shandong Luneng,Qingdao Huanghai,2,0,2,"['6', '8']",[],1.24,5.1,8.4,1.6,2.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,China Chinese Super League,2021,2021-05-08 09:00:00,4,Guangzhou R&F,Shenzhen,2,4,6,"['72', '87']","['8', '14', '34', '47']",2.73,3.4,2.17,1.84,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,China Chinese Super League,2021,2021-05-09 07:00:00,4,Chongqing Dangdai Lifan,Henan Jianye,3,2,5,"['59', '69', '77']","['1', '54']",3.32,3.32,2.14,2.08,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,China Chinese Super League,2021,2021-05-09 09:00:00,4,Shijiazhuang Ever Bright,Guangzhou Evergrande,0,2,2,[],"['35', '87']",5.1,4.2,1.46,1.63,1.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,China Chinese Super League,2021,2021-05-10 07:00:00,4,Hebei CFFC,Shanghai Shenhua,1,1,2,['5'],['90+9'],5.5,4.1,1.45,1.75,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,China Chinese Super League,2021,2021-05-10 09:00:00,4,Wuhan Zall,Beijing Guoan,0,2,2,[],"['5', '46']",3.5,3.25,1.95,1.95,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,China Chinese Super League,2021,2021-05-11 07:00:00,4,Dalian Yifang,Tianjin Teda,1,0,1,['80'],[],2.05,3.0,3.85,2.25,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,China Chinese Super League,2021,2021-05-11 09:00:00,4,Shanghai SIPG,Changchun Yatai,0,0,0,[],[],1.4,4.45,7.4,1.65,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,China Chinese Super League,2021,2021-05-14 07:00:00,5,Shenzhen,Shandong Luneng,2,2,4,"['46', '63']","['29', '52']",3.1,3.3,2.25,1.78,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
