Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1534918,Colombia Categoria Primera B,2022,2022-01-22 16:00:00,1,Fortaleza CEIF,Atlético Huila,3,1,4,"['65', '70', '75']",['54'],2.3,3.0,2.9,2.19,1.6,1.9,1.8
2,1534917,Colombia Categoria Primera B,2022,2022-01-22 17:00:00,1,Atlético,Universitario Popayán,1,0,1,['23'],[],2.55,3.04,2.87,2.32,1.54,0.0,0.0
3,1534923,Colombia Categoria Primera B,2022,2022-01-23 16:00:00,1,Tigres,Real Cartagena,1,2,3,['19'],"['30', '55']",2.7,3.0,2.46,2.33,1.53,2.15,1.63
4,1534922,Colombia Categoria Primera B,2022,2022-01-23 17:00:00,1,Valledupar,Real Santander,1,0,1,['6'],[],1.92,3.2,3.61,2.09,1.66,1.75,1.95
5,1534919,Colombia Categoria Primera B,2022,2022-01-24 17:00:00,1,Llaneros,Orsomarso,0,1,1,[],['16'],1.76,3.07,3.75,1.95,1.75,1.9,1.8
6,1534920,Colombia Categoria Primera B,2022,2022-01-24 21:40:00,1,Deportes Quindío,Bogotá,1,2,3,['89'],"['30', '54']",1.75,3.05,3.85,2.0,1.73,1.95,1.78
7,1534930,Colombia Categoria Primera B,2022,2022-01-29 17:00:00,2,Atlético,Valledupar,0,0,0,[],[],1.95,3.2,3.5,2.3,1.53,2.0,1.77
8,1534924,Colombia Categoria Primera B,2022,2022-01-29 21:00:00,2,Atlético Huila,Barranquilla,0,0,0,[],[],1.4,4.5,5.5,1.9,1.9,2.48,1.51
9,1534925,Colombia Categoria Primera B,2022,2022-01-30 13:00:00,2,Leones,Universitario Popayán,2,1,3,"['2', '90+6']",['24'],1.36,4.68,8.68,2.02,1.79,2.1,1.57
10,1534929,Colombia Categoria Primera B,2022,2022-01-30 17:00:00,2,Real Santander,Tigres,0,0,0,[],[],1.83,3.3,3.9,2.1,1.67,2.05,1.6
11,1534928,Colombia Categoria Primera B,2022,2022-01-31 16:00:00,2,Orsomarso,Deportes Quindío,1,1,2,['5'],['59'],4.2,3.2,1.8,2.1,1.67,1.98,1.78
12,1534927,Colombia Categoria Primera B,2022,2022-01-31 18:05:00,2,Bogotá,Boyacá Chicó,0,0,0,[],[],3.4,3.0,2.0,2.1,1.67,1.9,1.86
13,1534926,Colombia Categoria Primera B,2022,2022-02-01 17:30:00,2,Real Cartagena,Fortaleza CEIF,1,1,2,['63'],['89'],2.45,3.02,2.45,2.0,1.78,1.74,2.04
14,1534944,Colombia Categoria Primera B,2022,2022-02-05 16:00:00,3,Tigres,Atlético,1,1,2,['37'],['90+5'],2.59,2.97,2.79,2.65,1.42,2.1,1.57
15,1534933,Colombia Categoria Primera B,2022,2022-02-05 17:00:00,3,Universitario Popayán,Bogotá,1,1,2,['62'],['56'],4.26,3.18,1.97,2.1,1.67,1.71,1.9
16,1534931,Colombia Categoria Primera B,2022,2022-02-05 20:10:00,3,Barranquilla,Real Cartagena,0,2,2,[],"['11', '51']",2.58,3.1,2.69,2.37,1.53,1.95,1.64
17,1534940,Colombia Categoria Primera B,2022,2022-02-05 22:00:00,3,Boyacá Chicó,Orsomarso,2,1,3,"['2', '35']",['90+2'],1.38,4.3,8.0,2.05,1.7,2.2,1.52
18,1534938,Colombia Categoria Primera B,2022,2022-02-05 22:15:00,3,Deportes Quindío,Llaneros,0,0,0,[],[],2.12,3.1,3.48,2.41,1.5,1.95,1.66
19,1534936,Colombia Categoria Primera B,2022,2022-02-06 17:00:00,3,Fortaleza CEIF,Real Santander,2,3,5,"['43', '86']","['45+1', '63', '65']",1.46,3.85,4.9,1.76,1.94,1.8,1.76
20,1534942,Colombia Categoria Primera B,2022,2022-02-06 17:00:00,3,Valledupar,Leones,0,1,1,[],['47'],2.74,3.1,2.17,2.2,1.63,1.76,1.8
